 	on	ne	peut	pas	manger	autant	sans	être	malade	</S>
a23	0.257555	0.167437	0.121225	0.142409	0.139044	0.0613631	0.0366939	0.0233765	0.024051	0.0268451
a38	0.400827	0.189179	0.102822	0.0546238	0.0455225	0.028566	0.0356106	0.029836	0.0488846	0.0641276
a53	0.279596	0.206436	0.121144	0.0625516	0.0482392	0.0288584	0.0343952	0.0367484	0.0639183	0.118113
a90	0.417101	0.241536	0.131481	0.0561056	0.0338793	0.0198192	0.0228431	0.0221888	0.0254867	0.0295589
a56	0.317554	0.200501	0.142495	0.0841909	0.0562722	0.0415667	0.0356026	0.029372	0.037913	0.0545326
a75	0.215869	0.181848	0.150954	0.121952	0.0991232	0.0670236	0.0455084	0.0327298	0.0358513	0.0491408
a96	0.143335	0.147263	0.156997	0.14686	0.116456	0.0782288	0.0617476	0.0426813	0.0452058	0.0612249
a66	0.109545	0.129716	0.161001	0.181188	0.159337	0.0978378	0.0541362	0.034768	0.0324518	0.0400196
a38	0.077811	0.108127	0.160224	0.191634	0.161983	0.112676	0.0629766	0.0445272	0.0392875	0.0407532
a75	0.0705716	0.0877441	0.143812	0.191629	0.180315	0.118875	0.069356	0.0479321	0.0432454	0.0465204
a98	0.064745	0.0728605	0.0979199	0.131853	0.136534	0.102519	0.105916	0.0978815	0.086023	0.103748
a73	0.0674875	0.0767035	0.105719	0.14536	0.143913	0.100151	0.0985232	0.0925974	0.0765681	0.0929783
a44	0.0423526	0.04451	0.069629	0.111838	0.153293	0.118367	0.112523	0.124425	0.10436	0.118701
a53	0.040833	0.0393083	0.0561761	0.0866491	0.139209	0.146745	0.132921	0.126866	0.106423	0.124869
a4	0.0374781	0.035852	0.0467835	0.0622984	0.0967913	0.116732	0.145931	0.170569	0.140168	0.147398
a57	0.0414643	0.0398476	0.0504332	0.0624392	0.0893485	0.107334	0.136474	0.173807	0.144605	0.154248
a40	0.0174879	0.0153731	0.0242775	0.040824	0.0818891	0.142834	0.162316	0.160752	0.154829	0.199417
a73	0.0233606	0.0215996	0.0256662	0.0333142	0.0483506	0.0625648	0.120762	0.199598	0.213897	0.250888
a44	0.0240552	0.022209	0.0261854	0.035088	0.0506802	0.0674545	0.110955	0.190658	0.214929	0.257786
a11	0.0236495	0.0212717	0.0287683	0.0385171	0.0608453	0.0827642	0.125671	0.191959	0.194698	0.231856
a93	0.013894	0.0120588	0.0179945	0.0279216	0.0516926	0.0867611	0.133973	0.179666	0.187583	0.288456
a70	0.0147866	0.0125573	0.0157994	0.0200959	0.0375955	0.0865302	0.177404	0.224476	0.200452	0.210303
a90	0.00942679	0.00908028	0.012771	0.0173938	0.0333035	0.0687523	0.138995	0.214563	0.219403	0.276311
a4	0.00987248	0.0100459	0.0159684	0.0231194	0.0403455	0.0649699	0.115454	0.178314	0.227971	0.313939
a57	0.00649057	0.00604578	0.00943966	0.0125641	0.024115	0.0463191	0.0971861	0.188715	0.262776	0.346348
a82	0.00134403	0.000963464	0.00133935	0.00171226	0.00384512	0.0103151	0.0400289	0.101061	0.262028	0.577362
a54	0.00342337	0.00160602	0.00127256	0.00111593	0.00210999	0.00519356	0.0308744	0.0934539	0.26359	0.59736
a73	0.00365161	0.00304147	0.00469029	0.00597604	0.0108039	0.0182175	0.0424727	0.0865789	0.210231	0.614337
a44	0.00150493	0.00141648	0.00237949	0.00339178	0.00772822	0.0162049	0.0444763	0.107663	0.256649	0.558585
a4	0.000635321	0.000559805	0.000920365	0.00125359	0.00335883	0.00979458	0.0369277	0.0911122	0.256454	0.598983
a13	0.000681556	0.000553592	0.000858208	0.00102273	0.00224363	0.00623174	0.0258311	0.0703279	0.242849	0.6494
a75	0.00148774	0.000987542	0.00123576	0.00119954	0.00206457	0.00418181	0.0234356	0.0707018	0.26365	0.631056
a56	0.00295389	0.00206764	0.00256952	0.00281218	0.00439188	0.00724	0.0212465	0.0557097	0.195813	0.705195
a90	0.00193241	0.00146779	0.00176386	0.00142259	0.00209493	0.00383605	0.0157731	0.0500837	0.212057	0.709569
a94	0.00127973	0.00113937	0.0015067	0.00142726	0.00223108	0.00471676	0.0188598	0.0584134	0.214399	0.696027
a58	0.00070378	0.000544034	0.000754604	0.000700844	0.00122281	0.00259249	0.0131189	0.0454792	0.218796	0.716087
a82	0.00152794	0.0011038	0.00133019	0.00146388	0.00259898	0.0048585	0.0249877	0.0753054	0.240667	0.646157
a87	0.0168276	0.010716	0.00779801	0.00635541	0.0095243	0.0169556	0.0408191	0.120921	0.282007	0.488076
</S>	0.136588	0.103793	0.0809612	0.0518192	0.0483356	0.0400029	0.0629912	0.113807	0.183207	0.178494
