 	le	paon	congolais	chante	fort	dans	la	forêt	</S>
a66	0.178865	0.335413	0.181666	0.0844049	0.0860193	0.0769706	0.0301337	0.0151926	0.0113347
a87	0.212446	0.0990135	0.0979885	0.13138	0.114464	0.153778	0.0859863	0.055778	0.0491658
a23	0.566296	0.20618	0.0661187	0.036311	0.0251848	0.0275957	0.0210298	0.0220461	0.029238
a87	0.490286	0.285491	0.102024	0.0394825	0.0224324	0.020648	0.0117252	0.0121652	0.0157464
a23	0.431857	0.320213	0.112888	0.0411076	0.0266231	0.0238389	0.0137619	0.0137269	0.0159836
a30	0.431025	0.312802	0.0709955	0.0226589	0.0222774	0.0301674	0.0270088	0.0360785	0.0469871
a93	0.358431	0.362223	0.0737673	0.0223761	0.027074	0.042897	0.0376997	0.0364159	0.0391162
a34	0.322321	0.368424	0.12698	0.021516	0.0167723	0.0373718	0.0366784	0.0352598	0.0346758
a75	0.187057	0.288536	0.225579	0.071816	0.0507094	0.0641242	0.044649	0.0348409	0.0326897
a56	0.0881221	0.232971	0.206459	0.111506	0.0814741	0.0972808	0.0729965	0.0577308	0.0514598
a96	0.101888	0.205835	0.240739	0.143665	0.0943494	0.0861263	0.0479974	0.0388288	0.0405721
a93	0.111618	0.21646	0.229433	0.156289	0.103599	0.0831524	0.041257	0.0292608	0.0289305
a56	0.0979979	0.201484	0.248221	0.155162	0.10396	0.0794238	0.0410728	0.0347769	0.0379023
a75	0.102916	0.20258	0.246038	0.158233	0.112842	0.0813949	0.0379271	0.0288123	0.0292568
a85	0.0519278	0.133325	0.225231	0.167834	0.133893	0.106775	0.06266	0.0572985	0.0610558
a5	0.0312943	0.0730205	0.17665	0.155026	0.130236	0.119298	0.0968898	0.107455	0.110131
a12	0.039853	0.0924986	0.182021	0.18796	0.167833	0.117983	0.0746488	0.067636	0.0695659
a61	0.0340839	0.0953659	0.192654	0.188546	0.173377	0.114214	0.0703494	0.0654154	0.0659941
a75	0.0194589	0.0629456	0.177666	0.196397	0.198693	0.129787	0.0763348	0.0709169	0.0678004
a85	0.00792024	0.0198859	0.0703831	0.123236	0.137925	0.0938952	0.0974091	0.192406	0.256941
a6	0.00761142	0.0168747	0.0608927	0.0976915	0.113941	0.0832325	0.0921049	0.206474	0.321177
a36	0.00883065	0.0192401	0.0576829	0.0835472	0.0942372	0.073701	0.0981694	0.241697	0.322895
a98	0.00677766	0.00982721	0.0337564	0.0709847	0.089533	0.0787522	0.105657	0.249695	0.355017
a6	0.00421084	0.00642419	0.0224918	0.0430624	0.0474687	0.0484884	0.0855535	0.273934	0.468366
a37	0.00447721	0.00701426	0.0238108	0.0448728	0.0526783	0.0570084	0.104154	0.274695	0.431288
a61	0.00595611	0.00686004	0.018529	0.0452743	0.0704749	0.0777879	0.138505	0.258994	0.37762
a0	0.00552765	0.00815336	0.0175217	0.0477803	0.0764901	0.0847168	0.14443	0.252872	0.362507
a93	0.00470265	0.00503475	0.00866658	0.0280731	0.0508939	0.0726774	0.162583	0.284821	0.382547
a4	0.00271057	0.00305662	0.00438143	0.0173348	0.0329561	0.0388952	0.0993812	0.292406	0.508878
a93	0.00138867	0.00141984	0.00237925	0.0108227	0.0210016	0.0249265	0.0786431	0.293543	0.565875
a44	0.00084783	0.000865834	0.00167468	0.00896209	0.0159392	0.0201338	0.067255	0.282312	0.60201
a66	0.000802943	0.000517263	0.000596414	0.00369835	0.00672509	0.0107938	0.0508534	0.277845	0.648167
a26	0.00559337	0.00419341	0.00279684	0.0108831	0.0212426	0.03965	0.114809	0.319247	0.481585
a38	0.0244064	0.0228907	0.0152217	0.0289049	0.0480836	0.0619085	0.122787	0.281544	0.394253
a3	0.02227	0.0191761	0.0132562	0.0294749	0.0443147	0.0595855	0.120735	0.264167	0.42702
a99	0.0741651	0.0333414	0.0309509	0.0699484	0.103727	0.0923686	0.13073	0.203844	0.260924
a87	0.0922317	0.0326018	0.0327781	0.10074	0.129512	0.0954708	0.110219	0.176385	0.230062
a23	0.107605	0.0341913	0.0339397	0.130155	0.128714	0.0933984	0.0893176	0.156305	0.226375
a3	0.0453106	0.00572417	0.0128982	0.051624	0.049984	0.0748596	0.133292	0.247592	0.378716
a97	0.0300689	0.0067039	0.0175088	0.0714349	0.0567693	0.062253	0.107891	0.249621	0.397749
a87	0.0588487	0.0225348	0.0379942	0.112771	0.0837539	0.0674367	0.0818803	0.19645	0.33833
a23	0.075525	0.0304726	0.0471433	0.110685	0.0782906	0.0730225	0.081508	0.180999	0.322353
a87	0.0383001	0.00884796	0.02436	0.0666896	0.0575087	0.0944685	0.140283	0.226098	0.343444
a23	0.0303985	0.012267	0.0207042	0.0414936	0.0329402	0.0548244	0.112289	0.264261	0.430822
a87	0.0279061	0.00733758	0.0212587	0.0522747	0.043476	0.0715641	0.129811	0.257676	0.388695
</S>	0.0197096	0.00750859	0.0132791	0.0254598	0.0192238	0.0290183	0.0753182	0.27274	0.537743
