 	le	masque	ibvumba	est	difficile	à	trouver	de	nos	jours	</S>
a66	0.239248	0.207525	0.111802	0.0882554	0.124342	0.0933695	0.0575181	0.0329818	0.0221877	0.0154907	0.00727971
a87	0.282726	0.222237	0.127528	0.0659672	0.0667417	0.0939236	0.0516971	0.0278611	0.0222629	0.0243321	0.0147226
a23	0.283699	0.197336	0.175276	0.0856058	0.100767	0.0515406	0.0197455	0.0168184	0.0173613	0.0263256	0.0255253
a18	0.270533	0.23134	0.177997	0.122114	0.0963128	0.0402569	0.013649	0.00931859	0.00787087	0.0120152	0.0185938
a83	0.242971	0.26456	0.175141	0.119671	0.0708432	0.0403128	0.0147995	0.0125994	0.0116646	0.0179688	0.0294689
a70	0.218488	0.248461	0.189458	0.137076	0.0579636	0.0525418	0.023798	0.0193291	0.0248525	0.0134271	0.0146048
a83	0.086288	0.136994	0.196522	0.237758	0.0845211	0.0876619	0.048095	0.0411583	0.0436769	0.0206915	0.0166333
a98	0.0567922	0.0942026	0.161429	0.254512	0.0968032	0.0961066	0.0636541	0.0588045	0.0553773	0.0344879	0.0278305
a47	0.0451226	0.070277	0.138767	0.215457	0.109006	0.120675	0.0830449	0.0796409	0.0722208	0.0355692	0.0302203
a37	0.0354113	0.0597194	0.129282	0.196822	0.105024	0.103958	0.0739958	0.0736171	0.107644	0.0593389	0.0551866
a75	0.0540599	0.0679254	0.135223	0.214656	0.126379	0.13007	0.0769041	0.0586332	0.0655723	0.0373632	0.0332146
a92	0.0382541	0.0457731	0.0737304	0.130721	0.112091	0.136589	0.115654	0.0974299	0.117603	0.0713227	0.060833
a79	0.0258362	0.0298413	0.0494021	0.114276	0.130131	0.14852	0.128752	0.100123	0.117061	0.0867568	0.0693011
a36	0.0170972	0.0171109	0.0317688	0.0745553	0.12583	0.166536	0.151164	0.109815	0.124157	0.0984849	0.0834813
a85	0.0107486	0.0087345	0.0143351	0.0430589	0.156668	0.211116	0.160419	0.0959411	0.107533	0.0949927	0.0964523
a47	0.00522484	0.0044225	0.00717645	0.0230361	0.0804957	0.127314	0.13214	0.115262	0.157142	0.16252	0.185268
a79	0.00715033	0.00473198	0.00736848	0.0226942	0.0978877	0.116767	0.107753	0.0753517	0.13192	0.165171	0.263204
a7	0.00303444	0.00193318	0.00261835	0.00844121	0.0483351	0.0848078	0.11573	0.106438	0.163092	0.211719	0.253852
a54	0.0064665	0.00356985	0.00404379	0.00711746	0.0397838	0.0709693	0.112193	0.10109	0.123998	0.205317	0.32545
a36	0.00463117	0.00217966	0.00251781	0.00354364	0.0123606	0.0338192	0.0699082	0.0899922	0.16136	0.220179	0.399509
a2	0.0127515	0.00518823	0.0064489	0.00681134	0.0188136	0.0243549	0.0472141	0.0533886	0.0831934	0.212696	0.529139
a57	0.0338436	0.023935	0.0236758	0.0179461	0.0283058	0.0339971	0.048592	0.0727376	0.12578	0.215746	0.375441
a87	0.118567	0.110851	0.080701	0.0283853	0.042628	0.0458802	0.0694649	0.0870986	0.107903	0.135519	0.173003
a23	0.128246	0.0970359	0.080388	0.0250981	0.0539926	0.0862479	0.117781	0.112126	0.130818	0.0836878	0.0845779
a99	0.03104	0.0305466	0.0278712	0.0076834	0.0150171	0.0454722	0.0903063	0.126749	0.177652	0.196729	0.250934
a97	0.0158052	0.0187971	0.0167174	0.00921732	0.0146974	0.0485919	0.0966139	0.125981	0.165812	0.227611	0.260156
</S>	0.0149351	0.0148294	0.0117368	0.0065334	0.00888494	0.0314078	0.0491633	0.0918109	0.199302	0.210589	0.360807
