 	nous	avons	tué	un	serpent	mangeur	d'	oeufs	dans	le	poulailler	</S>
a66	0.134183	0.127437	0.140725	0.173379	0.142468	0.0899491	0.0500786	0.0543185	0.0404825	0.0268767	0.0119961	0.00810641
a87	0.19877	0.171732	0.123837	0.125625	0.0676475	0.092285	0.0445845	0.0814613	0.0375559	0.0245647	0.0189409	0.0129971
a97	0.0612275	0.0639257	0.0563834	0.0788574	0.0548294	0.147179	0.121205	0.151204	0.110948	0.0791673	0.0502356	0.0248374
a23	0.0755833	0.0872615	0.079903	0.10733	0.103604	0.202008	0.0952217	0.113995	0.0568737	0.0404965	0.0234963	0.0142267
a97	0.107675	0.126686	0.108546	0.128319	0.0893099	0.150988	0.0704316	0.10274	0.0494498	0.0343474	0.0198453	0.0116622
a99	0.0848728	0.0947015	0.0915256	0.11641	0.0931294	0.138512	0.0881204	0.138446	0.0615159	0.0439592	0.0278004	0.0210072
a61	0.102731	0.115298	0.118738	0.125452	0.078019	0.0973946	0.062972	0.119452	0.0592409	0.0520148	0.0382443	0.0304431
a0	0.216575	0.22282	0.183467	0.136492	0.0882807	0.07239	0.0181078	0.0291226	0.0148374	0.0106191	0.00458096	0.00270807
a21	0.19461	0.200187	0.158643	0.129221	0.108394	0.0929315	0.0281384	0.0352451	0.0201031	0.0160245	0.0089312	0.00757101
a61	0.19498	0.222236	0.181643	0.140156	0.118976	0.0844667	0.0168903	0.0157151	0.00925445	0.00712294	0.0042242	0.00433511
a93	0.11907	0.164359	0.157438	0.148578	0.162208	0.139394	0.0349996	0.0276125	0.0173471	0.012691	0.00804168	0.0082608
a62	0.0968262	0.142927	0.157416	0.167441	0.188566	0.135821	0.0357839	0.0276321	0.0167364	0.0122772	0.00885987	0.00971209
a88	0.0525385	0.0857697	0.106579	0.144249	0.193038	0.190772	0.0776676	0.0494163	0.0340773	0.0234744	0.0196026	0.0228163
a38	0.0407542	0.0727558	0.0970045	0.1426	0.183376	0.180852	0.0927393	0.065529	0.0433808	0.028576	0.0246533	0.0277794
a61	0.0224132	0.0376479	0.0560327	0.101043	0.150792	0.20976	0.133166	0.0896643	0.0660294	0.0431604	0.0430892	0.0472012
a12	0.0270216	0.0411163	0.0592447	0.100478	0.124471	0.146032	0.138298	0.103877	0.0825212	0.059976	0.056298	0.0606656
a43	0.0169967	0.0247463	0.035756	0.0653885	0.0854019	0.118047	0.154603	0.124541	0.117755	0.0899041	0.0810926	0.0857685
a75	0.00587135	0.00712885	0.0104406	0.0241959	0.0394442	0.0834667	0.168853	0.136769	0.165754	0.133603	0.119036	0.105437
a5	0.00348349	0.00469592	0.00715178	0.0124555	0.0189574	0.0382117	0.0743567	0.0792595	0.125812	0.140611	0.215847	0.279157
a96	0.00592592	0.00659192	0.00740576	0.0108733	0.0144718	0.0286703	0.0737767	0.0706545	0.121289	0.145753	0.217995	0.296592
a21	0.00128896	0.00134362	0.00180939	0.00346741	0.00603217	0.016538	0.0585293	0.0563142	0.12976	0.181688	0.26648	0.276749
a85	0.000912972	0.000891052	0.0012031	0.00224662	0.00397143	0.012647	0.045065	0.0415595	0.110363	0.172054	0.303125	0.305961
a6	0.000153146	0.000185394	0.000247692	0.000496786	0.00112695	0.00602268	0.0202524	0.0169481	0.0603924	0.113807	0.305061	0.475306
a36	8.25473e-05	0.000101304	0.000127083	0.000244794	0.000533489	0.0038341	0.0132327	0.010747	0.0372253	0.0908386	0.326714	0.516319
a96	0.000255132	0.000203964	0.00024956	0.0004573	0.00067794	0.00485325	0.0186112	0.0172733	0.0384267	0.0915306	0.292598	0.534863
a11	0.000194587	0.000164377	0.000249356	0.000479608	0.000737663	0.00446302	0.0155756	0.015077	0.0458218	0.109652	0.325268	0.482317
a0	0.000274887	0.000208726	0.000281006	0.000502727	0.000604476	0.0037035	0.0136839	0.0132724	0.0303909	0.0811809	0.295207	0.56069
a66	0.000724535	0.000563888	0.000734679	0.00143041	0.00175369	0.00536862	0.0178192	0.0160532	0.0290967	0.0636964	0.245799	0.61696
a9	0.00746157	0.00495431	0.0045602	0.0085462	0.00800585	0.0240082	0.0524044	0.0494115	0.0676744	0.100266	0.229539	0.443168
a3	0.039334	0.0276147	0.0209922	0.0302239	0.0216386	0.0318719	0.0500386	0.0519346	0.0835337	0.125423	0.246022	0.271373
a97	0.0454819	0.0291259	0.0200164	0.0228797	0.0174463	0.0263298	0.0386354	0.0425761	0.0787043	0.121928	0.254499	0.302377
a3	0.0352572	0.0258902	0.0202903	0.0279754	0.0248945	0.0560311	0.0793096	0.0723008	0.100501	0.116222	0.207322	0.234006
a97	0.0238554	0.0230441	0.0218891	0.0333786	0.0324846	0.0605908	0.0854386	0.0783227	0.0928931	0.1018	0.186302	0.260001
a3	0.0244421	0.0226874	0.0218364	0.034268	0.0360102	0.0748985	0.0951872	0.0846495	0.0951411	0.100077	0.172622	0.23818
</S>	0.0229982	0.0248464	0.0249357	0.0366838	0.0350216	0.0627479	0.0776108	0.0745673	0.0819993	0.0915721	0.170058	0.296959
