 	je	t'	appellais	à	haute	voix	mais	tu	ne	m'	écoutais	pas	</S>
a15	0.103893	0.0654452	0.0504667	0.0830391	0.0872612	0.109682	0.114108	0.118309	0.123186	0.0708979	0.03389	0.0204047	0.019418
a10	0.0633327	0.0721711	0.0770027	0.0514927	0.0302611	0.052865	0.0711954	0.0836461	0.1141	0.0978417	0.0974617	0.0878143	0.100816
a87	0.104497	0.0814201	0.0819491	0.0712182	0.0572533	0.0558543	0.0602729	0.0514486	0.0621184	0.0583286	0.0617228	0.0940133	0.159903
a97	0.201567	0.198285	0.120114	0.0535084	0.0413795	0.0273388	0.0288061	0.0236764	0.031151	0.0314725	0.0314562	0.0663739	0.144871
a83	0.327412	0.284072	0.139924	0.0450194	0.0292903	0.0132957	0.013374	0.0119444	0.0154783	0.0180918	0.018504	0.0301942	0.0534001
a70	0.316734	0.172726	0.0645975	0.0534545	0.0474264	0.0354719	0.0267845	0.025767	0.031321	0.0303957	0.0290409	0.054098	0.112182
a31	0.436937	0.260644	0.0893539	0.045462	0.031713	0.0211531	0.0172768	0.0154156	0.0161943	0.014325	0.0123485	0.0160901	0.023087
a47	0.33713	0.262082	0.162482	0.0589453	0.0437084	0.0273551	0.0226262	0.018699	0.0172183	0.0146658	0.0105951	0.0109582	0.0135342
a88	0.225887	0.223853	0.19574	0.0815347	0.0596571	0.0431592	0.036835	0.0298894	0.0252734	0.0205846	0.015614	0.0180576	0.0239149
a61	0.194865	0.195608	0.190082	0.107358	0.0821388	0.0483439	0.0384819	0.0281491	0.0235582	0.0229435	0.0194904	0.0203883	0.0285924
a47	0.149325	0.159639	0.182485	0.130489	0.106101	0.0740296	0.0620711	0.0420716	0.029345	0.0230751	0.0142414	0.0119382	0.0151892
a61	0.0915036	0.115572	0.16284	0.140243	0.125841	0.0981163	0.0875466	0.0637915	0.0447659	0.0303829	0.0145466	0.0111283	0.0137218
a47	0.0982331	0.111109	0.152906	0.144853	0.135402	0.101454	0.0906444	0.0649902	0.0433019	0.0264763	0.0114228	0.00865989	0.010547
a88	0.0478811	0.0742805	0.11866	0.153534	0.154355	0.123418	0.112782	0.0833205	0.0597966	0.0360553	0.0137406	0.0100433	0.0121329
a61	0.0325903	0.0539307	0.0813573	0.147679	0.164786	0.141771	0.13187	0.0928629	0.0624219	0.0364069	0.0172649	0.0154527	0.0216062
a21	0.0255776	0.0353172	0.0761917	0.148594	0.185829	0.152193	0.137327	0.0922041	0.0631953	0.0375106	0.0173258	0.0134494	0.0152853
