 	alembe	ongoli	olembe	loange	abela	tsaangi	okoo	okonda	et	mboo	</S>
a66	0.250282	0.218213	0.0999929	0.0675283	0.0599819	0.0673497	0.0803291	0.064661	0.0359205	0.0274558	0.0282863
a87	0.391161	0.235031	0.0961902	0.0638262	0.0512414	0.0389796	0.0282495	0.0215618	0.0181147	0.0246123	0.0310324
a23	0.461373	0.212841	0.110874	0.0596651	0.0398744	0.0244595	0.0205123	0.0174777	0.0135616	0.0174289	0.0219326
a40	0.166723	0.0863031	0.108045	0.134627	0.0970306	0.0568426	0.0467213	0.0406699	0.0470834	0.0825892	0.133365
a6	0.322617	0.238666	0.157504	0.0616846	0.0392216	0.0335396	0.0343135	0.0332206	0.0278718	0.0249929	0.0263686
a5	0.116453	0.139274	0.335614	0.147646	0.0874184	0.0504097	0.0330419	0.0271395	0.0215717	0.0206631	0.0207678
a37	0.192151	0.223852	0.322832	0.0922886	0.0541511	0.030487	0.018769	0.0159057	0.0138264	0.0160123	0.0197243
a21	0.17135	0.258685	0.34291	0.0938255	0.052076	0.0264998	0.0146941	0.0109716	0.00861396	0.00919153	0.0111834
a5	0.149389	0.197978	0.318063	0.120888	0.0728343	0.0405677	0.0270873	0.0208496	0.0156935	0.0164021	0.0202476
a18	0.101325	0.157663	0.274867	0.13801	0.0897681	0.063062	0.0484626	0.0383436	0.0284173	0.0278331	0.0322485
a82	0.02722	0.063623	0.236957	0.221167	0.174063	0.10316	0.0629945	0.0384594	0.02434	0.0223446	0.0256713
a87	0.0267402	0.0356788	0.148294	0.207674	0.212825	0.145441	0.0829197	0.0462322	0.0285902	0.0290311	0.0365742
a23	0.0575241	0.0589205	0.12149	0.137817	0.135682	0.123899	0.0953263	0.0780148	0.0565543	0.0590132	0.0757588
a30	0.0285602	0.0214458	0.0521236	0.0724543	0.0767402	0.0615817	0.0627397	0.0724099	0.103748	0.162281	0.285915
a13	0.0136128	0.0147079	0.0579411	0.101745	0.113075	0.0952925	0.0850688	0.0786376	0.0881891	0.12748	0.224251
a53	0.0163182	0.0251749	0.123675	0.187386	0.174375	0.12107	0.0847622	0.0634746	0.0484579	0.0591019	0.0962046
a70	0.0387444	0.0684089	0.167104	0.19549	0.150393	0.102767	0.0628687	0.0512538	0.049999	0.0524809	0.0604907
a83	0.0201068	0.0423529	0.149258	0.157997	0.157281	0.108371	0.0829734	0.0682789	0.0595415	0.0680661	0.0857741
a9	0.0114642	0.024692	0.112523	0.120601	0.159893	0.128932	0.104936	0.0838008	0.0709236	0.0804846	0.101749
a99	0.0117544	0.0117293	0.0658606	0.088808	0.120651	0.119395	0.110924	0.107428	0.0980288	0.108513	0.156908
a87	0.00845585	0.00947442	0.0401184	0.0396938	0.0412641	0.0521704	0.0707444	0.086221	0.125129	0.194199	0.332529
a23	0.0363224	0.024657	0.0357227	0.0321031	0.0372325	0.0550541	0.0813835	0.132727	0.191281	0.174925	0.198592
a79	0.00478458	0.00364639	0.0200499	0.0345759	0.0419019	0.0588212	0.079858	0.115197	0.165326	0.207582	0.268257
a90	0.0063142	0.00800382	0.0296744	0.0299423	0.0338915	0.0552228	0.0821391	0.112591	0.15607	0.203311	0.282841
a44	0.00421463	0.00873571	0.0330112	0.0266586	0.0319229	0.047637	0.0655355	0.0937285	0.148896	0.23101	0.308649
a96	0.00208198	0.00365828	0.0244559	0.0245297	0.0318186	0.0396447	0.0542649	0.0798834	0.149505	0.251753	0.338405
a5	0.000980564	0.00140518	0.00798269	0.0111003	0.0173321	0.0248008	0.0438323	0.0798678	0.172215	0.280034	0.360449
a96	0.000793083	0.000931821	0.00503464	0.00797367	0.0125003	0.0183286	0.0332568	0.0638719	0.154756	0.294997	0.407556
a13	0.000909534	0.00097839	0.0050057	0.00922946	0.0129306	0.0169513	0.0276362	0.0522742	0.145912	0.299436	0.428736
a94	0.000427163	0.000526899	0.00442741	0.0102223	0.0128044	0.0149155	0.021138	0.0374383	0.119833	0.299455	0.478812
a12	0.00031912	0.000359278	0.00229022	0.00615639	0.00840617	0.0123646	0.0202904	0.0390422	0.130866	0.310444	0.469461
a18	0.000398588	0.000337142	0.0012495	0.00267545	0.0038858	0.00623653	0.0121187	0.0261636	0.102065	0.3095	0.535369
a71	0.000357507	0.000259159	0.00131545	0.00344989	0.00623605	0.00917333	0.0146914	0.0259009	0.0829556	0.262245	0.593416
a25	0.00119856	0.00107015	0.00285614	0.00437691	0.00732411	0.0122439	0.0219984	0.0470944	0.126508	0.284582	0.490747
a87	0.0113388	0.0102906	0.0155569	0.0117795	0.0147614	0.0214541	0.0295445	0.0511804	0.119244	0.254191	0.460659
a23	0.323316	0.150346	0.0606898	0.0462413	0.0314938	0.0330892	0.0352143	0.0461557	0.0647333	0.0900666	0.118654
a99	0.101369	0.0588715	0.0864615	0.0864409	0.0587434	0.0497971	0.0502971	0.063506	0.0963584	0.149254	0.198901
a13	0.0140607	0.0101141	0.0371991	0.0391796	0.0316968	0.0356434	0.0471696	0.0723746	0.137496	0.246469	0.328597
a53	0.00841455	0.00746617	0.0307364	0.0393132	0.0509278	0.0692217	0.0896164	0.10749	0.148711	0.2061	0.242003
