 	je	ne	sais	pas	tisser	une	nasse	mais	je	me	débrouille	</S>
a66	0.204061	0.152914	0.126607	0.111253	0.106103	0.0760357	0.0644038	0.0501112	0.0401724	0.0279661	0.0210995	0.0192743
a87	0.519954	0.24883	0.0835403	0.0282414	0.0134744	0.0116972	0.0154599	0.0131554	0.0142083	0.0121395	0.0169844	0.022315
a23	0.48822	0.250296	0.116586	0.0273315	0.0139838	0.0100641	0.0124482	0.0116192	0.0138452	0.0141256	0.019168	0.0223129
a13	0.278831	0.215994	0.156357	0.0325975	0.0212289	0.0258625	0.0350639	0.0258766	0.0296876	0.0322526	0.0617119	0.0845354
a75	0.28471	0.177608	0.181368	0.0545302	0.0361216	0.0338181	0.0373441	0.0336994	0.0320712	0.0305206	0.0420358	0.0561736
a47	0.1971	0.191169	0.193532	0.12024	0.0790111	0.0494641	0.0432258	0.0288935	0.0262826	0.0225279	0.0242716	0.0242825
a36	0.214485	0.216566	0.168015	0.143134	0.0899405	0.0537124	0.0354395	0.0209726	0.0173114	0.0130943	0.0139574	0.013372
a37	0.199592	0.227015	0.197706	0.145596	0.0872354	0.046776	0.0266929	0.0179926	0.0150311	0.0114432	0.0127684	0.0121518
a66	0.145099	0.177842	0.215398	0.187756	0.0984762	0.059363	0.0347824	0.022601	0.0174492	0.0136579	0.0138788	0.0136963
a90	0.111149	0.150815	0.184694	0.201176	0.114215	0.0722324	0.0472805	0.0317777	0.025173	0.0206785	0.0202861	0.0205234
a25	0.115949	0.174976	0.186616	0.217716	0.132367	0.0730098	0.0383056	0.0206117	0.0137185	0.00962467	0.00881174	0.0082946
a69	0.0513999	0.0824775	0.127943	0.203644	0.169741	0.132844	0.0813606	0.0476342	0.0329571	0.0248923	0.0224996	0.0226067
a53	0.0404202	0.054105	0.102583	0.180859	0.179044	0.146348	0.101404	0.0640744	0.0422865	0.0316487	0.0282197	0.0290066
a44	0.0345521	0.038636	0.0665997	0.138286	0.169658	0.160525	0.120286	0.0801893	0.0542301	0.0456814	0.0443286	0.0470275
a94	0.0146532	0.0152616	0.0248121	0.0722797	0.127335	0.168788	0.162617	0.128782	0.0890033	0.0677029	0.0632619	0.065504
a44	0.00935321	0.00835639	0.0104277	0.0295698	0.0665786	0.135901	0.18253	0.178312	0.124057	0.0846818	0.0827044	0.0875274
a93	0.00894169	0.00718894	0.00791252	0.0186389	0.0475728	0.115894	0.17887	0.186464	0.132863	0.0900998	0.0974349	0.108119
a44	0.00350265	0.0032929	0.00326678	0.0119987	0.0420287	0.100986	0.152258	0.178962	0.144009	0.118344	0.118106	0.123244
a90	0.00267645	0.00208854	0.00199245	0.0049539	0.0165602	0.0640025	0.132109	0.188328	0.169076	0.133909	0.140112	0.144193
a93	0.00097086	0.000885054	0.000950458	0.00386761	0.0152484	0.0469231	0.0959166	0.154581	0.16369	0.174025	0.174957	0.167984
a90	0.00138133	0.00103513	0.000989296	0.00274109	0.00865524	0.0345535	0.0791465	0.134135	0.153992	0.17848	0.204665	0.200226
a15	0.00113974	0.00106553	0.000971637	0.00233766	0.00860934	0.0306408	0.0720785	0.12998	0.145752	0.184948	0.201653	0.220825
a7	0.00100616	0.000901325	0.00105141	0.00302394	0.00949704	0.026424	0.0577405	0.0968123	0.116239	0.185624	0.206769	0.294911
a40	0.0052239	0.00369292	0.00355347	0.00753253	0.0175908	0.0433927	0.0798411	0.105179	0.11846	0.167638	0.183995	0.263899
a36	0.00577881	0.00449162	0.00384042	0.00869697	0.0162846	0.0365429	0.0635715	0.108789	0.123151	0.163787	0.171129	0.293937
a2	0.00220907	0.00157606	0.00145485	0.00372682	0.00789827	0.0219164	0.0480705	0.0789617	0.0986273	0.157233	0.208228	0.370098
a57	0.0326029	0.0224407	0.00839478	0.00899659	0.0122061	0.0193926	0.0307145	0.0456024	0.0638926	0.141924	0.219727	0.394105
a87	0.0929842	0.0520404	0.0254277	0.0287859	0.0361407	0.0422904	0.0532587	0.0691798	0.0838106	0.139792	0.152848	0.223441
a23	0.415172	0.178867	0.0484448	0.0547813	0.0499629	0.039099	0.0312512	0.0322486	0.0319193	0.0420042	0.0334541	0.0427957
a99	0.121199	0.0590027	0.0245632	0.0237866	0.035838	0.0445188	0.0525764	0.0811515	0.105628	0.139377	0.150339	0.16202
a54	0.0379013	0.017669	0.0133121	0.0267368	0.0536779	0.0731972	0.0853416	0.0993926	0.11538	0.140032	0.176119	0.161241
a36	0.00808704	0.00466591	0.00252951	0.0115568	0.0339084	0.0711945	0.090843	0.13406	0.134503	0.155244	0.170195	0.183212
a37	0.00181598	0.00167465	0.00122056	0.00648743	0.0193967	0.044179	0.0680231	0.102404	0.11187	0.171541	0.213272	0.258115
a62	0.000245915	0.000199271	0.000152135	0.000947695	0.00369569	0.0144225	0.0397189	0.0860847	0.118425	0.184447	0.26129	0.290371
a88	0.00146649	0.00115539	0.000731542	0.00242227	0.00507833	0.0146622	0.0373701	0.0835535	0.127418	0.186395	0.255646	0.284101
a71	0.00147862	0.00123229	0.000843524	0.00278964	0.00550657	0.0137697	0.0310813	0.073261	0.120773	0.179301	0.255692	0.31427
a9	0.00242093	0.00170027	0.00112757	0.00288375	0.00579764	0.0144102	0.0303405	0.0681439	0.108646	0.169154	0.246766	0.348609
a54	0.00277612	0.00179723	0.00135089	0.00241119	0.00459296	0.0109813	0.0243512	0.0514163	0.0839038	0.157395	0.247482	0.411542
a15	0.000124926	0.000140281	0.000133145	0.000606003	0.00158891	0.00716045	0.0197987	0.048223	0.0749455	0.159528	0.271009	0.416743
a7	5.47308e-05	6.26247e-05	7.23276e-05	0.000301479	0.000880761	0.00381911	0.0113851	0.030088	0.0529525	0.133732	0.260456	0.506195
a2	0.000224907	0.000185349	0.000152358	0.000504939	0.00130088	0.00493741	0.0126987	0.0350117	0.0668275	0.153145	0.273459	0.451552
a57	0.0174795	0.0113085	0.00546863	0.0108902	0.0152541	0.026744	0.0451975	0.074196	0.103276	0.189158	0.224969	0.276059
