 	le	soleil	est	déjà	apparu	</S>
a66	0.46677	0.171937	0.107841	0.0936604	0.0895649	0.070226
a87	0.52382	0.21931	0.121788	0.0728962	0.0367441	0.0254415
a23	0.52644	0.253298	0.100481	0.047273	0.039823	0.0326846
a83	0.412977	0.253473	0.129972	0.0659493	0.0586181	0.0790101
a53	0.486667	0.250637	0.0908139	0.0458575	0.0611667	0.0648587
a44	0.452836	0.287885	0.115323	0.0494418	0.0539645	0.0405497
a43	0.233838	0.28099	0.191538	0.110471	0.104209	0.0789537
a90	0.133526	0.240749	0.218089	0.157809	0.128652	0.121175
a93	0.137397	0.221393	0.199628	0.138894	0.132345	0.170344
a70	0.167149	0.222091	0.214027	0.153667	0.114433	0.128633
a88	0.125859	0.13414	0.188833	0.184987	0.164967	0.201213
a0	0.0907931	0.0963152	0.155442	0.199105	0.203162	0.255182
a90	0.0510551	0.0539812	0.0872229	0.162452	0.252896	0.392393
a4	0.0334045	0.0373813	0.0614751	0.118725	0.242137	0.506877
a32	0.0201965	0.01967	0.0295271	0.0587719	0.193021	0.678814
a90	0.00796989	0.0081334	0.0140518	0.0390693	0.184226	0.74655
a15	0.00476233	0.00570425	0.012348	0.0387026	0.173263	0.765219
a7	0.000990566	0.000996889	0.00211579	0.00825097	0.0921399	0.895506
a84	0.0248158	0.0203878	0.0275263	0.0574811	0.162527	0.707263
a57	0.310852	0.140809	0.101504	0.0964053	0.126957	0.223472
a87	0.372365	0.158788	0.0988279	0.0875685	0.115026	0.167425
a23	0.341152	0.19989	0.134025	0.10486	0.104997	0.115076
a87	0.221673	0.115985	0.0876222	0.0863866	0.16759	0.320744
</S>	0.0331062	0.0310483	0.0320674	0.0544097	0.19688	0.652489
