 	le	quartier	que	nous	habitons	s'	appelle	matadi	</S>
a66	0.105514	0.15211	0.219123	0.255513	0.171387	0.0675648	0.0149173	0.00766645	0.00620391
a87	0.361318	0.22881	0.168371	0.125586	0.0615449	0.0282358	0.010275	0.00714077	0.00871816
a23	0.29781	0.186202	0.156259	0.119996	0.0763366	0.0537281	0.0309503	0.0307083	0.0480093
a50	0.217653	0.243619	0.149962	0.154369	0.119962	0.0432213	0.0245373	0.0181243	0.028553
a83	0.219457	0.225508	0.148692	0.14118	0.108304	0.0608481	0.0332599	0.0260965	0.0366541
a62	0.302118	0.277578	0.147762	0.128557	0.062099	0.0383582	0.0172195	0.013574	0.0127335
a21	0.206651	0.294919	0.155295	0.167326	0.0684825	0.0533303	0.0243867	0.0190155	0.0105938
a85	0.203935	0.254164	0.154259	0.176046	0.0871757	0.0545665	0.0264739	0.0264777	0.0169023
a21	0.133825	0.175787	0.131817	0.187714	0.132812	0.0727966	0.0431468	0.0614982	0.0606029
a12	0.174237	0.192465	0.150043	0.200151	0.148397	0.0591947	0.0266957	0.0259457	0.0228704
a47	0.115605	0.181431	0.171011	0.20546	0.17267	0.0646287	0.0325736	0.0282142	0.0284072
a75	0.0751658	0.152371	0.169146	0.192782	0.168021	0.0771192	0.05532	0.0502199	0.0598539
a92	0.0430688	0.114682	0.165778	0.186768	0.182728	0.110578	0.0563186	0.0589338	0.0811445
a37	0.0409141	0.0947335	0.146024	0.150502	0.173012	0.113249	0.0674484	0.0767765	0.137341
a43	0.0364007	0.0825406	0.143534	0.15825	0.194042	0.123768	0.0676303	0.0713619	0.122472
a21	0.0222506	0.055697	0.11124	0.126645	0.20136	0.163085	0.0847316	0.0822015	0.152789
a47	0.0150071	0.0333785	0.0676208	0.0769159	0.146843	0.202088	0.145253	0.134905	0.177989
a61	0.0195582	0.0415477	0.0717141	0.0802549	0.174721	0.209921	0.116567	0.108394	0.177322
a47	0.0100507	0.0222084	0.0408306	0.0475403	0.115079	0.187327	0.186066	0.170541	0.220357
a88	0.019934	0.0375348	0.0565816	0.0583505	0.123746	0.15723	0.161284	0.149232	0.236106
a94	0.00656861	0.0115304	0.0206513	0.0234833	0.0748407	0.113587	0.165005	0.169974	0.41436
a93	0.00426597	0.00710733	0.0133776	0.0156835	0.0501472	0.0943104	0.180189	0.182434	0.452484
a56	0.00242553	0.00397757	0.00618022	0.00704672	0.0210193	0.0545276	0.142335	0.23402	0.528468
a96	0.00116987	0.00177761	0.0030323	0.00324319	0.00940798	0.0278943	0.109659	0.226027	0.617789
a90	0.000359673	0.000558777	0.00111627	0.00132179	0.00410779	0.0132857	0.0751164	0.192	0.712134
a56	0.000158368	0.000235082	0.000477969	0.000500666	0.00202339	0.009139	0.0744635	0.189912	0.72309
a98	0.000344714	0.000488445	0.000955995	0.000888073	0.00252148	0.0105391	0.0801094	0.216326	0.687827
a47	0.00016145	0.000236626	0.000385668	0.000379911	0.00171888	0.00816143	0.0661093	0.180087	0.74276
a7	0.000354473	0.000413035	0.000554275	0.000525257	0.00189016	0.0102391	0.073815	0.198604	0.713604
a75	0.00175476	0.00142857	0.0020371	0.00179101	0.003025	0.00922593	0.0513668	0.16367	0.765701
a5	0.000274976	0.00030865	0.000482482	0.000415958	0.00169753	0.00883087	0.0816837	0.198626	0.70768
a23	0.000318802	0.0003145	0.000530762	0.000455939	0.00111495	0.00512337	0.0500626	0.178088	0.763991
a27	0.000152593	0.000171674	0.000297801	0.00023244	0.00069429	0.00365886	0.0356719	0.153854	0.805266
a82	0.0194685	0.0128117	0.0164773	0.0122607	0.0130202	0.0274881	0.109962	0.247176	0.541335
a87	0.0741642	0.0368104	0.0394976	0.0256592	0.0207237	0.051944	0.150757	0.225812	0.374632
a23	0.145592	0.0764545	0.116242	0.0842985	0.070075	0.135256	0.135685	0.107893	0.128504
a99	0.0157522	0.00564803	0.00682492	0.00396334	0.00478316	0.0238638	0.106975	0.303124	0.529066
a87	0.0117151	0.00593625	0.0103116	0.00838238	0.0123675	0.0328976	0.0849108	0.232296	0.601183
</S>	0.00421458	0.00253651	0.00465426	0.00356589	0.00530365	0.0215574	0.0831939	0.24222	0.632754
