 	elle	fut	bouleversée	en	apprenant	la	nouvelle	</S>
a23	0.143033	0.113677	0.0949496	0.11767	0.154883	0.130854	0.110643	0.13429
a30	0.332064	0.225887	0.125083	0.0580411	0.0508691	0.0543485	0.0586173	0.0950905
a53	0.341239	0.221949	0.107896	0.0479254	0.0444403	0.0563546	0.0661385	0.114057
a20	0.285978	0.142664	0.085557	0.0577722	0.0571756	0.084955	0.129439	0.156459
a7	0.497996	0.203112	0.0692394	0.0319381	0.0334836	0.0424024	0.057124	0.0647042
a84	0.474151	0.272512	0.0863176	0.0277263	0.0230502	0.0310664	0.0403931	0.0447839
a40	0.218054	0.221855	0.132127	0.0665383	0.0685318	0.0830481	0.100945	0.1089
a47	0.254892	0.252732	0.152132	0.0732787	0.060308	0.0629235	0.0697592	0.0739747
a37	0.202937	0.207681	0.149134	0.083611	0.072811	0.0775468	0.094681	0.111598
a98	0.176307	0.208331	0.16872	0.0934692	0.0772609	0.0733517	0.0899744	0.112586
a47	0.110627	0.131986	0.139145	0.120156	0.123673	0.120441	0.123943	0.130031
a5	0.103318	0.130074	0.14047	0.12159	0.119614	0.10617	0.121753	0.157012
a21	0.103894	0.134671	0.159816	0.127809	0.121512	0.102453	0.110781	0.139065
a5	0.158981	0.183471	0.177507	0.140021	0.123687	0.0918154	0.0634384	0.0610797
a85	0.0857899	0.094402	0.115706	0.135904	0.161117	0.133345	0.124467	0.14927
a36	0.0479019	0.0524723	0.0808181	0.127531	0.161352	0.13849	0.160966	0.230469
a26	0.0559324	0.0600383	0.0813039	0.135421	0.170068	0.137235	0.141355	0.218646
a90	0.0592687	0.0533366	0.060785	0.0922845	0.122043	0.142367	0.191533	0.278383
a92	0.0296928	0.0356647	0.0556206	0.120695	0.187963	0.18479	0.173661	0.211913
a37	0.031118	0.0331975	0.0459953	0.0881654	0.160785	0.184043	0.201273	0.255422
a75	0.0129891	0.0159001	0.0286635	0.0626395	0.13405	0.172143	0.240643	0.332972
a73	0.0219289	0.0224111	0.0285279	0.0558585	0.117025	0.152013	0.224129	0.378106
a98	0.0072207	0.0100568	0.0196755	0.0434305	0.103958	0.157173	0.265066	0.393418
a85	0.0133146	0.0132156	0.0188481	0.0353367	0.0887026	0.145574	0.279289	0.405719
a36	0.0101857	0.00971018	0.0139893	0.0290463	0.0725374	0.132053	0.299305	0.433174
a11	0.00379199	0.00549948	0.0122532	0.0304766	0.0694254	0.106664	0.264245	0.507645
a75	0.00221202	0.00274399	0.00547317	0.0153981	0.0465144	0.0846459	0.252163	0.590849
a6	0.00551354	0.00729444	0.0116533	0.0238611	0.0593544	0.110991	0.271139	0.510193
a37	0.00777233	0.0102396	0.0147558	0.0271013	0.0658408	0.110206	0.25157	0.512514
a66	0.00216615	0.00328991	0.00781846	0.0201823	0.0522962	0.0840816	0.242744	0.587422
a25	0.00341741	0.00338988	0.00572769	0.0168323	0.0517223	0.0945796	0.255763	0.568568
a30	0.00850781	0.0062457	0.00900887	0.0203701	0.060926	0.130903	0.266848	0.49719
a57	0.0282563	0.0204679	0.0265656	0.0489456	0.0985926	0.173567	0.25948	0.344125
a87	0.0306488	0.0212217	0.0323233	0.0825129	0.168012	0.21207	0.223021	0.230191
a97	0.0411027	0.0316295	0.0537526	0.109342	0.17233	0.190955	0.201067	0.199822
a57	0.0551555	0.0365228	0.0499763	0.0670286	0.111003	0.152127	0.233784	0.294403
a30	0.0561718	0.0320314	0.0390282	0.0501043	0.093358	0.122646	0.224703	0.381957
</S>	0.0769175	0.0408646	0.0410678	0.0476385	0.0853308	0.120469	0.223843	0.363868
