 	la	seule	personne	qui	m'	offre	des	choses	dans	ce	village	c'	est	ondongo	</S>
a66	0.209738	0.191316	0.126185	0.0836588	0.079106	0.0539067	0.0534933	0.0490437	0.0490148	0.0349913	0.0230486	0.0184003	0.0119583	0.00896707	0.00717225
a87	0.598302	0.203766	0.061121	0.0215606	0.0162971	0.00862443	0.00732118	0.00980225	0.00861809	0.00742778	0.00819587	0.0116163	0.00990818	0.0134787	0.0139607
a23	0.413402	0.12836	0.0793008	0.0599113	0.0661469	0.049641	0.0278782	0.0305276	0.0219726	0.014338	0.0127595	0.0154021	0.0166238	0.0272317	0.0365045
a79	0.120382	0.0365368	0.0327155	0.0423664	0.0655946	0.0734104	0.0599932	0.0678709	0.055644	0.0472429	0.0469328	0.0592871	0.0574114	0.0875887	0.147023
a4	0.0621656	0.0275722	0.0380044	0.0518362	0.0620374	0.0591227	0.0659355	0.0910442	0.0724798	0.0671362	0.0653685	0.0746464	0.0730968	0.0845562	0.104998
a58	0.2421	0.18543	0.149987	0.0945448	0.0903709	0.0617822	0.034146	0.0350827	0.0241165	0.0182796	0.01427	0.0151378	0.0118468	0.0107882	0.0121179
a54	0.142462	0.1203	0.166295	0.140136	0.15147	0.11232	0.0447182	0.0324003	0.0217827	0.0144111	0.012397	0.0131286	0.00983602	0.00795214	0.0103903
a79	0.0712496	0.10012	0.15949	0.131883	0.1346	0.116007	0.0665316	0.0550805	0.0430033	0.0312454	0.0226918	0.0216416	0.0163048	0.0130876	0.017064
a37	0.0558579	0.0966371	0.174616	0.156481	0.151991	0.116904	0.0540589	0.0381777	0.0323937	0.0231852	0.0175647	0.0199304	0.0166701	0.0172812	0.0282525
a98	0.0364093	0.0412737	0.087276	0.118987	0.176954	0.19566	0.102965	0.0747319	0.049665	0.0276236	0.0186848	0.0168145	0.0149623	0.0165823	0.0214114
a6	0.0355327	0.0552742	0.114465	0.135764	0.143321	0.117649	0.0782522	0.0652006	0.0634715	0.0444603	0.0320475	0.0290174	0.0222163	0.0265856	0.0367421
a75	0.0509772	0.0573462	0.0791962	0.0918171	0.106277	0.0940789	0.0762055	0.0783293	0.0813454	0.063186	0.0494416	0.0426561	0.0342722	0.0422238	0.0526473
a98	0.0206572	0.0264846	0.0477247	0.0765132	0.102666	0.0912975	0.0849079	0.0884903	0.103772	0.0789379	0.0662937	0.0602676	0.0461082	0.0496315	0.0562474
a6	0.0182145	0.0272211	0.0494236	0.0769201	0.101726	0.0859919	0.0790759	0.0790048	0.0951073	0.0749399	0.0679613	0.0700503	0.0546827	0.0566245	0.0630564
a7	0.0109159	0.0141605	0.0233591	0.0446326	0.0644653	0.0726578	0.0895588	0.0956983	0.122605	0.101298	0.0790958	0.0653873	0.0542245	0.0700944	0.091847
a44	0.00935218	0.0104007	0.0115007	0.017489	0.0229307	0.0243805	0.0480083	0.0696953	0.123693	0.134559	0.120037	0.0960452	0.0792099	0.0989837	0.133715
