 	maman	a	étalé	un	pagne	sur	le	lit	</S>
a66	0.301093	0.318629	0.187878	0.0597871	0.0468711	0.0349542	0.0259472	0.0151435	0.00969733
a87	0.274692	0.258927	0.127738	0.0873886	0.0790322	0.0655508	0.0495567	0.0309482	0.0261669
a97	0.16462	0.142722	0.219835	0.128229	0.120555	0.0933447	0.0560893	0.0407967	0.0338084
a87	0.163381	0.177603	0.338548	0.157398	0.0823117	0.0400699	0.0174348	0.0123743	0.0108789
a97	0.169779	0.175489	0.300139	0.153325	0.0952906	0.0510103	0.0226328	0.0168617	0.0154718
a30	0.156463	0.17458	0.336216	0.144548	0.0856187	0.0453188	0.021993	0.0177183	0.0175448
a53	0.211371	0.191791	0.325851	0.130484	0.0742761	0.0321775	0.0148607	0.00985641	0.00933207
a15	0.237384	0.255924	0.250787	0.11952	0.0650759	0.0343594	0.0190318	0.0105179	0.00740025
a98	0.183925	0.235756	0.19622	0.129802	0.0923965	0.0644126	0.047762	0.0287247	0.0210019
a5	0.157098	0.246522	0.211183	0.137928	0.0981059	0.0611791	0.0428523	0.0257105	0.0194213
a12	0.124668	0.18641	0.22715	0.159833	0.118492	0.0740067	0.0506422	0.0322865	0.0265124
a21	0.0954647	0.120666	0.191496	0.175412	0.150172	0.113687	0.076712	0.0430272	0.0333625
a5	0.0673957	0.0868277	0.119438	0.120797	0.135283	0.141101	0.134555	0.107545	0.087058
a12	0.0551544	0.0580269	0.119416	0.14215	0.158461	0.156255	0.133262	0.0960567	0.0812181
a18	0.0318036	0.029553	0.0662434	0.0926764	0.127794	0.160836	0.175663	0.160817	0.154613
a13	0.0094573	0.00796059	0.0278212	0.0483325	0.0777414	0.123263	0.188612	0.242821	0.273991
a38	0.00432136	0.0029166	0.0108973	0.0204294	0.0491121	0.110078	0.181151	0.258119	0.362976
a5	0.00386274	0.00330696	0.00746998	0.013456	0.0362068	0.0927361	0.160398	0.25177	0.430793
a37	0.00251538	0.00219795	0.0050657	0.00979188	0.0246535	0.0577663	0.116891	0.269936	0.511183
a44	0.00109368	0.000998524	0.00303867	0.00682661	0.0177919	0.050912	0.107456	0.253495	0.558388
a4	0.0011236	0.00103715	0.00267224	0.00650264	0.015707	0.0408206	0.0919378	0.250562	0.589637
a13	0.00110637	0.00102333	0.00194036	0.00427316	0.0106645	0.0296174	0.0803135	0.252686	0.618376
a61	0.00094785	0.000803772	0.00197068	0.00464399	0.0134997	0.0429296	0.10482	0.268997	0.561387
a12	0.000926427	0.000777145	0.00226113	0.00529278	0.0143064	0.0372422	0.0900369	0.254504	0.594653
a62	0.000702993	0.000701461	0.00164107	0.00376559	0.0095441	0.0239663	0.0571702	0.195767	0.706741
a88	0.000752546	0.000794586	0.00202595	0.00512003	0.0113085	0.028457	0.0667982	0.209208	0.675535
a71	0.00100036	0.000949653	0.00222997	0.00534216	0.0136726	0.0383778	0.0869276	0.229652	0.621848
a9	0.00325798	0.00289981	0.00489904	0.0101902	0.0219819	0.0528174	0.108935	0.239378	0.555641
a99	0.0182137	0.0158535	0.0302773	0.04465	0.0656886	0.0963919	0.142443	0.218262	0.36822
a97	0.0523159	0.038692	0.0563011	0.0622785	0.0725975	0.0864886	0.10975	0.182942	0.338634
</S>	0.0960939	0.0679604	0.0766636	0.0758483	0.0907444	0.0965066	0.100345	0.145581	0.250257
