 	il	déplie	la	natte	</S>
a66	0.655052	0.189549	0.0510284	0.0497242	0.0546468
a57	0.822141	0.0859985	0.0427874	0.0288969	0.0201766
a99	0.839742	0.0711421	0.0404843	0.0241336	0.0244976
a13	0.775616	0.111132	0.0541751	0.0293568	0.0297201
a53	0.66823	0.102171	0.0860231	0.0695176	0.0740579
a7	0.589654	0.21445	0.0962296	0.0597779	0.0398887
a44	0.287917	0.353809	0.219595	0.080992	0.0576876
a54	0.229118	0.310882	0.269628	0.110555	0.0798164
a36	0.231087	0.234419	0.198781	0.169452	0.166261
a70	0.194707	0.180413	0.166377	0.192399	0.266103
a83	0.124905	0.106116	0.149186	0.272427	0.347366
a36	0.0510819	0.0662321	0.155493	0.325247	0.401946
a26	0.0158465	0.0248485	0.0986134	0.255865	0.604827
a70	0.043056	0.0348769	0.102231	0.263397	0.556439
a83	0.0132485	0.018891	0.0905666	0.297609	0.579685
a18	0.0111556	0.0243794	0.105351	0.304536	0.554578
a44	0.0417365	0.0448147	0.115216	0.275399	0.522834
a4	0.0216851	0.049884	0.120012	0.284305	0.524114
a58	0.00822193	0.0234244	0.0843626	0.247753	0.636238
a82	0.011889	0.0206673	0.0725625	0.223699	0.671182
a87	0.237876	0.0849561	0.13843	0.212492	0.326246
a23	0.447678	0.128532	0.117245	0.129503	0.177042
a87	0.483897	0.175671	0.10337	0.0971319	0.13993
a23	0.265667	0.119543	0.130556	0.152629	0.331605
a87	0.332853	0.141837	0.107042	0.126623	0.291645
</S>	0.226087	0.136229	0.137376	0.165522	0.334787
