 	le	pêcheur	a	conservé	ses	appâts	dans	une	boîte	</S>
a66	0.112123	0.115257	0.134914	0.211553	0.191043	0.146885	0.0570262	0.0181611	0.00847515	0.00456242
a87	0.403543	0.184689	0.10536	0.0754182	0.0484345	0.0885729	0.0417444	0.0220298	0.0183211	0.0118869
a23	0.410794	0.217641	0.157537	0.088882	0.041537	0.0509158	0.0159028	0.00605339	0.00575311	0.00498494
a79	0.360506	0.220652	0.145578	0.0887908	0.0519139	0.0619706	0.0235205	0.013911	0.0121905	0.0209668
a56	0.252378	0.111191	0.0982414	0.0695262	0.0773067	0.120119	0.0722732	0.0563805	0.0698407	0.0727439
a75	0.208706	0.172347	0.114166	0.100532	0.0873259	0.121269	0.086977	0.046361	0.0389849	0.0233315
a92	0.107068	0.115741	0.0790578	0.0864665	0.0905711	0.142	0.149398	0.114497	0.080608	0.0345924
a79	0.105388	0.126574	0.0940043	0.105025	0.0900709	0.142924	0.123524	0.102695	0.0757247	0.0340711
a44	0.0652795	0.0998005	0.115137	0.123745	0.123521	0.183522	0.124242	0.0803739	0.0533243	0.0310549
a96	0.0671615	0.0867856	0.112054	0.121748	0.146156	0.197388	0.130567	0.067291	0.0422057	0.0286439
a66	0.0560169	0.0516386	0.101667	0.117671	0.154318	0.211643	0.151648	0.078529	0.045179	0.0316891
a98	0.0217974	0.018597	0.0593677	0.0821607	0.144403	0.221277	0.200223	0.119427	0.0749241	0.0578242
a92	0.0125	0.0114168	0.0429466	0.0688605	0.134126	0.213734	0.193739	0.13522	0.105903	0.0815532
a37	0.0167223	0.0153089	0.0450548	0.0805879	0.151253	0.19798	0.164129	0.124144	0.10893	0.0958894
a34	0.0204128	0.016598	0.0530761	0.0915575	0.165731	0.194872	0.180882	0.120454	0.0813824	0.0750341
a61	0.0122128	0.00932255	0.0297726	0.0618517	0.130192	0.161389	0.196582	0.171586	0.120751	0.10634
a0	0.00763378	0.00667257	0.0157208	0.0314299	0.0847643	0.132822	0.198525	0.199816	0.167358	0.155258
a75	0.010584	0.0108506	0.0196716	0.0351612	0.0744719	0.0989425	0.156393	0.190454	0.206646	0.196826
a92	0.00201514	0.00204254	0.0037208	0.00781988	0.0196169	0.0357265	0.0890316	0.174121	0.218438	0.447468
a21	0.0023863	0.00217656	0.00449389	0.0098254	0.0255616	0.0446077	0.104373	0.196235	0.230396	0.379943
a12	0.00414009	0.00348649	0.00602758	0.0110616	0.0231124	0.0349889	0.0844409	0.180338	0.247411	0.404993
a61	0.00272325	0.00256555	0.00404491	0.00761695	0.0154603	0.0247379	0.0673507	0.162394	0.253138	0.459968
a18	0.00262561	0.00258819	0.00370416	0.00616982	0.0102931	0.0137726	0.0417531	0.121885	0.21589	0.581318
a75	0.00110383	0.00134134	0.00196905	0.00296225	0.0041819	0.00385718	0.0127437	0.0735667	0.189356	0.708918
a5	0.000268417	0.000281745	0.000352923	0.000486184	0.00110342	0.00220138	0.0116875	0.0864296	0.181431	0.715758
a37	0.00130282	0.00128755	0.00153415	0.00218958	0.00300744	0.00364541	0.0152851	0.0827573	0.169801	0.71919
a26	0.000812237	0.00076849	0.000887144	0.00108966	0.00139932	0.00154528	0.00672465	0.0534604	0.144553	0.78876
a27	0.00613581	0.00418946	0.00459241	0.00518237	0.00493474	0.00419911	0.0130547	0.0688981	0.165184	0.72363
a2	0.0691253	0.035646	0.0337722	0.0418655	0.0375448	0.0325419	0.0562005	0.111006	0.158823	0.423475
a57	0.104694	0.0500778	0.0424975	0.0516702	0.0487404	0.0443633	0.0626417	0.110141	0.145541	0.339634
a87	0.235275	0.0924193	0.0903226	0.0946706	0.0683357	0.0661303	0.0453915	0.0614912	0.0754999	0.170464
a23	0.206997	0.0919702	0.0972311	0.104842	0.0822968	0.110112	0.0762708	0.0690229	0.0640745	0.0971831
a97	0.142713	0.0642142	0.061088	0.0640484	0.0522113	0.0780187	0.0689533	0.0886079	0.118548	0.261597
a87	0.042463	0.0230838	0.0406528	0.0535819	0.0703623	0.121837	0.0747465	0.0857103	0.114828	0.372734
a23	0.0645272	0.0457402	0.0850163	0.104865	0.117987	0.162819	0.0784371	0.0630093	0.0734727	0.204127
a87	0.0442002	0.0258356	0.0348085	0.0413218	0.0632096	0.12989	0.111839	0.108559	0.136888	0.303448
</S>	0.0349576	0.0240199	0.0428306	0.0545238	0.0778498	0.138375	0.0870691	0.0851395	0.114295	0.340939
