 	comment	je	vais	faire	</S>
a23	0.602224	0.174888	0.0938142	0.0666552	0.0624181
a83	0.64185	0.178925	0.0882846	0.0571807	0.0337596
a75	0.598137	0.226651	0.0966735	0.0436715	0.0348675
a12	0.397823	0.276955	0.156092	0.10651	0.0626195
a31	0.358138	0.281941	0.180976	0.124964	0.0539817
a88	0.199753	0.20928	0.247589	0.225467	0.117911
a25	0.105471	0.114148	0.173414	0.28361	0.323357
a75	0.0550931	0.072318	0.187484	0.31948	0.365625
a94	0.0292481	0.0447998	0.145039	0.3117	0.469212
a13	0.0167221	0.0293169	0.116018	0.292936	0.545007
a99	0.0118014	0.0173732	0.07065	0.227718	0.672458
a9	0.00995797	0.0112451	0.0412361	0.156954	0.780607
a87	0.0979988	0.0529012	0.0775946	0.183732	0.587774
a23	0.192934	0.126731	0.13134	0.204043	0.344952
a87	0.0391597	0.0398278	0.0768191	0.221509	0.622685
</S>	0.0378223	0.0417666	0.0813209	0.233052	0.606038
