 	le	maçon	a	enfoncé	le	poteau	dans	le	sol	</S>
a15	0.202094	0.156347	0.119307	0.141256	0.145575	0.108559	0.0598092	0.0301817	0.0198321	0.0170386
a87	0.106443	0.114287	0.123085	0.154681	0.159383	0.0985694	0.0749995	0.0504473	0.0569437	0.0611618
a23	0.287898	0.175385	0.148929	0.0976623	0.0621212	0.0357606	0.0354451	0.0352121	0.0482522	0.0733352
a30	0.271878	0.274157	0.212726	0.107235	0.0506685	0.0153168	0.00925713	0.0109576	0.0178268	0.0299768
a93	0.369819	0.281189	0.140986	0.0648558	0.040332	0.0154217	0.0114655	0.0168707	0.0240532	0.0350064
a83	0.366698	0.287604	0.111668	0.0501548	0.0402608	0.0182943	0.0164835	0.0285734	0.0372113	0.0430516
a9	0.381424	0.315116	0.129117	0.0636605	0.048349	0.0162001	0.00962958	0.010259	0.0113332	0.0149108
a75	0.339162	0.283406	0.14059	0.0760651	0.0599978	0.0257687	0.0141486	0.0145422	0.0189335	0.0273858
a90	0.191584	0.233302	0.173744	0.125957	0.11041	0.0582965	0.0304967	0.026353	0.0222685	0.0275881
a56	0.150544	0.235263	0.204661	0.146216	0.116831	0.0526154	0.0262221	0.0225235	0.0194282	0.025695
a61	0.139617	0.218638	0.206983	0.154861	0.128132	0.0601616	0.0275073	0.0202527	0.0190895	0.024759
a47	0.128381	0.197361	0.201731	0.169427	0.145332	0.0754946	0.0306445	0.0174756	0.0157743	0.0183792
a96	0.0996675	0.185426	0.205037	0.187607	0.15482	0.0833952	0.0342744	0.0167693	0.0144391	0.0185649
a21	0.0703166	0.16051	0.199644	0.189883	0.16571	0.109101	0.0454373	0.0197554	0.0176389	0.0220037
a5	0.0469695	0.111371	0.173657	0.200389	0.181747	0.141509	0.0684522	0.028187	0.0220645	0.0256528
a18	0.0330164	0.077312	0.148813	0.194161	0.182378	0.159036	0.0912549	0.0423108	0.0331513	0.0385662
a61	0.0149095	0.0594109	0.13398	0.194235	0.181572	0.15256	0.0948856	0.048525	0.0484243	0.0714969
a21	0.0133589	0.0440235	0.106417	0.167494	0.16316	0.173643	0.143729	0.0734605	0.0517048	0.0630094
a85	0.0131751	0.0314539	0.0739349	0.128441	0.136328	0.176042	0.164863	0.103255	0.0786489	0.0938585
a5	0.0150485	0.0233279	0.045397	0.0777866	0.0858899	0.124238	0.128715	0.124334	0.162427	0.212836
a27	0.0190156	0.0295787	0.0534723	0.0905018	0.0986201	0.160287	0.155231	0.114268	0.121231	0.157794
a61	0.00858205	0.0177142	0.0306746	0.0539396	0.0553423	0.111056	0.128774	0.135563	0.184114	0.27424
a47	0.00490012	0.0136035	0.0271977	0.0491924	0.0555755	0.113824	0.152377	0.172984	0.180745	0.229601
a96	0.00329969	0.00946519	0.0191184	0.0332027	0.033256	0.0684505	0.0965225	0.16037	0.250017	0.326298
a61	0.00162888	0.00502466	0.0109005	0.0188224	0.018847	0.0410576	0.0682631	0.144954	0.31156	0.378942
a21	0.000752498	0.00259991	0.00590679	0.0103687	0.0108954	0.0242671	0.0452752	0.120521	0.331264	0.448149
a47	0.00157537	0.00379742	0.00799763	0.0142171	0.0152004	0.0282731	0.0475403	0.111455	0.339874	0.430069
a0	0.000540011	0.00129638	0.00260814	0.0048148	0.00530893	0.0147111	0.0331789	0.12409	0.376345	0.437106
a11	0.000324769	0.000717182	0.00140428	0.00273088	0.00324748	0.011328	0.0303967	0.120749	0.351947	0.477155
a61	0.000399158	0.000632679	0.00111192	0.0020838	0.00256235	0.00955005	0.0265224	0.120095	0.34698	0.490063
a56	0.000202582	0.000468369	0.000930227	0.00171483	0.00190632	0.006463	0.017951	0.0832407	0.322809	0.564314
a0	0.000328191	0.000738933	0.00152296	0.00261078	0.00265538	0.00703564	0.0184302	0.0825777	0.317129	0.566972
a75	0.00021737	0.000336248	0.000628215	0.00126212	0.001636	0.00626659	0.0195053	0.102982	0.353513	0.513653
a18	0.000268621	0.000485317	0.00086016	0.00149123	0.00168658	0.00489193	0.0173272	0.097458	0.304943	0.570588
a38	0.00259483	0.0023673	0.00398517	0.00594916	0.00647769	0.0119085	0.0259926	0.0970721	0.292673	0.550979
a21	0.0117919	0.00882114	0.0126103	0.0156258	0.0167086	0.024024	0.0448014	0.109874	0.270963	0.48478
a96	0.000470717	0.000656224	0.00105492	0.00162456	0.00176729	0.00407801	0.0110503	0.0605998	0.275132	0.643566
a83	0.00070217	0.000870385	0.0013869	0.00214285	0.00250744	0.00597142	0.0144904	0.0675816	0.270031	0.634315
a9	0.000689349	0.000810756	0.00129153	0.00209837	0.00250128	0.00623648	0.0157593	0.0763818	0.283577	0.610654
a10	0.0121004	0.00888783	0.0127685	0.0176872	0.020423	0.0292091	0.0502004	0.108988	0.257989	0.481746
a87	0.0714378	0.0351554	0.0436989	0.0474024	0.0462052	0.0484842	0.0691805	0.100895	0.193791	0.343749
a23	0.104686	0.0568971	0.0741859	0.07676	0.0666813	0.0689008	0.0847798	0.0925049	0.146949	0.227655
a87	0.0599013	0.0333683	0.044235	0.050367	0.0472313	0.0471589	0.0598571	0.0858992	0.165626	0.406356
</S>	0.0188056	0.0136894	0.0210873	0.0293827	0.0276081	0.0270713	0.035582	0.0642639	0.181644	0.580866
