 	j'	étais	assis	à	même	le	sol	</S>
a87	0.174199	0.125753	0.196814	0.204758	0.187245	0.065673	0.0289849	0.0165737
a23	0.412068	0.148691	0.101688	0.0840647	0.0703937	0.0697394	0.0591966	0.0541588
a83	0.276484	0.144122	0.127309	0.127226	0.118017	0.0744234	0.0593519	0.0730667
a24	0.284137	0.160617	0.150097	0.125263	0.10977	0.0743196	0.051187	0.0446097
a31	0.353317	0.238941	0.172908	0.11299	0.0660895	0.0282707	0.014724	0.0127587
a88	0.382063	0.268769	0.183502	0.101378	0.0444317	0.0113689	0.00487014	0.00361675
a61	0.325124	0.244409	0.186415	0.120513	0.0640232	0.0283394	0.0168014	0.0143752
a47	0.22124	0.198919	0.172042	0.145374	0.108169	0.0701925	0.0454597	0.0386029
a66	0.166487	0.147135	0.170046	0.194482	0.168933	0.0788652	0.042163	0.0318896
a11	0.125169	0.133889	0.155596	0.187178	0.177104	0.105106	0.0630165	0.0529408
a93	0.113885	0.120523	0.136427	0.176421	0.178721	0.124082	0.080064	0.0698782
a56	0.120653	0.121577	0.135163	0.173499	0.168541	0.130843	0.0828489	0.0668753
a66	0.0907278	0.0944782	0.117962	0.15651	0.184166	0.176206	0.107079	0.0728718
a9	0.0446558	0.0487268	0.064103	0.0924876	0.141905	0.209841	0.207212	0.191069
a10	0.0199454	0.019561	0.0252801	0.0410794	0.0917075	0.205178	0.280452	0.316797
a47	0.0113688	0.00862705	0.0129689	0.0223746	0.0528473	0.13367	0.276689	0.481454
a83	0.0200457	0.00966568	0.0102538	0.0157173	0.0442493	0.14101	0.274428	0.48463
a9	0.00411949	0.00249778	0.00282453	0.00437534	0.019935	0.148618	0.32815	0.48948
a87	0.00552056	0.00317871	0.00347189	0.00566726	0.0192011	0.115202	0.302598	0.54516
a23	0.0509775	0.0316691	0.0379478	0.0573124	0.102681	0.180518	0.242572	0.296323
a87	0.0359752	0.0181244	0.018625	0.0254878	0.050911	0.167242	0.27653	0.407105
a23	0.0287337	0.0181796	0.0237437	0.0350542	0.0652212	0.149671	0.256164	0.423233
a87	0.0312428	0.0169979	0.0187679	0.0244387	0.0462603	0.133724	0.256125	0.472444
a23	0.0297578	0.0160245	0.0172377	0.0210086	0.036283	0.105357	0.228802	0.545529
a87	0.0754552	0.036183	0.0335213	0.0379877	0.0547037	0.116274	0.205956	0.439919
</S>	0.0321494	0.0159766	0.0182574	0.0249413	0.0441598	0.117573	0.219324	0.527619
