 	attention	à	ce	que	tu	fais	</S>
a23	0.35942	0.310637	0.0733187	0.0443903	0.0536224	0.0698417	0.08877
a87	0.293094	0.235522	0.127466	0.0809204	0.0723415	0.0857339	0.104922
a23	0.304849	0.246884	0.158492	0.0845451	0.0600892	0.0619599	0.0831811
a20	0.235579	0.197114	0.132258	0.100242	0.0905304	0.103309	0.140968
a58	0.381584	0.337228	0.138608	0.0668935	0.0351838	0.0222009	0.0183015
a57	0.385307	0.30083	0.204994	0.0759301	0.0200427	0.00770903	0.00518688
a20	0.283904	0.223866	0.233697	0.137845	0.0614397	0.0323852	0.0268619
a73	0.307401	0.251937	0.211717	0.114908	0.0571451	0.0317739	0.0251179
a37	0.328669	0.289584	0.211771	0.0924563	0.0391122	0.0222254	0.0161816
a38	0.294922	0.258134	0.230308	0.11302	0.0504758	0.0298649	0.0232748
a76	0.2582	0.244427	0.233179	0.130531	0.0641285	0.0394551	0.0300788
a90	0.226821	0.215185	0.187686	0.125267	0.0935966	0.0821345	0.0693109
a94	0.161664	0.150821	0.190428	0.1812	0.134657	0.101982	0.0792478
a76	0.115353	0.0981608	0.128586	0.178063	0.186444	0.161656	0.131738
a41	0.0867919	0.0729215	0.0909395	0.151988	0.206729	0.212078	0.178552
a27	0.0563432	0.0467961	0.0558915	0.107697	0.197876	0.260703	0.274693
a75	0.0523781	0.0421401	0.0483933	0.0874298	0.194546	0.287567	0.287546
a41	0.037516	0.0304742	0.0334784	0.0682684	0.173341	0.303829	0.353093
a56	0.0264866	0.0209618	0.0250882	0.0526392	0.153808	0.324409	0.396608
a94	0.0358038	0.0253655	0.0273517	0.0457204	0.123293	0.293661	0.448805
a44	0.0220091	0.0171162	0.0193605	0.031521	0.0870193	0.265689	0.557285
a82	0.0249516	0.0212585	0.0245778	0.0368317	0.0881385	0.250135	0.554107
a87	0.00915866	0.00746486	0.00925162	0.0172279	0.0502155	0.203527	0.703154
</S>	0.00713417	0.00519699	0.00763181	0.0163754	0.0557531	0.239419	0.66849
