 	les	anciens	du	villages	se	sont	réunis	pour	la	palabre	</S>
a23	0.18481	0.286923	0.109719	0.0822129	0.063592	0.0669195	0.0609846	0.0487891	0.0353535	0.0343622	0.0263346
a87	0.176929	0.219914	0.138888	0.100994	0.0773876	0.0627013	0.0433074	0.0376513	0.0396676	0.0491986	0.053362
a23	0.102706	0.145437	0.130067	0.10375	0.0941114	0.0908587	0.0710276	0.0603026	0.0597177	0.0659846	0.0760384
a10	0.174556	0.247689	0.157815	0.0932391	0.0735228	0.0593272	0.0419846	0.0364699	0.0350194	0.0382432	0.0421345
a87	0.207809	0.274596	0.167218	0.123534	0.0956157	0.053316	0.0252257	0.0192539	0.011718	0.00952401	0.0121892
a23	0.131491	0.193358	0.152054	0.133704	0.114342	0.0843399	0.0539067	0.0495068	0.034721	0.0235001	0.0290765
a40	0.16452	0.253317	0.154709	0.115646	0.0869532	0.0615066	0.0399193	0.0378661	0.030806	0.0255316	0.0292253
a57	0.312921	0.305385	0.114406	0.101561	0.0631229	0.0368789	0.0207076	0.0190733	0.0114114	0.00745228	0.00708056
a38	0.266286	0.18727	0.112654	0.119402	0.11038	0.0912658	0.0529734	0.0355264	0.0143751	0.00547163	0.00439447
a30	0.184955	0.15773	0.136337	0.129182	0.127811	0.112581	0.0724899	0.0467545	0.0201131	0.00686936	0.00517614
a35	0.139946	0.141713	0.144577	0.121306	0.13024	0.124552	0.0938879	0.0618926	0.0262065	0.00928468	0.00639294
a41	0.125485	0.141667	0.158853	0.124777	0.132321	0.125953	0.0937382	0.0602096	0.0248509	0.00712187	0.00502396
a30	0.0980442	0.120985	0.146425	0.120894	0.137784	0.138771	0.111166	0.0759094	0.0329444	0.0101068	0.00697073
a44	0.0517182	0.0733095	0.101506	0.0971255	0.123259	0.143485	0.144284	0.131181	0.0799437	0.0322848	0.0219032
a57	0.0613967	0.0711753	0.115672	0.11082	0.142772	0.162137	0.143001	0.107624	0.0518553	0.018783	0.0147632
a38	0.0175763	0.0212916	0.0486769	0.0701661	0.114724	0.145463	0.160963	0.172997	0.116084	0.0650689	0.0669878
a76	0.0204559	0.0230597	0.0522905	0.0725687	0.119494	0.155066	0.172772	0.174934	0.103858	0.0537488	0.0517528
a20	0.070664	0.0693685	0.0941262	0.0909522	0.119206	0.146092	0.140918	0.113885	0.0674079	0.0440718	0.0433099
a84	0.0844666	0.0694239	0.0736867	0.0664322	0.0890442	0.118185	0.122552	0.106455	0.0808562	0.0834348	0.105463
a40	0.0188377	0.0155697	0.0242082	0.0277018	0.0516762	0.0861997	0.11606	0.122834	0.111719	0.175864	0.24933
a30	0.0528543	0.0397017	0.038276	0.0428596	0.0572874	0.0752029	0.0889958	0.0981608	0.108914	0.162987	0.234761
a35	0.0307701	0.0263692	0.0334576	0.0340508	0.0523704	0.0814309	0.111898	0.12177	0.122183	0.181693	0.204007
a24	0.0209069	0.0144333	0.0175233	0.0162568	0.0265631	0.0425225	0.0629257	0.0784598	0.105328	0.23988	0.375201
a25	0.0169348	0.00979043	0.0105323	0.00991721	0.0173009	0.0267837	0.0394441	0.0551425	0.0917326	0.287809	0.434612
a38	0.00612293	0.00401401	0.00522001	0.00590839	0.0102124	0.0178621	0.0298856	0.0533032	0.0981885	0.352581	0.416702
a41	0.00627528	0.00371307	0.00553452	0.00687904	0.0127802	0.0219058	0.0356488	0.055712	0.0904657	0.311144	0.449942
a35	0.00584145	0.00364496	0.0043721	0.00373872	0.00660214	0.0117618	0.0207535	0.034109	0.070241	0.327063	0.511873
a41	0.00452166	0.00252268	0.00242632	0.00173932	0.00304845	0.00521486	0.00892811	0.015258	0.04025	0.31205	0.604041
a35	0.00337035	0.00206726	0.00192529	0.00134108	0.00214189	0.00350412	0.00586717	0.0112003	0.0316356	0.313509	0.623437
a76	0.0065057	0.0036914	0.00329592	0.00237928	0.00378264	0.00606425	0.00927873	0.0157748	0.0374994	0.300585	0.611143
a35	0.0102566	0.00486421	0.004449	0.00304808	0.00453709	0.006822	0.00979205	0.0157811	0.0353509	0.26667	0.638429
a41	0.00733117	0.00429483	0.00365973	0.00214939	0.00319444	0.00525059	0.00812062	0.0138411	0.0352798	0.289078	0.6278
a35	0.00514377	0.00343675	0.00325103	0.00230312	0.00334153	0.00538405	0.00874192	0.0160273	0.039529	0.300566	0.612275
a75	0.0106235	0.00704563	0.00653356	0.00427084	0.00575419	0.00871393	0.012597	0.0193654	0.03944	0.270925	0.614731
a41	0.00947214	0.00556131	0.00600631	0.00443716	0.00722995	0.011155	0.0163262	0.0238148	0.0495775	0.288607	0.577812
a94	0.00840668	0.00512545	0.00489566	0.00334487	0.00485171	0.00756678	0.0124005	0.022416	0.0538344	0.287713	0.589445
a25	0.0146631	0.0103278	0.00841703	0.00446107	0.00516897	0.00716807	0.0102087	0.0168957	0.037405	0.253881	0.631403
a87	0.00965728	0.0077141	0.0092886	0.00600545	0.00831982	0.0137021	0.0235663	0.0424925	0.0807129	0.2914	0.50714
a57	0.0103585	0.00773816	0.00738144	0.00530383	0.00574226	0.0086387	0.0152615	0.0310451	0.0717593	0.302193	0.534578
a87	0.0174628	0.0109761	0.0100532	0.00943994	0.0107467	0.0159006	0.0241723	0.040039	0.0768143	0.284743	0.499653
</S>	0.0150751	0.00830363	0.00718225	0.00826298	0.00915262	0.0133227	0.0217586	0.0405029	0.0895356	0.292458	0.494446
