 	j'	ai	cueilli	une	mangue	qui	commence	à	mûrir	</S>
a66	0.330453	0.245058	0.139462	0.0408996	0.0444122	0.0535628	0.0475497	0.0376309	0.0301109	0.0308606
a87	0.405346	0.251215	0.0818648	0.0317025	0.0161644	0.0269745	0.0355248	0.04651	0.0532373	0.0514612
a23	0.497979	0.285292	0.0706264	0.0238478	0.0098212	0.00880262	0.0113707	0.0138484	0.0271172	0.0512946
a38	0.431202	0.265315	0.0630632	0.0187178	0.0119993	0.0152734	0.0232009	0.0326684	0.053132	0.0854275
a36	0.299026	0.206009	0.132116	0.0569427	0.0318763	0.0272698	0.0294488	0.0470251	0.0616146	0.108672
a26	0.167225	0.161624	0.240708	0.10403	0.0617743	0.038641	0.0361809	0.0472256	0.0490728	0.093519
a18	0.177824	0.172922	0.210178	0.136077	0.0754043	0.0441593	0.0355988	0.035958	0.0352481	0.0766308
a71	0.0752741	0.121834	0.205383	0.215697	0.119879	0.0717951	0.0537539	0.0453075	0.0390446	0.052031
a9	0.0570902	0.0910759	0.152277	0.217057	0.144225	0.0921943	0.0686512	0.0599534	0.0531373	0.0643393
a38	0.0762025	0.100455	0.104855	0.168131	0.123586	0.0935236	0.0739901	0.0743842	0.0763673	0.108505
a94	0.0473454	0.0614577	0.0844405	0.157251	0.141454	0.0999016	0.0832426	0.0916673	0.0963682	0.136872
a0	0.0314421	0.0473184	0.0911272	0.205959	0.164156	0.0958538	0.078779	0.0885857	0.0869058	0.109873
a11	0.0307735	0.0380797	0.051848	0.150108	0.149001	0.100806	0.0844235	0.105656	0.112023	0.177281
a66	0.0210116	0.0249602	0.0275443	0.107659	0.155354	0.115161	0.0923599	0.107081	0.122303	0.226564
a83	0.015758	0.0171353	0.013081	0.0536471	0.117909	0.116028	0.106348	0.119931	0.148411	0.291752
a25	0.0141939	0.0129914	0.0101555	0.0361662	0.0996767	0.127229	0.129312	0.138063	0.151075	0.281137
a79	0.00350959	0.00353779	0.00307778	0.0101829	0.0365015	0.0695168	0.103626	0.152957	0.188753	0.428338
a21	0.00283312	0.0031844	0.0040278	0.0189324	0.0813166	0.122682	0.168594	0.198814	0.178968	0.220647
a47	0.00238872	0.00204099	0.0014683	0.00924263	0.0504029	0.0876504	0.146896	0.208286	0.205642	0.285983
a75	0.00211654	0.00166697	0.000758547	0.00541196	0.0293419	0.0713194	0.138459	0.207375	0.210963	0.332588
a90	0.000462682	0.000335078	0.000178414	0.00198837	0.0197246	0.0509004	0.113682	0.209846	0.232169	0.370714
a56	0.000481556	0.000356185	0.000215981	0.00172851	0.0112236	0.0320289	0.074892	0.161925	0.229013	0.488135
a34	0.000508778	0.000346821	0.000211842	0.0016368	0.0121718	0.0344807	0.083258	0.170853	0.234012	0.462521
a21	0.000231271	0.00012959	7.72644e-05	0.000502383	0.00306836	0.01341	0.0444634	0.13077	0.214998	0.59235
a5	0.000277111	0.000190853	8.69066e-05	0.000396989	0.0022581	0.0100405	0.041812	0.136673	0.238674	0.56959
a61	0.000221219	0.000140988	5.59359e-05	0.000349618	0.00201738	0.00859424	0.034277	0.116789	0.218791	0.618763
a43	0.00101597	0.000698893	0.000320051	0.00117064	0.0042486	0.0143393	0.0490542	0.126297	0.223619	0.579235
a0	0.00107152	0.000811036	0.000510914	0.00169406	0.00448358	0.00997844	0.0270125	0.0948702	0.225737	0.633831
a38	0.0351072	0.0181173	0.00956856	0.0147652	0.0220194	0.0340195	0.0570768	0.134056	0.241255	0.434016
a9	0.0496571	0.0208961	0.0124033	0.0179781	0.0291542	0.0392337	0.0616606	0.118838	0.224193	0.425986
a10	0.282825	0.104684	0.0242995	0.0164191	0.0202998	0.0248471	0.0404236	0.0791216	0.152214	0.254866
a87	0.239713	0.121145	0.0286839	0.01872	0.0212712	0.0234388	0.041144	0.0768605	0.136238	0.292785
</S>	0.163409	0.0847413	0.0237744	0.0185715	0.0245232	0.0288998	0.0541815	0.0985465	0.161899	0.341454
