 	il	ne	manque	pas	de	commettre	un	délit	là	où	il	habite	</S>
a66	0.263587	0.1965	0.158785	0.089468	0.0817958	0.0962706	0.0537939	0.0230099	0.0134106	0.00706906	0.00513998	0.00534131	0.00582879
a87	0.532977	0.179872	0.0654301	0.0315612	0.0184998	0.0232769	0.0162289	0.0158521	0.0167341	0.0156432	0.0186447	0.0278559	0.0374248
a23	0.314872	0.153134	0.0872809	0.0790291	0.0903093	0.0992317	0.0336716	0.0202992	0.0169934	0.0151429	0.0180662	0.0299198	0.0420494
a79	0.205559	0.137584	0.100785	0.101416	0.127244	0.107412	0.0465101	0.0402775	0.0217221	0.018222	0.0206373	0.0307307	0.0418996
a40	0.183874	0.14361	0.104662	0.0682889	0.0892185	0.0715045	0.0662881	0.0787152	0.0255662	0.0236639	0.032556	0.047901	0.0641519
a7	0.258131	0.217376	0.128854	0.0560688	0.0546708	0.0416094	0.0714261	0.076225	0.0204399	0.0141387	0.0168288	0.0218219	0.0224096
a26	0.199298	0.173337	0.143431	0.104063	0.103439	0.0681473	0.0728465	0.0578012	0.0133382	0.00943872	0.0120462	0.0188772	0.0239368
a62	0.114648	0.110401	0.133225	0.133175	0.160518	0.10063	0.0706573	0.0638141	0.0230541	0.0159513	0.0191846	0.0238544	0.0308867
a34	0.0971492	0.0969744	0.120142	0.120083	0.149869	0.114975	0.0971822	0.0811477	0.0315785	0.0184351	0.0196451	0.0235709	0.0292478
a90	0.109726	0.110104	0.124532	0.121986	0.157264	0.128746	0.104937	0.0660581	0.0221883	0.011575	0.0119046	0.014802	0.0161768
a15	0.0760107	0.091134	0.126104	0.123342	0.137026	0.116855	0.124949	0.0834745	0.031816	0.0169265	0.0177592	0.0247114	0.0298919
a69	0.0479973	0.0707258	0.119035	0.138953	0.144241	0.103124	0.117431	0.0981244	0.0432819	0.0235131	0.0225185	0.0306852	0.0403695
a58	0.0531197	0.0708604	0.129497	0.141047	0.14111	0.114125	0.0990966	0.0692952	0.0357614	0.0251473	0.0272365	0.0384309	0.0552729
a40	0.0301061	0.0351055	0.0925464	0.135732	0.16679	0.151912	0.118931	0.0757834	0.0370139	0.0287553	0.031659	0.0418712	0.0537946
a98	0.0168548	0.023486	0.0645275	0.11875	0.132706	0.0983012	0.121751	0.102819	0.0671648	0.0457443	0.0471361	0.0652666	0.0954926
a47	0.0160394	0.0247459	0.0720367	0.131936	0.142319	0.0891831	0.110398	0.101276	0.0706356	0.045633	0.0434724	0.0617517	0.0905729
a7	0.00927711	0.0157688	0.0631938	0.188606	0.202637	0.110231	0.0952522	0.0764965	0.0456469	0.0369563	0.037871	0.0484508	0.0696123
a90	0.00650016	0.00979137	0.0445517	0.161757	0.210778	0.14735	0.131987	0.0909445	0.0432599	0.0293208	0.0300229	0.0387553	0.054981
a25	0.00457128	0.00653823	0.0230482	0.090845	0.130668	0.0978823	0.117761	0.0996075	0.0818666	0.0643596	0.0663974	0.0866571	0.129797
a92	0.00312438	0.00476694	0.01934	0.0885024	0.135834	0.0897601	0.123524	0.118309	0.0897514	0.066783	0.0646115	0.0769747	0.118718
a37	0.00298499	0.00442681	0.014159	0.0694732	0.11655	0.0871633	0.106994	0.099128	0.102159	0.0982385	0.0931051	0.0909213	0.114697
a34	0.00253176	0.00367947	0.0134591	0.0677512	0.120339	0.0931825	0.121911	0.107465	0.0938166	0.0750228	0.0723873	0.0902507	0.138205
a75	0.00285236	0.00399083	0.0133954	0.0622414	0.101661	0.0831864	0.108901	0.0994511	0.106562	0.0881099	0.0827565	0.0987406	0.148151
a85	0.00230892	0.00324789	0.0103701	0.0460983	0.0705896	0.0540965	0.0872122	0.0983809	0.114417	0.107522	0.110254	0.120978	0.174524
a47	0.00230045	0.00301903	0.00817677	0.038096	0.0665634	0.0568971	0.0941959	0.106793	0.11982	0.105608	0.105437	0.118594	0.1745
a6	0.00519353	0.00738294	0.0204058	0.061857	0.0965854	0.0779062	0.117928	0.119789	0.0959735	0.0760562	0.0727685	0.0905522	0.157601
a37	0.00324295	0.00404748	0.0110633	0.0387032	0.0643399	0.0567766	0.0937887	0.10308	0.100658	0.0896178	0.100771	0.125023	0.208888
a96	0.00256066	0.00328319	0.00881184	0.0344267	0.0514643	0.0382388	0.0653905	0.0836482	0.0937084	0.0876124	0.102022	0.154679	0.274154
a18	0.00285131	0.00357465	0.00870276	0.0261677	0.035175	0.0279605	0.0447369	0.068881	0.096931	0.0996108	0.112067	0.172769	0.300572
a38	0.0055054	0.00616627	0.0146434	0.0391658	0.0520723	0.0457165	0.047343	0.0586603	0.0975197	0.106174	0.120926	0.16357	0.242538
a70	0.00567255	0.00608821	0.0134132	0.0377749	0.0544338	0.0428657	0.0441393	0.0596327	0.0905931	0.101455	0.116722	0.157725	0.269484
a11	0.00241402	0.00283425	0.00717168	0.0207977	0.0282991	0.0215278	0.0292117	0.0471394	0.0808115	0.109861	0.153747	0.202935	0.29325
a61	0.00307454	0.00343598	0.00848605	0.024616	0.0330764	0.0251068	0.0285139	0.0433956	0.0757719	0.109991	0.162442	0.205482	0.276608
a0	0.00127607	0.00159733	0.00403401	0.0121896	0.0155503	0.0113016	0.0182012	0.0331135	0.0571911	0.0925381	0.171472	0.245298	0.336237
a47	0.00163475	0.00194571	0.005843	0.0168759	0.0208324	0.0159441	0.0242603	0.0365867	0.0655709	0.10093	0.189779	0.246986	0.272812
a96	0.000924629	0.00141314	0.00443455	0.0126401	0.0169853	0.0125217	0.0212305	0.0331652	0.0501507	0.0706254	0.151929	0.26363	0.36035
a62	0.000666652	0.00095838	0.00271369	0.00830653	0.0108555	0.00795175	0.013489	0.0234386	0.0415401	0.0637995	0.146443	0.270854	0.408983
a47	0.000676826	0.000937845	0.00242344	0.00745019	0.00964278	0.00722513	0.0115667	0.0187632	0.0369103	0.0585966	0.151223	0.273599	0.420985
a88	0.000553404	0.000894815	0.00273548	0.00975128	0.0125333	0.00975564	0.014626	0.0243379	0.0438538	0.0684489	0.152531	0.265786	0.394192
a62	0.000444748	0.000638527	0.00168605	0.0054806	0.00721201	0.00582779	0.00973667	0.0176216	0.0327658	0.055264	0.149486	0.270413	0.443423
a96	0.000842365	0.00114434	0.00252108	0.00686076	0.00911191	0.00738128	0.0111422	0.0199234	0.0320723	0.0589795	0.161022	0.267173	0.421826
a79	0.000439809	0.00057324	0.00156172	0.00522386	0.00711494	0.00593608	0.00954597	0.0212267	0.034897	0.0646233	0.16966	0.268586	0.410611
a69	9.52422e-05	0.000129129	0.000318583	0.00145445	0.00205063	0.00198542	0.00362869	0.00842589	0.0199922	0.040258	0.123414	0.256632	0.541616
a7	7.99659e-05	0.000108937	0.000293167	0.0013137	0.00198963	0.00185666	0.00310486	0.00764664	0.0176927	0.0365245	0.115814	0.263025	0.55055
a36	0.000424461	0.000401634	0.00087238	0.00283988	0.00456382	0.00433668	0.00570809	0.0116282	0.0215352	0.0428085	0.134936	0.271946	0.497999
a2	0.00229042	0.00195545	0.00343546	0.00671149	0.00799912	0.00677594	0.00703115	0.0113794	0.0222598	0.0526423	0.166449	0.265389	0.445682
a57	0.0201729	0.0146635	0.0158992	0.0238599	0.0263356	0.0195387	0.023774	0.0302375	0.0467825	0.0931807	0.186134	0.207819	0.291603
a87	0.0447195	0.0230426	0.0170163	0.0217426	0.0219813	0.0288689	0.0318469	0.0318102	0.0722971	0.122027	0.173387	0.185545	0.225715
a23	0.0676058	0.0392775	0.0252959	0.0277493	0.0275963	0.0583854	0.0646285	0.0427359	0.0862532	0.11176	0.130502	0.149276	0.168933
a99	0.0143195	0.00556394	0.00216935	0.0018316	0.00170229	0.00326041	0.00877467	0.0128312	0.038186	0.0880136	0.150588	0.302279	0.37048
a97	0.010158	0.00395025	0.00242886	0.00385154	0.00519006	0.00904394	0.0163882	0.0183536	0.0360723	0.0675379	0.122881	0.283327	0.420817
a87	0.0102276	0.00436711	0.00355481	0.00917861	0.0127887	0.0222027	0.0244004	0.022112	0.0379392	0.0557471	0.105499	0.235463	0.45652
</S>	0.0257351	0.0124403	0.0103888	0.0240699	0.0322302	0.0595168	0.0474776	0.0328947	0.0426485	0.0544291	0.0902113	0.183909	0.384049
