 	maintenant	il	gagne	sa	vie	sans	avoir	besoin	de	personne	</S>
a23	0.259954	0.248644	0.114194	0.103057	0.0714367	0.061104	0.04296	0.0262909	0.0246969	0.0249067	0.0227571
a87	0.353903	0.214771	0.0805139	0.0419521	0.0411739	0.0443915	0.0327863	0.0335648	0.0432153	0.0562184	0.0575093
a23	0.139387	0.103639	0.0836676	0.0452807	0.0422084	0.0360744	0.0284872	0.0531568	0.0953978	0.157567	0.215135
a40	0.15294	0.117312	0.103363	0.0784837	0.0384034	0.027571	0.0217154	0.0373978	0.0705572	0.129442	0.222815
a20	0.377279	0.336095	0.141245	0.0439303	0.0183911	0.0175013	0.0117752	0.0108516	0.0119268	0.0147936	0.0162111
a73	0.201903	0.229683	0.201932	0.121973	0.0627409	0.0519636	0.0333586	0.0257822	0.0235405	0.0240923	0.0230314
a94	0.187904	0.216632	0.220124	0.141285	0.0758145	0.0547785	0.0320654	0.0219528	0.0166382	0.0160776	0.0167272
a26	0.132316	0.17215	0.218355	0.164504	0.0964016	0.0699983	0.0425504	0.0291133	0.0235328	0.0241845	0.0268938
a11	0.132727	0.15936	0.228476	0.181644	0.103252	0.0722881	0.0429681	0.0248141	0.0165916	0.0172128	0.0206664
a24	0.123706	0.149403	0.222491	0.182967	0.103742	0.0743297	0.0477334	0.0269557	0.0183586	0.0215253	0.0287886
a98	0.126308	0.137584	0.20401	0.176745	0.114352	0.088077	0.0576199	0.0299508	0.0182257	0.020355	0.0267739
a71	0.123102	0.156009	0.209195	0.194494	0.100088	0.0742276	0.0520912	0.0280066	0.0173691	0.0194774	0.0259392
a9	0.1081	0.117994	0.200428	0.218365	0.121979	0.0856595	0.0600211	0.0288418	0.016449	0.0181779	0.0239848
a87	0.0953713	0.0919526	0.161234	0.222271	0.153467	0.110216	0.0794961	0.0335416	0.0172772	0.0161838	0.0189896
a23	0.0549103	0.0603798	0.110081	0.209009	0.218864	0.153992	0.0902058	0.0355687	0.0173788	0.0190312	0.0305787
a79	0.0675823	0.0674919	0.132673	0.184274	0.143331	0.108298	0.0782482	0.0483225	0.0349402	0.0469608	0.087879
a20	0.0393769	0.0349228	0.0691206	0.0864222	0.0632827	0.0594257	0.0666467	0.0905164	0.108493	0.14405	0.237743
a94	0.0349587	0.0439921	0.121347	0.157778	0.10998	0.084077	0.0735116	0.0762051	0.083819	0.0940169	0.120315
a62	0.0567565	0.0658889	0.179577	0.176621	0.107808	0.0755242	0.0621941	0.0621549	0.0611046	0.0678225	0.0845479
a88	0.0640661	0.0755997	0.176498	0.166775	0.113711	0.0886368	0.0708745	0.0582293	0.0508517	0.0605635	0.0741946
a54	0.0713855	0.0712277	0.140291	0.169469	0.127214	0.0994109	0.0809531	0.0640366	0.0495271	0.0547344	0.0717508
a73	0.0720979	0.085627	0.112106	0.133482	0.101178	0.0841361	0.072085	0.0642323	0.0689859	0.0868778	0.119193
a84	0.049988	0.056374	0.10313	0.147819	0.111159	0.0790038	0.064368	0.0647827	0.0807076	0.103092	0.139576
a53	0.0345809	0.029539	0.0497145	0.104086	0.15277	0.133615	0.123897	0.0904478	0.0713601	0.0817585	0.128233
a94	0.0328676	0.0282793	0.0447295	0.059486	0.0776955	0.0839972	0.0965381	0.0934551	0.112346	0.141432	0.229174
a13	0.0213606	0.0210724	0.0455384	0.0741562	0.0859735	0.0845311	0.093049	0.0954816	0.11142	0.14372	0.223697
a54	0.0215057	0.0197587	0.0417488	0.0621262	0.0800931	0.078153	0.0881541	0.0949905	0.117374	0.154872	0.241224
a98	0.0231655	0.0249431	0.0509928	0.0637291	0.0605503	0.0655919	0.0719922	0.0851067	0.127664	0.172301	0.253963
a73	0.00798246	0.00940094	0.0293744	0.0509329	0.0799851	0.0924531	0.100471	0.0973943	0.129509	0.165028	0.237468
a94	0.0102595	0.0111621	0.0317099	0.0526423	0.0711229	0.0855689	0.0968497	0.0946754	0.12756	0.165156	0.253294
a26	0.0129689	0.0133274	0.0320654	0.0517945	0.0654109	0.0794382	0.0994505	0.096771	0.124162	0.16566	0.258951
a12	0.0125209	0.0100165	0.0172684	0.0252078	0.0484248	0.0717088	0.103658	0.111213	0.137908	0.184397	0.277677
a75	0.0215648	0.0192284	0.0375667	0.0504541	0.0566849	0.0741217	0.0957944	0.099982	0.120685	0.170507	0.253411
a41	0.0197794	0.0191357	0.0465891	0.0626851	0.0723634	0.0939488	0.108662	0.10235	0.113695	0.14895	0.21184
a7	0.0064676	0.00698632	0.0191123	0.0308101	0.045348	0.0589833	0.0836282	0.0909719	0.131576	0.208028	0.318088
a84	0.00448749	0.00427678	0.0115594	0.0279288	0.0495184	0.0622943	0.0971131	0.0915736	0.132211	0.192176	0.326861
a57	0.00481676	0.00418371	0.00662468	0.0125645	0.0284492	0.0488792	0.0817351	0.078585	0.14695	0.213476	0.373735
a87	0.00637838	0.00372162	0.0049521	0.00592996	0.0129285	0.0275262	0.0531933	0.0585644	0.136716	0.241911	0.448179
a23	0.0038838	0.00249333	0.00438692	0.00629944	0.011441	0.0162937	0.0258526	0.0421663	0.120385	0.283597	0.483201
a40	0.00557462	0.0034204	0.0046771	0.00422591	0.0084342	0.0169528	0.030086	0.0820799	0.171484	0.290039	0.383025
a73	0.0296282	0.0157049	0.0252692	0.0274926	0.0320252	0.0354732	0.0366355	0.0565761	0.107409	0.214608	0.419178
a94	0.00741083	0.0071494	0.0195254	0.0425726	0.0602329	0.0552972	0.058154	0.0706062	0.117509	0.207074	0.354469
a66	0.0184168	0.0162038	0.0343765	0.0512471	0.0614039	0.0603707	0.0631185	0.0753253	0.107836	0.185789	0.325913
a50	0.00964995	0.00851031	0.0153051	0.025426	0.0406877	0.0379254	0.0463434	0.0764911	0.131114	0.233623	0.374923
a83	0.00845406	0.00810522	0.0142814	0.0198995	0.0255898	0.0288675	0.0376763	0.0614919	0.128981	0.260408	0.406245
a9	0.00645415	0.00589713	0.00913146	0.013659	0.0183508	0.0221326	0.0342713	0.0558466	0.125958	0.263676	0.444623
a38	0.00467828	0.00386424	0.00486943	0.00868999	0.0194397	0.0326749	0.0556659	0.0711835	0.130542	0.248083	0.420309
a73	0.00330938	0.00249804	0.00340543	0.0065054	0.013552	0.0220823	0.0377042	0.0531607	0.120299	0.268786	0.468698
a94	0.00220699	0.00193514	0.00458527	0.0113912	0.0218114	0.030409	0.048206	0.0611131	0.117901	0.238137	0.462304
a18	0.00234539	0.00220928	0.00427503	0.00950143	0.0200535	0.0302999	0.0530865	0.0646929	0.123419	0.241914	0.448203
a90	0.00210177	0.00184076	0.00332944	0.0062847	0.0130252	0.0205557	0.0389363	0.0540721	0.125781	0.263664	0.47041
a94	0.00375501	0.00327442	0.0070078	0.0129831	0.0181758	0.0254269	0.0491299	0.0658541	0.133956	0.263832	0.416605
a53	0.00298971	0.00239091	0.00440742	0.00673464	0.0109538	0.0163714	0.0348429	0.0502364	0.125066	0.276175	0.469831
a4	0.00442741	0.00323514	0.0061571	0.0111701	0.0173149	0.0245934	0.0501983	0.0646462	0.133287	0.266264	0.418706
a53	0.0049451	0.0033601	0.00518137	0.00793216	0.0143444	0.0215445	0.0414521	0.0543421	0.125208	0.269501	0.452189
a4	0.00812164	0.00522677	0.00901952	0.0148569	0.0225641	0.0297435	0.0537518	0.0690373	0.141461	0.257506	0.388712
a57	0.00933059	0.00627532	0.00954688	0.0151313	0.0241322	0.0318833	0.0555496	0.0693849	0.140338	0.254721	0.383707
a38	0.00429191	0.00286637	0.00421746	0.00607342	0.0132339	0.0209122	0.0374175	0.0480295	0.114087	0.250566	0.498305
a54	0.004901	0.00328855	0.00489266	0.00740316	0.0130914	0.0187347	0.0343664	0.0490418	0.123437	0.270885	0.469958
a73	0.00511804	0.00317067	0.00440614	0.00636777	0.0112708	0.0168424	0.0339957	0.0522383	0.131521	0.284715	0.450354
a84	0.00418828	0.00237333	0.00421368	0.00673314	0.0117481	0.016814	0.0328578	0.0506609	0.130135	0.265295	0.47498
a87	0.00248069	0.00172617	0.00283806	0.00486894	0.00814331	0.0129423	0.023854	0.0307717	0.0903128	0.249021	0.573041
</S>	0.00270009	0.00118226	0.00156125	0.0016511	0.00224386	0.00502042	0.0138064	0.0265852	0.108145	0.304222	0.532882
