 	tu	as	fait	une	bonne	action	</S>
a23	0.374877	0.176575	0.124808	0.0858773	0.0874411	0.0846306	0.0657908
a90	0.279757	0.207596	0.158884	0.101061	0.0824606	0.0991056	0.0711363
a20	0.538773	0.21106	0.121245	0.043766	0.0350268	0.0289653	0.0211641
a94	0.442031	0.255178	0.164495	0.0552742	0.0432149	0.0245966	0.0152101
a58	0.303282	0.258576	0.199505	0.0978397	0.0759956	0.0409481	0.023854
a57	0.202436	0.19224	0.206524	0.150423	0.119585	0.0808925	0.0478992
a38	0.136572	0.126032	0.163564	0.148744	0.178135	0.133961	0.112994
a24	0.184002	0.158836	0.185403	0.156429	0.130483	0.102282	0.082565
a96	0.189415	0.150368	0.134835	0.130134	0.13299	0.139444	0.122814
a94	0.109232	0.10581	0.116646	0.128023	0.157718	0.190995	0.191575
a41	0.0778848	0.0825358	0.101093	0.128496	0.154459	0.210212	0.245321
a47	0.0414184	0.0502564	0.0630032	0.0985008	0.123906	0.260974	0.361941
a66	0.0172945	0.0199818	0.0272989	0.0531436	0.11479	0.265175	0.502316
a38	0.0113154	0.0127937	0.0199763	0.039157	0.093742	0.333258	0.489758
a41	0.00624381	0.00602716	0.00795134	0.0182689	0.0760162	0.29253	0.592963
a25	0.0104356	0.0105856	0.0134403	0.030454	0.0846088	0.29044	0.560036
a87	0.00593165	0.00699587	0.00943021	0.0248399	0.088163	0.265386	0.599254
</S>	0.00657575	0.00763365	0.0127397	0.0388114	0.104927	0.353514	0.475799
