 	je	suis	venu	assister	au	mariage	de	ngala	</S>
a66	0.286501	0.150263	0.122584	0.132685	0.115364	0.091013	0.0492357	0.0318138	0.0205408
a87	0.381188	0.177127	0.121739	0.071455	0.0639775	0.0682371	0.0438014	0.0412912	0.0311842
a23	0.450601	0.214388	0.126829	0.0470961	0.0294527	0.0300289	0.0310545	0.0343179	0.036232
a13	0.555596	0.179133	0.116005	0.043172	0.025733	0.0160718	0.0167388	0.0201729	0.0273777
a62	0.462475	0.164047	0.110821	0.046802	0.0380755	0.0284735	0.0405036	0.0461025	0.0626997
a12	0.430659	0.228141	0.149364	0.0676222	0.0417438	0.0183477	0.0207369	0.0202095	0.0231757
a21	0.20719	0.200323	0.230334	0.150444	0.0897703	0.0357962	0.0303331	0.0271475	0.0286616
a92	0.170801	0.193043	0.216448	0.17823	0.112289	0.0396377	0.0287702	0.0279153	0.0328646
a79	0.0959831	0.13319	0.170669	0.200024	0.170315	0.0735549	0.0454986	0.0473513	0.0634139
a7	0.0687876	0.11525	0.171251	0.23441	0.166037	0.069129	0.0465635	0.054843	0.0737283
a85	0.056961	0.0870487	0.148038	0.235649	0.179024	0.0792862	0.0569177	0.0641176	0.092958
a92	0.0382409	0.0586164	0.109905	0.223323	0.199812	0.104552	0.0709412	0.0809712	0.113638
a37	0.0452638	0.0648833	0.121232	0.220805	0.183798	0.117369	0.0770582	0.07694	0.09265
a21	0.0316837	0.0391293	0.0831553	0.191666	0.204453	0.151555	0.094799	0.0896142	0.113945
a12	0.0275383	0.0262477	0.0401279	0.0844544	0.120542	0.197678	0.165383	0.150107	0.187921
a96	0.0137947	0.0129688	0.0210037	0.0507807	0.0998778	0.226361	0.194049	0.172138	0.209027
a21	0.00815151	0.00855898	0.0164366	0.0409112	0.0818891	0.197186	0.197697	0.19797	0.251199
a12	0.00676199	0.00537279	0.00773811	0.0155611	0.0327602	0.136871	0.221839	0.247081	0.326015
a21	0.00302311	0.00276278	0.0042279	0.00969298	0.0226616	0.0980448	0.199537	0.26334	0.39671
a92	0.00239463	0.00207726	0.00298825	0.00591318	0.0136866	0.0693608	0.171339	0.268548	0.463692
a37	0.000975613	0.000854074	0.00133575	0.0036778	0.0105016	0.048233	0.151543	0.258644	0.524235
a47	0.000933018	0.000918125	0.00152793	0.00328895	0.00825795	0.0345236	0.117151	0.224815	0.608584
a96	0.00338733	0.0031779	0.0046026	0.00696117	0.0137703	0.0472693	0.142213	0.242131	0.536488
a98	0.00238819	0.00200948	0.00294406	0.00445501	0.00977886	0.0371296	0.126654	0.252672	0.561969
a47	0.000362309	0.000349179	0.000603865	0.00122452	0.00403793	0.0239099	0.106891	0.249415	0.613206
a6	0.000282309	0.000296325	0.000511375	0.00111403	0.00408186	0.0250713	0.11208	0.25447	0.602093
a36	0.000535158	0.000562758	0.000938325	0.00196675	0.00568079	0.0297027	0.121243	0.269329	0.570041
a27	0.0094869	0.0101322	0.0141501	0.0191401	0.0315475	0.0710453	0.177609	0.261114	0.405774
a57	0.165296	0.106097	0.0891821	0.0844521	0.0756914	0.0846257	0.115536	0.125349	0.153771
a87	0.29781	0.140739	0.0846651	0.0589833	0.044722	0.0552704	0.0874646	0.101525	0.128821
a23	0.232891	0.173231	0.0950875	0.0454047	0.0298686	0.0399474	0.077986	0.120165	0.185419
a82	0.0895675	0.0568228	0.037198	0.0211434	0.019504	0.0471724	0.12194	0.23081	0.375841
a87	0.0444034	0.0309548	0.0220382	0.0184366	0.0211187	0.0390921	0.0961699	0.21644	0.511347
a23	0.0474367	0.0339408	0.0246215	0.0200264	0.0218584	0.0389686	0.0882532	0.210479	0.514415
a82	0.0449627	0.03606	0.0290104	0.0245915	0.0271581	0.0491722	0.111491	0.229313	0.448241
a38	0.0597374	0.0473586	0.0477931	0.0437166	0.0390856	0.0450083	0.0985465	0.193201	0.425553
a99	0.0463345	0.0401691	0.0419253	0.0428001	0.0409185	0.0485135	0.103618	0.192146	0.443574
a10	0.0176164	0.0138121	0.0143739	0.0201473	0.0250443	0.0430914	0.102709	0.206389	0.556816
</S>	0.0327044	0.0210687	0.0185127	0.0234189	0.0282987	0.0479608	0.102229	0.204879	0.520929
