 	les	bagages	étaient	lourds	</S>
a57	0.266788	0.175659	0.176777	0.188746	0.192029
a87	0.291798	0.257781	0.172576	0.128083	0.149761
a40	0.460298	0.281198	0.11121	0.0742358	0.0730593
a73	0.430829	0.187438	0.129423	0.113947	0.138362
a84	0.538839	0.225238	0.122676	0.0539041	0.0593427
a75	0.390275	0.249531	0.149141	0.0780333	0.133019
a5	0.422084	0.245461	0.14946	0.0804208	0.102574
a94	0.345323	0.245201	0.177	0.104529	0.127948
a75	0.222864	0.231259	0.201265	0.137805	0.206807
a56	0.205958	0.213321	0.205837	0.172614	0.20227
a96	0.165566	0.258158	0.24717	0.15322	0.175885
a98	0.0993925	0.206629	0.251629	0.202233	0.240116
a73	0.076417	0.167574	0.233138	0.235312	0.287558
a56	0.0411489	0.100163	0.177478	0.261928	0.419283
a75	0.0529203	0.117301	0.195668	0.269471	0.36464
a94	0.042734	0.0765577	0.137796	0.285524	0.457388
a26	0.0260754	0.0512678	0.091318	0.294468	0.536871
a75	0.00674377	0.0130312	0.0268051	0.162466	0.790954
a85	0.0134477	0.0216272	0.0408741	0.222643	0.701408
a73	0.013707	0.0195708	0.0384791	0.229547	0.698696
a27	0.00830234	0.0126758	0.0294941	0.205171	0.744357
a75	0.00455728	0.00769437	0.0176267	0.137909	0.832213
a73	0.00595563	0.0112616	0.0254492	0.195751	0.761583
a44	0.0100052	0.0140083	0.0296576	0.155896	0.790433
a90	0.00194236	0.00372205	0.0105369	0.114239	0.86956
a9	0.00264133	0.00543526	0.0154992	0.137625	0.8388
a38	0.00307701	0.00480536	0.0127078	0.12581	0.8536
a4	0.013686	0.0171994	0.0340114	0.188758	0.746345
a58	0.0119324	0.0197209	0.04546	0.205892	0.716995
a57	0.0204958	0.0260611	0.0436825	0.193908	0.715852
a87	0.0374032	0.0400373	0.0504993	0.214853	0.657207
</S>	0.0705439	0.0630615	0.0769032	0.219859	0.569632
