 	ceux	qui	sont	venus	acheter	la	viande	se	sont	mis	en	rang	</S>
a66	0.359189	0.195984	0.121781	0.0738506	0.0373194	0.0418387	0.0424568	0.0451635	0.0344564	0.0195221	0.0105578	0.00920354	0.00867725
a87	0.452421	0.202185	0.102423	0.0560856	0.0318924	0.0263578	0.0234989	0.0219887	0.0202268	0.0185318	0.0179643	0.0129485	0.0134765
a23	0.349125	0.209437	0.122136	0.0764115	0.0516766	0.0369379	0.0329154	0.0249511	0.0181516	0.0165127	0.0224058	0.020965	0.0183752
a40	0.220167	0.137561	0.0788686	0.0625553	0.0599045	0.0461206	0.0394525	0.0312719	0.030654	0.0413752	0.0758108	0.0847054	0.0915539
a2	0.203388	0.153216	0.102081	0.0707007	0.0735738	0.0625135	0.0556478	0.0515347	0.0431795	0.0483528	0.0505701	0.0396407	0.0456015
a11	0.0896632	0.104132	0.123213	0.111946	0.129881	0.0866577	0.0596099	0.0382865	0.0296059	0.0420493	0.0741433	0.056742	0.0540697
a56	0.0456852	0.114353	0.179252	0.176947	0.137469	0.0726748	0.0454345	0.0328485	0.0305417	0.0394825	0.0609635	0.0341735	0.0301756
a44	0.018071	0.0575551	0.133742	0.180482	0.191704	0.108001	0.0627826	0.0454188	0.0385187	0.0426745	0.0520946	0.0379516	0.0310044
a70	0.0139442	0.0360557	0.0891536	0.149732	0.224818	0.145061	0.0864181	0.0553547	0.037577	0.0332398	0.0350971	0.0495111	0.0440371
a88	0.0134004	0.0313089	0.07618	0.133486	0.221091	0.160657	0.100633	0.0579315	0.0339489	0.0284684	0.0297528	0.0530926	0.0600488
a61	0.0103714	0.0222771	0.0556413	0.0997601	0.200685	0.170596	0.120578	0.0650493	0.0359756	0.0295607	0.0319535	0.0674002	0.0901512
a5	0.0101191	0.019795	0.0457166	0.0804832	0.139925	0.165567	0.125874	0.0729377	0.0413181	0.0364694	0.0435573	0.0917	0.126537
a6	0.00953167	0.0188272	0.0402357	0.067469	0.0965233	0.144548	0.122553	0.0885613	0.0553834	0.0457917	0.0508844	0.112559	0.147132
a54	0.00496895	0.010778	0.0239912	0.0453438	0.0614426	0.0970074	0.0944486	0.0799316	0.0590485	0.057175	0.069583	0.170978	0.225303
a47	0.00606523	0.0115118	0.0245195	0.0511863	0.0580538	0.0811814	0.0871436	0.0954853	0.0806562	0.0760167	0.0791423	0.142545	0.206492
a37	0.00934984	0.0121484	0.0200432	0.0353088	0.0323832	0.0462624	0.0488388	0.056272	0.0475712	0.0476864	0.0866284	0.215261	0.342246
a90	0.0108325	0.0130084	0.0199418	0.0307601	0.0399969	0.051209	0.0519651	0.062908	0.0548261	0.04807	0.0806212	0.203063	0.332797
a15	0.00526479	0.00748503	0.0121834	0.0190093	0.023745	0.0393684	0.0501094	0.0699193	0.074624	0.0748473	0.100065	0.236364	0.287015
a79	0.00180729	0.00191747	0.00299809	0.00597744	0.00677989	0.00931522	0.011533	0.0198812	0.0305954	0.0563386	0.131281	0.304732	0.416843
a44	0.000978349	0.00112242	0.00189052	0.00404306	0.0057006	0.0103085	0.0156119	0.0254336	0.0359159	0.0553328	0.108767	0.296678	0.438218
a4	0.0015668	0.00183616	0.00270265	0.00473902	0.00842025	0.0143161	0.0180837	0.0225489	0.0271278	0.044987	0.107851	0.276012	0.469808
a13	0.00174711	0.0023976	0.00364178	0.00657683	0.0112295	0.0186756	0.0209346	0.0222638	0.0238397	0.036745	0.0849076	0.260275	0.506766
a71	0.00167526	0.00200888	0.00302302	0.00552808	0.007926	0.0114143	0.0109222	0.0109466	0.01218	0.023375	0.0739669	0.251964	0.58507
a9	0.00258071	0.00234565	0.00294137	0.00537858	0.0070606	0.00947868	0.00843459	0.00910496	0.0118312	0.0301832	0.090176	0.25905	0.561435
a87	0.065998	0.0298474	0.0216542	0.0239884	0.0236496	0.0276452	0.0253156	0.0350554	0.0544027	0.0897117	0.104194	0.168827	0.329711
a23	0.290768	0.164879	0.0994229	0.0746149	0.0347752	0.0330979	0.0337955	0.0409899	0.0467039	0.0462463	0.040421	0.0456313	0.0486545
a87	0.162572	0.125526	0.0903743	0.0759676	0.0310475	0.0291328	0.0342833	0.0501251	0.0705293	0.0864718	0.0830005	0.0776153	0.0833545
</S>	0.0254768	0.0221689	0.0225783	0.0312149	0.0132218	0.0133969	0.0165913	0.0304896	0.0541505	0.0994626	0.16003	0.230869	0.28035
