 	il	travaille	avec	beaucoup	d'	adresse	</S>
a87	0.316577	0.129883	0.0745861	0.0595684	0.0725246	0.153174	0.193687
a23	0.318303	0.127254	0.0997813	0.094658	0.0959213	0.14154	0.122543
a53	0.153022	0.0891334	0.0683787	0.0903862	0.124813	0.256897	0.217369
a15	0.421353	0.242249	0.124248	0.0855712	0.0661685	0.0327898	0.0276203
a30	0.526157	0.273514	0.0791641	0.0400657	0.0318435	0.0252663	0.0239896
a35	0.400039	0.24459	0.102082	0.073294	0.0716523	0.0609041	0.0474379
a30	0.485374	0.290016	0.0896979	0.0446748	0.0323031	0.0309896	0.0269442
a32	0.357662	0.267886	0.134952	0.0836876	0.0605673	0.0529597	0.0422855
a75	0.351139	0.27388	0.121567	0.0809626	0.0585227	0.0661061	0.0478234
a14	0.228378	0.232908	0.167266	0.123812	0.0842656	0.0904511	0.0729194
a35	0.257675	0.225659	0.162657	0.126781	0.0866522	0.0806866	0.0598892
a14	0.208152	0.18077	0.158879	0.151008	0.116651	0.113123	0.0714178
a35	0.151826	0.174212	0.168408	0.164719	0.131663	0.123926	0.0852457
a76	0.0946387	0.127113	0.156239	0.178724	0.157232	0.169939	0.116114
a94	0.0353086	0.0695307	0.135827	0.193251	0.198827	0.207731	0.159525
a76	0.0241034	0.036801	0.062938	0.106955	0.134815	0.316285	0.318102
a35	0.0258513	0.0383232	0.0746713	0.12695	0.16461	0.282224	0.28737
a66	0.0161998	0.0211006	0.0389918	0.078484	0.123654	0.345352	0.376218
a75	0.00767608	0.0118955	0.0292176	0.074863	0.139113	0.335865	0.40137
a76	0.00284554	0.00586466	0.0201751	0.0541595	0.11976	0.358825	0.43837
a56	0.00503503	0.0103258	0.0304548	0.0720285	0.136005	0.339168	0.406983
a62	0.0053313	0.0108532	0.0298961	0.0634681	0.109601	0.313834	0.467016
a24	0.00263584	0.00470209	0.0145902	0.0381826	0.0783711	0.327934	0.533584
a9	0.00485745	0.00699877	0.019405	0.0529857	0.104112	0.318996	0.492645
a87	0.00642417	0.0088362	0.0242386	0.0629276	0.107367	0.272677	0.517529
</S>	0.0126242	0.0118634	0.0252408	0.0589658	0.105345	0.292434	0.493526
