 	qui	a	rêvé	da	papa	aujourd'	hui	</S>
a66	0.384382	0.346562	0.103185	0.05434	0.0406046	0.028403	0.0217381	0.0207847
a87	0.326044	0.259224	0.224022	0.0868359	0.0414875	0.0242544	0.0179232	0.0202081
a97	0.439708	0.348837	0.123722	0.0398127	0.0173107	0.00944439	0.00903641	0.0121289
a87	0.401396	0.390181	0.118506	0.0378262	0.0174779	0.0121932	0.0101328	0.0122863
a10	0.338837	0.362778	0.157992	0.0570599	0.0275707	0.0200253	0.0160433	0.0196928
a53	0.325991	0.351689	0.145356	0.0601891	0.0354687	0.0280786	0.0240297	0.0291982
a90	0.323804	0.409419	0.177951	0.0491411	0.0162528	0.0088084	0.00706789	0.00755594
a92	0.217251	0.432479	0.286058	0.0398134	0.0112392	0.00542775	0.00405406	0.00367848
a75	0.11877	0.293711	0.417926	0.0925848	0.0373845	0.0181737	0.0119117	0.00953879
a85	0.0840815	0.264713	0.457314	0.0999845	0.045113	0.0232096	0.0146348	0.0109494
a5	0.0577969	0.210324	0.388724	0.157876	0.0854009	0.0478478	0.0304514	0.0215793
a37	0.129255	0.240735	0.324125	0.0905269	0.0621045	0.0623504	0.0501189	0.0407833
a21	0.0635757	0.0879288	0.259119	0.151971	0.120948	0.126441	0.104499	0.0855177
a85	0.0422577	0.0516641	0.151869	0.153203	0.138784	0.168916	0.160565	0.13274
a6	0.00618436	0.010549	0.0805339	0.172824	0.197278	0.197031	0.179067	0.156533
a85	0.0114421	0.0128075	0.0505795	0.158422	0.198168	0.216299	0.187523	0.164759
a6	0.00690881	0.00801574	0.0368769	0.13824	0.187443	0.205547	0.214409	0.202561
a36	0.00475643	0.00440262	0.0101763	0.0611584	0.133161	0.238319	0.27323	0.274796
a98	0.00219804	0.001301	0.00275101	0.012064	0.0376913	0.148958	0.320855	0.474182
a92	0.000207845	0.000143781	0.000569204	0.00419769	0.0206865	0.133111	0.353649	0.487435
a37	0.000117877	8.04633e-05	0.000450155	0.00421729	0.0226373	0.134851	0.357636	0.48001
a61	0.000307802	0.000134661	0.000468316	0.00323396	0.0171035	0.105806	0.310836	0.56211
a62	0.000261991	0.000136857	0.000583679	0.00295364	0.0164466	0.110848	0.314398	0.554371
a83	0.000663479	0.00044399	0.00182997	0.00593423	0.0268493	0.119058	0.301401	0.54382
a75	0.000349586	0.000270597	0.00179492	0.00500386	0.0215522	0.112163	0.294897	0.563969
a36	5.3018e-05	4.44585e-05	0.000356723	0.00216083	0.0105931	0.0676191	0.280146	0.639027
a27	0.00043998	0.000343066	0.00155612	0.00366313	0.0149314	0.0961499	0.29927	0.583647
a82	0.0134089	0.00896481	0.0139729	0.028296	0.0632595	0.167161	0.292654	0.412283
a10	0.157972	0.105891	0.0495955	0.0551415	0.0794577	0.131585	0.181215	0.239141
a87	0.202798	0.216158	0.110178	0.0884431	0.0989964	0.100698	0.092303	0.090425
a23	0.124873	0.138331	0.110189	0.0855619	0.106206	0.139695	0.149626	0.145518
a87	0.0253509	0.0176868	0.0148638	0.0267763	0.0627609	0.162253	0.324005	0.366303
</S>	0.00673756	0.00547779	0.00639979	0.013592	0.0492311	0.158675	0.329762	0.430126
