 	son	oncle	l'	a	battu	parce	qu'	il	est	têtu	</S>
a66	0.138476	0.149939	0.150532	0.152336	0.130752	0.115338	0.0765238	0.0403531	0.0243259	0.0133308	0.00809312
a87	0.212394	0.147188	0.136455	0.116862	0.0768067	0.0761151	0.063692	0.0497412	0.0484988	0.0437909	0.0284565
a23	0.311301	0.226123	0.128547	0.0833764	0.0555087	0.0445937	0.0364022	0.0299919	0.0315943	0.029072	0.02349
a18	0.259918	0.187541	0.111048	0.0662749	0.040452	0.0419766	0.044701	0.0461373	0.0593327	0.0741337	0.0684852
a53	0.210136	0.194344	0.131383	0.0832801	0.0570396	0.0507825	0.0476954	0.0527481	0.0550117	0.0588712	0.0587088
a90	0.281319	0.189726	0.133625	0.0929846	0.0638493	0.0517835	0.0434182	0.042801	0.0442238	0.0345539	0.0217157
a79	0.223134	0.165928	0.137168	0.10238	0.0736887	0.0582185	0.0510168	0.0516273	0.0567009	0.048046	0.0320922
a44	0.122921	0.108682	0.118285	0.113095	0.102815	0.0862551	0.0757272	0.0653398	0.0696691	0.0734384	0.0637719
a79	0.143116	0.131303	0.141988	0.123695	0.0993246	0.0774524	0.0604877	0.0471456	0.0502605	0.0582973	0.0669298
a21	0.101269	0.0996652	0.116962	0.115084	0.107938	0.0945891	0.0788081	0.0608407	0.0591759	0.0751843	0.0904838
a75	0.120251	0.120599	0.143447	0.139339	0.119959	0.102347	0.0756568	0.0474606	0.0366326	0.0403365	0.0539719
a92	0.0554786	0.0660616	0.0914074	0.102624	0.117209	0.132661	0.129087	0.100548	0.0746901	0.0655977	0.0646344
a56	0.0379671	0.050831	0.0743846	0.0884789	0.108071	0.128443	0.135481	0.119642	0.0954624	0.0807181	0.0805221
a61	0.0603018	0.0836027	0.113657	0.131294	0.141508	0.146654	0.110913	0.0670355	0.0445978	0.0447194	0.0557161
a96	0.034119	0.0519854	0.0814508	0.108905	0.134122	0.151444	0.126758	0.0888217	0.0612457	0.0639971	0.0971513
a75	0.0301197	0.0414375	0.0586096	0.0890974	0.131136	0.15894	0.133091	0.0925908	0.0648343	0.0731786	0.126965
a92	0.0111323	0.0148232	0.020245	0.0354768	0.0706012	0.0936476	0.104098	0.12266	0.118161	0.166403	0.242751
a85	0.0166262	0.0208215	0.0250624	0.0418506	0.0906524	0.131166	0.141745	0.137874	0.105475	0.113449	0.175278
a6	0.00952597	0.0115502	0.0141545	0.025815	0.0663418	0.0955195	0.115427	0.128845	0.114128	0.15155	0.267143
a0	0.0244014	0.0241413	0.0225323	0.0321666	0.0699957	0.0963447	0.101617	0.119746	0.0932637	0.129	0.286791
a37	0.0203159	0.0193829	0.0160497	0.0202846	0.0429998	0.0597432	0.0722818	0.0970522	0.0856777	0.15924	0.406972
a93	0.021283	0.0204509	0.0150623	0.0174554	0.0349705	0.0413546	0.049156	0.0780012	0.0776484	0.172347	0.472271
a13	0.0153487	0.0138528	0.0097966	0.0108727	0.0212499	0.0239784	0.0313912	0.0603512	0.068971	0.193865	0.550322
a24	0.0552467	0.0441106	0.0276475	0.0266975	0.0399862	0.0379967	0.0390323	0.0595702	0.0597085	0.161132	0.448872
a62	0.0111581	0.0106434	0.00838176	0.00973897	0.0173402	0.0185437	0.0280236	0.0600865	0.0798555	0.197755	0.558473
a21	0.00786898	0.0088113	0.00952681	0.0126176	0.0213812	0.0267514	0.0422218	0.0773243	0.102446	0.19918	0.49187
a5	0.00332097	0.00351802	0.00322818	0.00418954	0.00707394	0.0089602	0.0145183	0.0316349	0.0599573	0.250699	0.6129
a36	0.00238711	0.00240586	0.00214594	0.00278342	0.00475184	0.00598499	0.00966019	0.0225594	0.0460059	0.247904	0.653411
a27	0.011909	0.00967206	0.00880032	0.0108482	0.0180153	0.0193997	0.0269408	0.0570492	0.078855	0.221589	0.536921
a82	0.0876235	0.0485214	0.0405587	0.0433775	0.0574694	0.0499447	0.0543283	0.0896084	0.0980239	0.147916	0.282628
a10	0.143643	0.0658044	0.0478273	0.0521203	0.0679488	0.0606907	0.0792796	0.114045	0.10327	0.111571	0.1538
a87	0.140513	0.0742433	0.0541868	0.0602665	0.0750356	0.0777168	0.100789	0.12901	0.111665	0.0948124	0.0817619
a23	0.0912222	0.0601406	0.0499725	0.0591197	0.0780077	0.0812742	0.107196	0.144214	0.129589	0.109315	0.0899496
a97	0.0544954	0.0301644	0.0217775	0.0218771	0.0276325	0.0295618	0.0418189	0.0810685	0.127404	0.237535	0.326665
</S>	0.0268044	0.0168046	0.0142242	0.0167033	0.0214076	0.0219114	0.0288459	0.0490701	0.0815791	0.215928	0.506722
