 	je	sais	lire	la	langue	mbochi	</S>
a66	0.476116	0.184086	0.136634	0.0769658	0.0628577	0.0403262	0.0230142
a87	0.407218	0.16231	0.119811	0.105928	0.104561	0.0670734	0.0330989
a23	0.378405	0.257918	0.160485	0.0640144	0.0612718	0.0442889	0.033617
a99	0.355101	0.254238	0.162955	0.0765551	0.0668192	0.0462271	0.0381053
a94	0.271617	0.224495	0.172829	0.0807084	0.0839639	0.0873171	0.0790687
a70	0.326649	0.21282	0.143787	0.0796806	0.0834941	0.0788878	0.0746826
a18	0.31226	0.262723	0.214425	0.0736536	0.0530067	0.0420594	0.0418724
a50	0.200969	0.225019	0.226733	0.106588	0.0740899	0.0753942	0.0912081
a96	0.124949	0.176174	0.198707	0.126186	0.10326	0.119793	0.150931
a4	0.106141	0.171752	0.218415	0.15478	0.114757	0.11238	0.121775
a53	0.114805	0.19799	0.25074	0.157268	0.105334	0.0885619	0.0853004
a44	0.094014	0.195421	0.253448	0.169478	0.110494	0.0921697	0.084976
a58	0.0748188	0.174652	0.247332	0.188276	0.12415	0.101423	0.0893475
a57	0.0304139	0.085391	0.127787	0.170548	0.160911	0.189659	0.235291
a38	0.0132532	0.0474968	0.0656617	0.137283	0.18718	0.231081	0.318045
a94	0.00471597	0.020072	0.0320227	0.110722	0.185805	0.26782	0.378843
a70	0.00485699	0.017517	0.0291819	0.113831	0.189812	0.294295	0.350506
a99	0.00342687	0.00846112	0.0182875	0.0869102	0.184346	0.33609	0.362478
a70	0.00371342	0.00840446	0.0174551	0.0806729	0.183053	0.373751	0.33295
a94	0.00327626	0.00733229	0.0130468	0.06191	0.14992	0.37755	0.386965
a13	0.00240637	0.00565877	0.00950322	0.0472667	0.125784	0.37324	0.436142
a53	0.00167452	0.00378534	0.00591939	0.0317717	0.103793	0.368838	0.484218
a94	0.0013962	0.0032341	0.00511977	0.0240491	0.0930616	0.317396	0.555743
a32	0.000876778	0.0020239	0.00309909	0.0178353	0.0707661	0.296236	0.609163
a38	0.00158411	0.00278328	0.00400478	0.0218982	0.0758584	0.282653	0.611219
a82	0.00273087	0.00437005	0.00565718	0.0240929	0.0783451	0.278476	0.606328
a38	0.0152411	0.0140956	0.0144696	0.0355176	0.081808	0.265251	0.573617
a82	0.0406661	0.03539	0.0315757	0.0605342	0.101843	0.24789	0.482101
a3	0.127027	0.0866216	0.0633435	0.0738081	0.116524	0.206749	0.325927
a97	0.156131	0.108394	0.0760915	0.0759829	0.129516	0.189058	0.264827
a85	0.134712	0.131003	0.0897304	0.0903679	0.143831	0.179683	0.230672
a82	0.136592	0.130701	0.0826203	0.0982806	0.136554	0.208184	0.207069
a38	0.181844	0.172403	0.0953172	0.0972728	0.100967	0.159951	0.192245
a82	0.163893	0.141257	0.0912339	0.099367	0.109608	0.175259	0.219383
</S>	0.119503	0.111979	0.075983	0.0973602	0.106994	0.203248	0.284932
