 	le	feu	brûle	les	hautes	herbes	</S>
a66	0.396888	0.280804	0.211811	0.0612201	0.0208623	0.0130572	0.0153576
a87	0.437292	0.264266	0.136822	0.068566	0.0417225	0.0270313	0.0243004
a23	0.371951	0.213545	0.121492	0.062743	0.0878171	0.0658594	0.076593
a83	0.361266	0.192286	0.106055	0.0834536	0.0898922	0.0766837	0.0903634
a21	0.448851	0.241257	0.197428	0.0724133	0.0250872	0.00782114	0.00714211
a5	0.279963	0.258013	0.25273	0.157905	0.0398457	0.00675745	0.00478669
a21	0.165703	0.180368	0.25962	0.256254	0.0936444	0.0265554	0.0178556
a47	0.0930365	0.129637	0.220638	0.297853	0.129491	0.0760697	0.0532749
a75	0.0984138	0.0937045	0.141619	0.296477	0.144275	0.12101	0.104501
a56	0.0546793	0.0655883	0.151204	0.360548	0.135699	0.119446	0.112835
a31	0.0360139	0.0310141	0.0642966	0.21173	0.166152	0.232793	0.258
a88	0.00315159	0.00220575	0.00391891	0.0364732	0.0664531	0.29524	0.592557
a0	0.000808508	0.00056618	0.00114005	0.012172	0.0288655	0.267589	0.688859
a47	0.00168358	0.0010735	0.00146245	0.00756529	0.0180034	0.215938	0.754274
a18	0.00178972	0.00188239	0.00442366	0.0190415	0.0281354	0.209433	0.735294
a25	0.00934633	0.00525853	0.00531561	0.0109526	0.0178335	0.163788	0.787505
a87	0.160787	0.0613095	0.0382314	0.042188	0.0627796	0.19536	0.439344
a23	0.324074	0.184557	0.107559	0.0526806	0.060398	0.108076	0.162656
a99	0.0548544	0.0308734	0.0173946	0.0143255	0.0332505	0.245612	0.603689
a97	0.00990997	0.00598079	0.00447471	0.00743374	0.0226314	0.258268	0.691302
</S>	0.00291634	0.00244809	0.00270924	0.0039891	0.0180373	0.267974	0.701926
