 	quels	fruits	veux-tu	acheter	</S>
a23	0.34505	0.341241	0.221813	0.0588691	0.0330267
a83	0.440384	0.261309	0.222645	0.0478447	0.0278172
a34	0.329587	0.280302	0.202416	0.0990428	0.0886532
a70	0.455373	0.302025	0.144438	0.0676479	0.0305167
a61	0.436549	0.328586	0.171003	0.0433501	0.0205125
a75	0.406556	0.343416	0.169407	0.0504684	0.0301525
a85	0.316718	0.320988	0.190232	0.0999625	0.0720989
a36	0.360955	0.322248	0.143636	0.0991485	0.0740124
a2	0.346303	0.376323	0.186069	0.0518864	0.0394181
a44	0.134725	0.172162	0.229683	0.186174	0.277257
a11	0.256548	0.29055	0.198024	0.123863	0.131015
a0	0.231307	0.236793	0.238889	0.140386	0.152625
a75	0.183252	0.190677	0.283318	0.188347	0.154405
a90	0.139924	0.160645	0.242859	0.209379	0.247193
a70	0.137974	0.146469	0.229399	0.235893	0.250265
a99	0.107269	0.105096	0.195037	0.278857	0.313742
a50	0.0587734	0.0639593	0.146068	0.296887	0.434312
a62	0.0426414	0.0364002	0.0901108	0.271596	0.559252
a88	0.0286447	0.031714	0.0842874	0.256484	0.59887
a11	0.0146676	0.0125841	0.0374885	0.201862	0.733398
a34	0.00498553	0.00494393	0.0176335	0.178719	0.793718
a98	0.00760635	0.00813244	0.0257658	0.174431	0.784064
a44	0.00383091	0.00474447	0.0156974	0.160799	0.814928
a11	0.00181459	0.00189311	0.00806166	0.112934	0.875296
a31	0.00154667	0.00145318	0.00586925	0.106913	0.884218
a0	0.00390648	0.00363174	0.0111377	0.128578	0.852746
a9	0.0027146	0.00320187	0.0103723	0.131782	0.851929
a10	0.0144939	0.0162712	0.0297523	0.151432	0.788051
a87	0.0360344	0.0324013	0.0560787	0.168106	0.70738
a23	0.208153	0.117877	0.139998	0.174248	0.359724
a87	0.139655	0.0761663	0.108643	0.257838	0.417697
</S>	0.0687034	0.0402928	0.0834487	0.239919	0.567636
