 	le	récolteur	du	vin	de	palme	traverse	le	fleuve	dans	sa	pe	tite	pirogue	</S>
a66	0.231928	0.16045	0.118561	0.0725313	0.0443697	0.0458387	0.0378054	0.0372768	0.0575281	0.0439649	0.0444112	0.0505038	0.0280089	0.0164525	0.01037
a87	0.302189	0.166824	0.0865633	0.0393656	0.0218491	0.0183791	0.00887293	0.0118036	0.0385571	0.0448748	0.04912	0.0945922	0.082894	0.0254459	0.00866882
a97	0.243855	0.189236	0.120845	0.0597874	0.0359035	0.0344894	0.0209971	0.0209012	0.0402191	0.0386617	0.0408099	0.0453228	0.0413637	0.0439907	0.0236178
a99	0.196639	0.155374	0.110921	0.0729425	0.0534928	0.0512944	0.041406	0.0434032	0.0668021	0.0474089	0.0421477	0.0511094	0.0356874	0.0194546	0.0119156
a97	0.230199	0.175778	0.114881	0.0831116	0.0559701	0.0546677	0.0377648	0.0333164	0.0457748	0.0309978	0.030838	0.0380896	0.0283736	0.0225462	0.0176912
a57	0.221166	0.148276	0.0962596	0.0815083	0.0632478	0.0606912	0.045788	0.0453083	0.0597261	0.0417822	0.0339585	0.040186	0.0292226	0.0198487	0.0130309
a99	0.352267	0.235684	0.0984113	0.0535628	0.0318146	0.0317441	0.0243008	0.019677	0.0254391	0.0193081	0.0190795	0.0273614	0.029654	0.0186512	0.0130447
a97	0.301882	0.247067	0.131066	0.0677502	0.0284873	0.0231845	0.0187512	0.0147932	0.021835	0.0184313	0.0204682	0.0299359	0.0381294	0.0236442	0.0145736
a53	0.254524	0.180417	0.106885	0.0634255	0.0354966	0.030467	0.0270407	0.0289169	0.0457724	0.0381249	0.0368693	0.0600693	0.0578567	0.0232363	0.0108993
a69	0.226509	0.210978	0.177762	0.105897	0.0612654	0.0504124	0.0447996	0.0300621	0.0252273	0.014987	0.0134572	0.0158364	0.0125126	0.00565988	0.00463443
a98	0.0998845	0.0961744	0.167568	0.173402	0.1201	0.112629	0.0828902	0.051846	0.0382959	0.0210846	0.0121944	0.0116096	0.00673796	0.00291318	0.00267093
a85	0.0792443	0.0758961	0.137336	0.151975	0.111082	0.104757	0.108081	0.0766996	0.0597376	0.0381213	0.0193082	0.0173816	0.0118719	0.00406936	0.00443931
a6	0.0370321	0.0398219	0.0792577	0.130375	0.12339	0.116253	0.122842	0.106628	0.0869175	0.0611653	0.0318742	0.0273149	0.0180327	0.00970671	0.00938807
a36	0.0349785	0.0430771	0.0883133	0.127985	0.120962	0.121653	0.127788	0.114764	0.0913094	0.0546571	0.0279137	0.0186731	0.0105328	0.00784638	0.00954736
a12	0.0200637	0.025112	0.0459576	0.0922958	0.12095	0.114799	0.126245	0.134634	0.121252	0.0738584	0.0395387	0.0337477	0.0199104	0.0151683	0.016468
a5	0.0141469	0.0164418	0.0208882	0.046562	0.0906323	0.0875579	0.106165	0.134758	0.1398	0.102144	0.0625878	0.0592579	0.0509817	0.0375121	0.0305645
a75	0.00450868	0.00585571	0.00721155	0.019384	0.0570851	0.0564008	0.0751763	0.120167	0.129226	0.115321	0.0916118	0.0832365	0.0918499	0.0822156	0.0607511
a5	0.0036448	0.00441766	0.00598588	0.0159311	0.0434117	0.0395394	0.0586063	0.109531	0.119142	0.1071	0.0890693	0.0684508	0.0812108	0.128667	0.125292
a21	0.0035676	0.00392777	0.00422573	0.00708925	0.0156037	0.0138328	0.0255417	0.0676911	0.0823785	0.0813825	0.0701545	0.0540469	0.0728275	0.191435	0.306296
a43	0.00358907	0.00441892	0.00462932	0.0066361	0.0117095	0.0105453	0.0161098	0.0373099	0.0438033	0.0460454	0.0483251	0.0384358	0.0518081	0.245805	0.43083
a21	0.000945071	0.00117704	0.000814782	0.00108172	0.00259579	0.00212819	0.00355087	0.0126238	0.0282091	0.0474785	0.0563862	0.0358879	0.0426468	0.185148	0.579326
a12	0.00157972	0.00188478	0.00138451	0.00172778	0.00367392	0.00319474	0.00627038	0.0170942	0.0282867	0.0397323	0.045486	0.0296364	0.0356227	0.188578	0.595847
a96	0.000685773	0.000907467	0.000573105	0.000775491	0.00225085	0.00202421	0.00390051	0.0139203	0.029772	0.0447222	0.0535405	0.02945	0.0353801	0.166864	0.615234
a88	0.00165835	0.00184229	0.000811763	0.000840408	0.00244167	0.00220933	0.00456839	0.0160021	0.0339668	0.0454126	0.0526309	0.0271889	0.0358832	0.172575	0.601968
a9	0.00404368	0.00347605	0.00169323	0.00182498	0.00461121	0.0037877	0.00613052	0.0183741	0.0316691	0.0435336	0.0508851	0.0315073	0.0477845	0.184263	0.566416
a10	0.0245177	0.0190969	0.0159098	0.0164164	0.0262169	0.0268205	0.0381114	0.0504827	0.0527712	0.0582285	0.0575675	0.0483876	0.0868246	0.157589	0.321059
a87	0.136059	0.094032	0.0562896	0.0366101	0.0453881	0.0493099	0.0714414	0.0814347	0.0754152	0.0660787	0.0575812	0.0523718	0.0508531	0.0503075	0.076828
a23	0.196338	0.151675	0.0938794	0.0468364	0.0404459	0.0439614	0.0522496	0.0547406	0.0616778	0.0435135	0.0452502	0.0475104	0.0340828	0.0338792	0.0539594
a97	0.103158	0.0726786	0.0335859	0.0162533	0.0190502	0.0180428	0.0202124	0.029085	0.0309008	0.0301854	0.0408741	0.0312727	0.0319913	0.131641	0.391069
</S>	0.0115986	0.00856091	0.00558091	0.00499694	0.00855983	0.00833361	0.011252	0.0236959	0.0259917	0.0268337	0.0373404	0.02978	0.0326405	0.202147	0.562688
