 	je	fais	monter	l'	enfant	dans	le	camion	</S>
a66	0.364847	0.146188	0.135248	0.114091	0.087825	0.0579067	0.039428	0.0300722	0.0243935
a87	0.136274	0.0937293	0.138733	0.181487	0.0956255	0.0608565	0.064796	0.101136	0.127363
a97	0.133538	0.103247	0.220324	0.173275	0.120628	0.0810592	0.0582887	0.0646319	0.0450087
a87	0.112199	0.111705	0.229336	0.155768	0.125428	0.0887865	0.0675524	0.0664992	0.0427263
a97	0.104393	0.0975628	0.208433	0.1634	0.136042	0.0972034	0.0733418	0.0740977	0.0455275
a83	0.11503	0.0907826	0.156716	0.147067	0.143509	0.113615	0.0887223	0.0888546	0.055703
a75	0.234529	0.0811479	0.0547968	0.0843233	0.126629	0.136913	0.112371	0.0995173	0.0697722
a5	0.443729	0.177936	0.053346	0.0469096	0.0568085	0.0584477	0.0522907	0.0545618	0.0559704
a47	0.393406	0.262454	0.128424	0.0433873	0.031376	0.0248835	0.0256027	0.0397261	0.0507406
a62	0.220071	0.217599	0.176252	0.0821851	0.0583665	0.04767	0.046365	0.0648054	0.0866861
a47	0.267288	0.253739	0.193562	0.0752015	0.0479279	0.0337999	0.031449	0.0422959	0.0547367
a75	0.137941	0.175861	0.216652	0.109202	0.0765921	0.0614846	0.0563205	0.0713987	0.0945478
a6	0.161834	0.200891	0.159627	0.112479	0.0910558	0.0697577	0.0586654	0.0656976	0.0799921
a98	0.103272	0.185409	0.193268	0.128936	0.0906445	0.0685101	0.0605611	0.0751378	0.0942613
a92	0.129914	0.186443	0.163218	0.148229	0.114124	0.0757711	0.0575958	0.0571529	0.0675526
a6	0.0556855	0.105091	0.133483	0.169849	0.138869	0.110463	0.090636	0.094418	0.101505
a43	0.0336267	0.0667904	0.0966233	0.160304	0.148308	0.120963	0.105138	0.122187	0.146059
a25	0.0173862	0.0297497	0.0540598	0.117274	0.111449	0.112071	0.119739	0.175389	0.262881
a69	0.00351178	0.00775192	0.0150003	0.0370429	0.0433188	0.0613888	0.10181	0.254452	0.475723
a90	0.00464807	0.00824345	0.0130195	0.0443351	0.0618931	0.0961605	0.143493	0.259822	0.368385
a56	0.0036442	0.00752661	0.0125877	0.0483128	0.0703937	0.10549	0.150884	0.25598	0.34518
a96	0.002788	0.00593935	0.00934953	0.0394378	0.0545407	0.0850136	0.137455	0.26057	0.404906
a62	0.000834655	0.00175644	0.00227852	0.0114671	0.0169352	0.039041	0.0999294	0.287692	0.540066
a88	0.00116568	0.00240569	0.00339988	0.0137284	0.0175961	0.0388143	0.100768	0.294785	0.527337
a71	0.000792147	0.00143999	0.00195293	0.0106384	0.0135554	0.0329009	0.0911145	0.297284	0.550322
a9	0.00244421	0.00311274	0.00280998	0.0199627	0.0350382	0.078593	0.13781	0.269775	0.450455
a3	0.0159562	0.0140263	0.0203758	0.0777114	0.105126	0.131211	0.145312	0.219148	0.271133
a38	0.0222006	0.016255	0.0328958	0.100197	0.133562	0.17833	0.174041	0.188689	0.153829
a97	0.00721837	0.00673707	0.011993	0.0404032	0.0524747	0.0862962	0.155254	0.299778	0.339845
</S>	0.00406227	0.0051953	0.0148468	0.0509044	0.0586124	0.0903723	0.141474	0.298433	0.336099
