 	les	femmes	sont	parties	travailler	en	équipe	dans	le	jardin	d'	ambee	</S>
a66	0.139214	0.13187	0.106783	0.111978	0.108467	0.110445	0.0986776	0.0689921	0.0618225	0.0312525	0.0141444	0.00921218	0.00714184
a87	0.207831	0.123561	0.0918002	0.127359	0.0833767	0.0795039	0.0616278	0.0439128	0.0344824	0.0369971	0.0393698	0.0361906	0.0339877
a23	0.308223	0.137877	0.0959718	0.0639176	0.0532211	0.0686541	0.111259	0.0614534	0.0451792	0.0186477	0.0108825	0.0107635	0.0139503
a87	0.23303	0.117553	0.112176	0.0770398	0.0768231	0.0821098	0.122261	0.055077	0.0467263	0.0250463	0.0163736	0.0151094	0.0206757
a40	0.200429	0.113862	0.124291	0.0819169	0.0832021	0.085657	0.129232	0.0556333	0.0479508	0.0265107	0.0195784	0.0151244	0.0166127
a5	0.237677	0.152844	0.0888756	0.0629761	0.0333716	0.0366311	0.0608179	0.038555	0.0424703	0.0465193	0.0475749	0.0766087	0.0750785
a61	0.154428	0.129438	0.103271	0.0956093	0.0778039	0.0594972	0.0841799	0.0552398	0.0691766	0.051711	0.035317	0.0449857	0.0393435
a75	0.147507	0.11128	0.101724	0.102763	0.0812182	0.0604509	0.0823142	0.0613915	0.0721908	0.05016	0.0379654	0.0483544	0.0426814
a98	0.0715346	0.0788402	0.100761	0.12707	0.12352	0.0963076	0.0954342	0.0756066	0.0814079	0.059577	0.0287434	0.0284681	0.0327289
a47	0.0507288	0.0662621	0.0941992	0.143959	0.146343	0.110508	0.0997558	0.0749442	0.072962	0.047099	0.0251209	0.0296624	0.038455
a37	0.060701	0.0737891	0.0925205	0.142968	0.141936	0.109051	0.0937732	0.0648594	0.0627214	0.0432215	0.0234561	0.0339959	0.0570072
a88	0.0549001	0.0541382	0.0691269	0.109989	0.127716	0.113093	0.116365	0.0911789	0.0923989	0.0525837	0.0286444	0.0359107	0.0539547
a71	0.0299278	0.0277886	0.0408661	0.0770135	0.115006	0.129735	0.120599	0.121725	0.123306	0.0762423	0.0367726	0.0391742	0.0618441
a62	0.015338	0.0146442	0.0192804	0.0345688	0.0593368	0.107618	0.13478	0.150605	0.157706	0.118813	0.0504872	0.052027	0.0847955
a96	0.0319942	0.0298176	0.0372537	0.0522479	0.0735324	0.112743	0.101943	0.132555	0.138449	0.0989219	0.0668685	0.0540487	0.0696259
a66	0.0196044	0.0192467	0.0258627	0.037686	0.0605878	0.0958314	0.0835909	0.120274	0.130047	0.113109	0.0866764	0.0826422	0.124841
a53	0.00958474	0.0108285	0.0144475	0.0210921	0.0393952	0.0832959	0.101982	0.144565	0.149321	0.160276	0.0959627	0.0722084	0.0970409
a90	0.0129947	0.012191	0.0147421	0.0212138	0.0300916	0.0528505	0.0559864	0.0907363	0.11374	0.149408	0.164293	0.131646	0.150107
a96	0.00814112	0.00819684	0.0103265	0.012873	0.0193116	0.0347979	0.0323139	0.0591669	0.0745711	0.110643	0.154584	0.184101	0.290973
a90	0.00405655	0.00461562	0.00542378	0.00715495	0.0136538	0.0293034	0.02882	0.0557534	0.0673713	0.122151	0.187864	0.19293	0.280902
a4	0.00307581	0.00305262	0.00374448	0.0049253	0.00838812	0.0170793	0.0178866	0.0365855	0.0482819	0.0996094	0.186997	0.228863	0.341511
a13	0.00182114	0.00208137	0.00242525	0.00270432	0.0051834	0.0117134	0.012332	0.0218873	0.0270537	0.0754511	0.180387	0.282811	0.374149
a53	0.002555	0.00241661	0.00261842	0.00277951	0.00460038	0.0112117	0.0135551	0.0187817	0.0203082	0.0506579	0.131715	0.295068	0.443732
a90	0.00104551	0.00096335	0.000948933	0.0011632	0.00189396	0.00425864	0.0052047	0.00936007	0.0129458	0.041113	0.136368	0.316764	0.467971
a98	0.000566111	0.000611773	0.000621984	0.000720154	0.00128809	0.00309806	0.0034701	0.00619944	0.00796925	0.0242585	0.0912809	0.288822	0.571094
a85	0.000485789	0.000509029	0.000545893	0.000531952	0.00094475	0.00242066	0.00253896	0.00412633	0.00469522	0.0131156	0.0604502	0.284662	0.624974
a6	0.000682179	0.000598723	0.000623249	0.000597616	0.000846668	0.00166375	0.00171289	0.00270234	0.00313809	0.00955314	0.0532585	0.279838	0.644785
a37	0.000918603	0.000723765	0.000710344	0.000620385	0.000809924	0.00134074	0.00126894	0.0018379	0.00199075	0.00642598	0.0418225	0.262171	0.67936
a66	0.00107755	0.000865903	0.000730647	0.000717684	0.00069179	0.00118986	0.00155633	0.00194585	0.00162785	0.00552111	0.0527102	0.309072	0.622294
a47	0.00963695	0.00772357	0.00730027	0.0106976	0.00919726	0.01136	0.00986723	0.00880809	0.007202	0.0235882	0.121596	0.333808	0.439214
a62	0.0016706	0.00127828	0.00128542	0.00156666	0.00134651	0.00237666	0.00339656	0.00381884	0.0034192	0.011729	0.0864103	0.351916	0.529786
a83	0.000986789	0.000820122	0.000697431	0.00081623	0.000953514	0.00210961	0.00243445	0.00291282	0.00254254	0.00587131	0.0470286	0.288004	0.644823
a9	0.000542827	0.000410802	0.000359313	0.000521629	0.000562909	0.0012595	0.00157464	0.00194382	0.00176394	0.00645541	0.0580204	0.319977	0.606608
a97	0.00790376	0.00612531	0.00478166	0.00531311	0.00431822	0.00674293	0.00796394	0.00867116	0.00851287	0.0339919	0.124916	0.32708	0.453678
a87	0.0951232	0.0551628	0.043031	0.0500117	0.0358956	0.0534742	0.0579502	0.0379903	0.0305693	0.0499695	0.0984194	0.161037	0.231365
a23	0.113152	0.062657	0.0464016	0.0432279	0.0335591	0.0594891	0.0762566	0.0617744	0.0507944	0.0572455	0.0881777	0.134927	0.172338
a87	0.145287	0.0633769	0.0360299	0.0241116	0.0145891	0.0262702	0.0324762	0.0270463	0.0182887	0.025612	0.0877678	0.188199	0.310946
</S>	0.0094365	0.00501308	0.00425652	0.00456727	0.00346424	0.00884654	0.00911072	0.00742679	0.00459127	0.00753719	0.0353142	0.2148	0.685636
