 	dieu	a	donné	à	jésus	le	nom	qui	dépasse	tout	autre	nom	en	honneur	</S>
a87	0.106923	0.0544453	0.0432163	0.0666427	0.0984341	0.0980007	0.104536	0.0950795	0.105064	0.102579	0.0492022	0.0256936	0.0199498	0.0161591	0.0140754
a23	0.206149	0.074155	0.0515778	0.0451813	0.0523104	0.0601273	0.0496307	0.0387015	0.0422047	0.0434464	0.0328231	0.0394543	0.0782379	0.0811219	0.104878
a18	0.105498	0.099887	0.119712	0.091144	0.0751098	0.0519574	0.034658	0.0286899	0.0321805	0.0308007	0.026679	0.0297209	0.0471071	0.0672496	0.159606
a75	0.122178	0.111948	0.0972437	0.0717398	0.0620999	0.0494337	0.0359816	0.0292805	0.0353368	0.0307774	0.0281776	0.038699	0.0633821	0.090044	0.133678
a6	0.275383	0.255788	0.167361	0.0809372	0.0347534	0.0207597	0.0190558	0.0175962	0.0180872	0.0193932	0.0132154	0.0102286	0.0145471	0.0198366	0.0330578
a37	0.253614	0.237143	0.161755	0.0765397	0.0435711	0.025605	0.0243159	0.0231007	0.0237997	0.0216398	0.0156556	0.0124782	0.0167969	0.0235314	0.0404541
a44	0.239429	0.271726	0.207143	0.102372	0.0525205	0.0218297	0.0155412	0.0133928	0.0116991	0.0108417	0.00823551	0.00705256	0.00859916	0.0121206	0.0174974
a98	0.266034	0.258967	0.190783	0.104341	0.0580642	0.026303	0.0173468	0.0140514	0.0116113	0.0102454	0.00785442	0.00634175	0.00675001	0.00906371	0.0122429
a15	0.0993647	0.13403	0.156318	0.143939	0.115299	0.0766288	0.0582646	0.0502139	0.0416394	0.0330383	0.0244244	0.0169732	0.0150913	0.0157526	0.0190232
a7	0.11193	0.139556	0.157079	0.138556	0.116123	0.070065	0.0585327	0.0510336	0.045515	0.0345177	0.0220673	0.0130576	0.0119521	0.0132937	0.0167206
a84	0.0986515	0.14477	0.18196	0.181142	0.126766	0.0760973	0.0524308	0.0407777	0.0286781	0.0201654	0.0135075	0.0081794	0.00742889	0.00833583	0.0111079
a75	0.0565342	0.0965677	0.127925	0.153314	0.10769	0.0925315	0.0548936	0.043899	0.041744	0.0293016	0.0315154	0.0291039	0.0350491	0.041669	0.0582615
a5	0.0298781	0.0517148	0.0879753	0.141154	0.130899	0.117132	0.103567	0.0875438	0.0765674	0.0514007	0.0342567	0.0181283	0.0184395	0.0207172	0.0306261
a31	0.0514856	0.0682337	0.0943862	0.143873	0.157881	0.105814	0.0808799	0.0720321	0.0700385	0.0509401	0.0337486	0.0176474	0.016499	0.0162677	0.0202738
