 	la	lampe	s'	est	déjà	éteinte	</S>
a87	0.351463	0.175872	0.105314	0.102135	0.116062	0.0911896	0.0579637
a79	0.350306	0.178101	0.132125	0.0946967	0.0881336	0.0915729	0.0650654
a34	0.240658	0.204662	0.192793	0.117961	0.0898034	0.0808682	0.0732539
a56	0.42501	0.264192	0.154374	0.0786643	0.0435522	0.0229923	0.0112155
a96	0.415575	0.317087	0.162983	0.0592025	0.0262434	0.012763	0.00614612
a75	0.359774	0.349036	0.185049	0.0597648	0.0261819	0.0125581	0.00763681
a92	0.351121	0.33501	0.155616	0.0677112	0.0410089	0.0302259	0.0193073
a96	0.303062	0.291579	0.153533	0.0828084	0.0617526	0.0607525	0.0465128
a0	0.175179	0.214234	0.160619	0.149624	0.128244	0.108727	0.0633731
a11	0.104118	0.115994	0.105559	0.159817	0.196516	0.202345	0.115651
a75	0.0694466	0.0623386	0.0605193	0.12292	0.195331	0.284455	0.204989
a92	0.0392768	0.0317863	0.0343026	0.0853281	0.17526	0.335366	0.29868
a83	0.0213912	0.0198126	0.0264372	0.0729271	0.166571	0.357762	0.335099
a62	0.0111497	0.0116062	0.0165621	0.0513129	0.138346	0.356759	0.414264
a70	0.00651927	0.0086407	0.0152402	0.0496195	0.140977	0.340618	0.438385
a44	0.00310677	0.00397089	0.00832684	0.0291497	0.0937384	0.320731	0.540977
a26	0.00211672	0.00275869	0.00593668	0.0213335	0.0656987	0.282403	0.619752
a57	0.0232052	0.014652	0.0190168	0.0419238	0.0933288	0.267592	0.540281
a87	0.128534	0.0653488	0.0578113	0.0676901	0.100507	0.189201	0.390908
a23	0.299009	0.15736	0.0995821	0.0956307	0.118953	0.122234	0.107231
a87	0.103436	0.0447471	0.055396	0.080429	0.14909	0.262319	0.304584
a23	0.0180616	0.0136524	0.0258803	0.0709366	0.158583	0.312663	0.400223
a87	0.0301344	0.0201798	0.040291	0.0959282	0.175836	0.276632	0.360999
</S>	0.0311172	0.0238806	0.0566538	0.125459	0.20083	0.253353	0.308706
