 	certaines	femmes	ressentent	des	douleurs	après	l'	accouchement	</S>
a23	0.468208	0.306392	0.141965	0.046003	0.0176348	0.0067154	0.0047762	0.00419925	0.00410591
a40	0.400497	0.326425	0.138146	0.0375643	0.0197807	0.0109325	0.0134342	0.0205079	0.0327133
a5	0.303716	0.309495	0.139152	0.0443604	0.0230957	0.0244063	0.0378307	0.0534037	0.0645404
a12	0.209726	0.27718	0.213508	0.147194	0.0589774	0.0208226	0.0210598	0.0252183	0.0263133
a37	0.181462	0.268218	0.204487	0.164614	0.0777516	0.0292819	0.0241238	0.0256829	0.024378
a98	0.0618642	0.095639	0.100575	0.229837	0.233881	0.10753	0.0565074	0.0564849	0.0576818
a85	0.0938096	0.159427	0.184142	0.22245	0.163166	0.0585233	0.0401927	0.0375009	0.0407881
a6	0.0464975	0.0672433	0.0821378	0.202797	0.250753	0.129669	0.0628282	0.067565	0.0905093
a5	0.0539009	0.0507219	0.0595893	0.17771	0.231341	0.152567	0.0675287	0.0842997	0.122342
a47	0.0286449	0.0200029	0.0291884	0.101867	0.159842	0.192817	0.128265	0.144883	0.19449
a96	0.0118871	0.0102018	0.0211295	0.0747248	0.14718	0.210706	0.169409	0.165999	0.188762
a18	0.00118537	0.00141008	0.00461859	0.0245582	0.0702461	0.189428	0.182767	0.235535	0.290252
a44	0.000418813	0.000516079	0.00153725	0.00374114	0.0105418	0.0516202	0.113745	0.292714	0.525166
a4	0.000379467	0.000588048	0.00205066	0.00684699	0.0181967	0.0655097	0.129727	0.288228	0.488474
a13	0.000457369	0.000742177	0.00219393	0.00567757	0.0161994	0.0571561	0.125108	0.285641	0.506824
a57	0.000348412	0.000629916	0.00185291	0.00282834	0.00738511	0.0370217	0.106181	0.294275	0.549478
a3	0.0113774	0.0105371	0.0166567	0.017053	0.0265629	0.0862457	0.151804	0.284983	0.394779
a87	0.211066	0.12479	0.0957288	0.0519638	0.0478369	0.0599686	0.0797155	0.135735	0.193195
a23	0.345848	0.237235	0.147659	0.0744004	0.041249	0.0265302	0.0263462	0.0393257	0.0614059
a99	0.0909084	0.0807326	0.0538424	0.0181916	0.0161589	0.0281406	0.0904089	0.243332	0.378284
a97	0.0532124	0.0459977	0.0287015	0.0189269	0.0272107	0.0612101	0.123209	0.263154	0.378378
</S>	0.0178878	0.0208587	0.0153231	0.0136638	0.0272123	0.0641395	0.144333	0.281027	0.415555
