 	le	footballeur	a	beaucoup	transpiré	</S>
a66	0.469776	0.309326	0.0856438	0.078893	0.0372259	0.0191354
a87	0.242171	0.191167	0.0908218	0.137632	0.142488	0.19572
a97	0.492697	0.320427	0.0495683	0.0517637	0.0370423	0.0485015
a87	0.498203	0.285875	0.0467806	0.0592165	0.0536005	0.0563245
a97	0.440653	0.294351	0.0573626	0.0730724	0.0656491	0.0689115
a87	0.362897	0.324215	0.0717708	0.090241	0.0739013	0.0769745
a97	0.339594	0.309136	0.0748043	0.096403	0.0871158	0.0929471
a79	0.370866	0.344783	0.0784145	0.0862939	0.0593498	0.0602933
a69	0.435081	0.358424	0.0618449	0.0710982	0.0371123	0.0364395
a75	0.492052	0.325351	0.0679268	0.0611934	0.0299291	0.0235476
a21	0.337081	0.419786	0.096559	0.0945437	0.0295423	0.022489
a47	0.370256	0.419641	0.0942215	0.0796216	0.0214031	0.0148568
a62	0.38659	0.399736	0.0907154	0.0839215	0.0240133	0.0150234
a96	0.378487	0.386927	0.102568	0.0874019	0.0275618	0.0170541
a75	0.273272	0.371152	0.140502	0.118124	0.0592256	0.0377244
a5	0.190277	0.285733	0.146946	0.162684	0.120503	0.0938582
a12	0.290974	0.327521	0.139	0.119315	0.0763202	0.0468694
a96	0.189663	0.328592	0.163281	0.150385	0.100697	0.0673828
a90	0.118201	0.301102	0.189613	0.177935	0.13385	0.0792976
a25	0.0749647	0.211903	0.154555	0.175004	0.204726	0.178848
a92	0.0501903	0.172999	0.184423	0.207277	0.194122	0.190989
a37	0.0443943	0.140875	0.162606	0.194175	0.201735	0.256214
a98	0.0420296	0.141473	0.216254	0.225855	0.187005	0.187382
a92	0.00905691	0.0617245	0.14198	0.195756	0.254598	0.336884
a37	0.00933004	0.046926	0.122327	0.174712	0.258844	0.38786
a96	0.0137029	0.0486914	0.131975	0.154493	0.25503	0.396108
a18	0.0125008	0.0389548	0.11272	0.147657	0.279271	0.408896
a90	0.00598759	0.0122853	0.0432997	0.0682569	0.283269	0.586902
a56	0.00247616	0.00685551	0.0316108	0.0549276	0.233452	0.670678
a90	0.00238085	0.00688689	0.0298567	0.0544534	0.218985	0.687437
a56	0.0016352	0.00606107	0.0240118	0.0483588	0.227916	0.692017
a96	0.00136817	0.00476062	0.0188908	0.0398874	0.195278	0.739815
a34	0.00109762	0.00337741	0.0125538	0.0271162	0.185259	0.770596
a12	0.000892761	0.00384245	0.0144734	0.0331573	0.20772	0.739914
a62	0.000840389	0.00348782	0.0116007	0.0276999	0.226543	0.729828
a96	0.00051533	0.00226803	0.00777413	0.0171557	0.210306	0.76198
a21	0.000366303	0.00183604	0.00692938	0.0141336	0.202455	0.77428
a12	0.000757151	0.00311687	0.01066	0.018109	0.214099	0.753258
a18	0.000686108	0.00281052	0.00848893	0.0163028	0.188347	0.783365
a94	0.000900798	0.00326269	0.0123163	0.0178193	0.226992	0.738709
a58	0.00158129	0.00504432	0.0179402	0.0219515	0.216103	0.737379
a82	0.00763307	0.0152104	0.0543118	0.0477573	0.285186	0.589902
a10	0.0306444	0.0365724	0.0863027	0.0700239	0.29039	0.486066
a82	0.0916827	0.0920474	0.0928985	0.0807939	0.241906	0.400671
a10	0.0685306	0.0674335	0.0715247	0.0690122	0.260171	0.463329
a97	0.0254998	0.0305254	0.0520782	0.0645677	0.273174	0.554155
a87	0.0210612	0.0339295	0.0620486	0.0659907	0.235333	0.581637
a97	0.0312571	0.0652892	0.0814	0.0892654	0.229905	0.502884
</S>	0.0259654	0.0562467	0.0645385	0.0702826	0.210886	0.57208
