 	ils	reviendront	bientôt	</S>
a23	0.685733	0.0979217	0.0886646	0.12768
a85	0.732491	0.101515	0.0752147	0.0907793
a87	0.559508	0.151119	0.131989	0.157385
a23	0.674273	0.152833	0.0836567	0.089238
a97	0.259188	0.134533	0.212163	0.394116
a79	0.293533	0.15678	0.217026	0.332661
a20	0.230806	0.145528	0.224786	0.39888
a73	0.48569	0.192111	0.157038	0.165161
a56	0.496711	0.235658	0.148639	0.118993
a18	0.382318	0.207441	0.215944	0.194297
a66	0.347202	0.247678	0.209531	0.195589
a9	0.324707	0.267454	0.212297	0.195542
a75	0.292583	0.248336	0.21705	0.242031
a41	0.249947	0.234955	0.238696	0.276403
a66	0.204198	0.241824	0.248758	0.30522
a75	0.171935	0.302614	0.25448	0.27097
a41	0.085439	0.205035	0.290235	0.419291
a37	0.0639364	0.223858	0.317206	0.395
a90	0.0419053	0.1749	0.329823	0.453372
a56	0.0356326	0.146975	0.328382	0.48901
a62	0.0305926	0.13192	0.344581	0.492907
a24	0.0186924	0.0819833	0.292908	0.606416
a62	0.0140495	0.0793434	0.291498	0.615109
a75	0.0139895	0.0616994	0.25477	0.669541
a14	0.013852	0.0792453	0.308262	0.59864
a73	0.0112997	0.0859244	0.30108	0.601696
a57	0.0152569	0.0751127	0.260631	0.648999
a87	0.00461315	0.0278379	0.178568	0.788981
</S>	0.00521247	0.025893	0.158089	0.810806
