 	mes	beaux-parents	boudent	contre	moi	parce	que	j'	ai	refusé	de	leur	donner	de	l'	argent	</S>
a84	0.200118	0.182711	0.115922	0.091223	0.100583	0.0876082	0.0766675	0.0523648	0.0353779	0.0176688	0.0108261	0.00756275	0.0063099	0.00444681	0.00381524	0.00351609	0.00327876
a87	0.387179	0.0939988	0.0450957	0.0308772	0.0435557	0.0524839	0.0560921	0.0494278	0.0372163	0.0291811	0.0263582	0.0225393	0.0263409	0.0239601	0.0242271	0.0243896	0.0270776
a40	0.358	0.0913115	0.0457848	0.0378991	0.0349326	0.0358697	0.0401108	0.0436725	0.0379044	0.0349756	0.0402403	0.0320684	0.0375452	0.0261539	0.0259596	0.0320296	0.0455418
a7	0.139883	0.0645839	0.0569773	0.0485083	0.0576478	0.0711707	0.0887549	0.100068	0.0937096	0.0883543	0.0560972	0.0371884	0.0359916	0.0217768	0.0148486	0.0116275	0.012812
a90	0.309194	0.228139	0.101085	0.0529897	0.0445575	0.0303067	0.0291653	0.0276948	0.0210291	0.0197127	0.0211235	0.0230195	0.0252157	0.0193655	0.0173627	0.0147526	0.0152859
a44	0.268676	0.188403	0.105441	0.0769865	0.0537812	0.0331161	0.0296095	0.032087	0.0272379	0.0297573	0.0319786	0.0356551	0.036619	0.01976	0.012416	0.00903069	0.00944495
a15	0.179947	0.161179	0.104551	0.0895933	0.052501	0.0292991	0.0250322	0.0277035	0.023629	0.0294721	0.0380768	0.0499324	0.0557961	0.042735	0.033475	0.0275732	0.029504
a47	0.0910693	0.138538	0.11087	0.101815	0.0641682	0.0356795	0.0289308	0.0295162	0.0252521	0.0281595	0.0348009	0.0475529	0.0541526	0.0495395	0.0494521	0.0502734	0.0602291
a0	0.11132	0.142514	0.11051	0.107335	0.0712561	0.0395474	0.0307567	0.0292974	0.0241345	0.0212545	0.0232534	0.0318651	0.0407897	0.0426677	0.0480498	0.0565286	0.0689201
a37	0.121499	0.162013	0.113006	0.10731	0.0694286	0.040649	0.0339489	0.0319749	0.0279738	0.0250187	0.0269282	0.0319426	0.0360446	0.0384437	0.042164	0.0438472	0.0478086
a44	0.0622939	0.136651	0.135529	0.146261	0.10548	0.0601753	0.0459341	0.0392174	0.0316701	0.0241891	0.0233467	0.0249237	0.0263243	0.0289173	0.0338112	0.036252	0.0390248
a56	0.041637	0.119731	0.128244	0.143296	0.109133	0.068512	0.0531388	0.0437037	0.0339218	0.0242562	0.0215412	0.0225021	0.0247454	0.0303674	0.0391738	0.0459094	0.0501875
a75	0.0297805	0.111424	0.124773	0.140872	0.108298	0.0745222	0.0588812	0.04745	0.037933	0.0276312	0.0239337	0.0239944	0.0258787	0.0312331	0.0392521	0.0459663	0.0481764
a98	0.00747468	0.0566867	0.0910907	0.112732	0.0943138	0.0699515	0.0580658	0.0540851	0.0479097	0.0395408	0.0365511	0.0360749	0.038158	0.0485661	0.0578274	0.0706957	0.0802765
a85	0.00435897	0.0383174	0.105719	0.153581	0.135657	0.0995598	0.0806357	0.0679583	0.0558877	0.038521	0.0275519	0.022015	0.0210439	0.0273783	0.0326588	0.0405953	0.0485611
a6	0.00313551	0.0305072	0.0875722	0.12928	0.127031	0.103181	0.086783	0.0697155	0.0569904	0.0378251	0.028945	0.0241776	0.0235217	0.0317082	0.0394704	0.0529921	0.0671642
a37	0.00279561	0.0205278	0.0866905	0.135433	0.131497	0.106209	0.0913687	0.0693423	0.054236	0.0402239	0.0280053	0.0219314	0.0207884	0.0282	0.0385294	0.0553954	0.0688268
a85	0.00269329	0.0117741	0.059525	0.119832	0.133617	0.118661	0.118491	0.0883907	0.0656722	0.0463762	0.0252379	0.0170429	0.0149404	0.0203939	0.0314324	0.0524868	0.0734331
a6	0.00126456	0.00765904	0.0430163	0.0753708	0.0857757	0.0808958	0.0773318	0.0654595	0.057845	0.0465621	0.034805	0.0291906	0.0286025	0.0433008	0.0661323	0.108203	0.148586
a36	0.00154394	0.0087318	0.0505389	0.0857182	0.102086	0.105735	0.106823	0.08264	0.0701689	0.0566969	0.0378777	0.0289506	0.0272056	0.0321687	0.0440957	0.0674472	0.0915724
a2	0.00227439	0.00672368	0.0334843	0.0729223	0.0983888	0.106417	0.12983	0.0930441	0.0740879	0.0573797	0.029799	0.0212536	0.0199873	0.0259169	0.041803	0.0736897	0.112998
a57	0.00914888	0.0146379	0.0496458	0.0857644	0.0989234	0.109521	0.126664	0.0892345	0.074693	0.0469958	0.0222759	0.0146884	0.0137128	0.018667	0.0311712	0.0698921	0.124365
a87	0.00945078	0.0160671	0.0513938	0.067202	0.0879324	0.113193	0.131426	0.107545	0.0932346	0.0634857	0.0371798	0.0238276	0.01913	0.0209148	0.029881	0.0503565	0.0777811
a23	0.0194116	0.0174805	0.0492106	0.0506105	0.0669205	0.0794738	0.0892343	0.0824247	0.069339	0.0558021	0.0509737	0.0511008	0.0610196	0.0556611	0.0555498	0.0626762	0.0831112
a10	0.0117189	0.0190356	0.0464057	0.0471874	0.0581938	0.0634007	0.0745721	0.078382	0.0629805	0.0551914	0.0465062	0.0466859	0.0606076	0.0636567	0.065638	0.0825932	0.117244
a83	0.00328131	0.00926314	0.0341235	0.0368752	0.0505063	0.0561925	0.0676937	0.0754508	0.0634283	0.0647458	0.0575532	0.0612941	0.0737873	0.0783622	0.0768718	0.0875291	0.103042
a12	0.000706041	0.00278962	0.0133108	0.0153609	0.0212323	0.024183	0.0285611	0.039823	0.0346256	0.0528983	0.0674985	0.0763495	0.075334	0.0930655	0.123585	0.153663	0.177014
a18	0.00122091	0.00415878	0.0120567	0.0134545	0.016073	0.0194138	0.0221017	0.0271305	0.0249028	0.0305558	0.0547276	0.0811863	0.0886793	0.112844	0.142611	0.165854	0.183029
a62	0.000980472	0.00208156	0.00777807	0.0106285	0.0168078	0.0223458	0.0296064	0.0358057	0.0313319	0.0396799	0.0556004	0.0791386	0.0890008	0.12698	0.147495	0.147514	0.157225
a88	0.0019457	0.00458539	0.0167766	0.0235349	0.0357948	0.0475929	0.0624255	0.0684152	0.0572649	0.0606505	0.0668052	0.0761371	0.07879	0.0985682	0.111363	0.0999292	0.089421
a62	0.00167162	0.00424	0.0134098	0.0190891	0.0280373	0.0377084	0.0501682	0.0522551	0.0424	0.0477069	0.0479461	0.0566122	0.0607055	0.0963604	0.137074	0.151295	0.15332
a56	0.00241047	0.0049286	0.0117916	0.0173272	0.0276461	0.0395033	0.0537128	0.0546217	0.0480421	0.0535385	0.0563809	0.0652947	0.0640729	0.0926541	0.126058	0.140123	0.141894
a79	0.00107863	0.00329087	0.00765775	0.0110381	0.0171458	0.0256082	0.0362875	0.0384142	0.0364283	0.0462351	0.0454302	0.0519013	0.0494325	0.0878168	0.145893	0.188006	0.208336
a44	0.000195724	0.00100112	0.00367086	0.00565254	0.0083696	0.0116359	0.0142874	0.0172756	0.0199156	0.0282685	0.0320231	0.0356675	0.0324184	0.068703	0.14862	0.246994	0.325301
a75	0.000417706	0.00140195	0.00401535	0.00644624	0.00922101	0.0128352	0.0175294	0.0188902	0.0178038	0.0251241	0.0250469	0.0271818	0.0247443	0.0565858	0.133569	0.249422	0.369765
a92	0.00011844	0.00046913	0.00224289	0.00372693	0.00560502	0.00782841	0.0100221	0.0111418	0.0131708	0.0177158	0.0176112	0.0174747	0.0163662	0.0456387	0.125541	0.274271	0.431056
a37	0.00016233	0.000608833	0.00210567	0.00302463	0.00429996	0.00622098	0.00849166	0.00969573	0.0118379	0.0179484	0.0183956	0.0185969	0.016235	0.0429264	0.11433	0.267343	0.457777
a98	0.000248736	0.000717497	0.00242441	0.00363526	0.00461806	0.00654162	0.00866384	0.00896432	0.00949115	0.0135177	0.0131569	0.0120202	0.0102317	0.0305471	0.101304	0.280758	0.493159
a47	5.14275e-05	0.000219948	0.00121832	0.00220652	0.0029278	0.00420612	0.00545338	0.00600527	0.00699371	0.00901659	0.00861314	0.00849611	0.00952317	0.0337944	0.11115	0.291723	0.498401
a7	0.000110543	0.000259408	0.00128426	0.00270953	0.00375743	0.00558157	0.00734241	0.00813873	0.00909036	0.0100841	0.00889185	0.00890644	0.0119258	0.0384134	0.109579	0.280469	0.493456
a37	0.00187097	0.00160418	0.0046427	0.00777942	0.0100503	0.0154274	0.0215535	0.0207209	0.0191736	0.0227604	0.0224626	0.0215336	0.0237928	0.0583026	0.134286	0.257245	0.356795
a96	0.000957339	0.00114508	0.00394771	0.00616575	0.00783812	0.0116199	0.0165448	0.0172697	0.0163964	0.0225919	0.0215245	0.0205076	0.0199985	0.0504762	0.122544	0.264897	0.395575
a23	0.000411541	0.00111803	0.00395188	0.00521499	0.0067819	0.00983642	0.0134495	0.014795	0.0151012	0.0200079	0.0177729	0.0156671	0.0137294	0.0389691	0.115445	0.274168	0.43358
a27	0.000758382	0.000778657	0.00264258	0.00414407	0.00527371	0.00775021	0.00988701	0.0110443	0.0105838	0.0149109	0.0185427	0.0207964	0.0236524	0.0565956	0.138853	0.291428	0.382359
a82	0.023648	0.0200148	0.0251652	0.0327832	0.0384339	0.0481889	0.0530558	0.0519346	0.0459406	0.0489721	0.0546656	0.0516289	0.0493574	0.0672471	0.0995469	0.137834	0.151583
a87	0.0445801	0.0270508	0.0277292	0.0285152	0.0361785	0.0527983	0.0593343	0.0613417	0.055372	0.058592	0.0624618	0.0543211	0.052052	0.0637269	0.0893121	0.113316	0.113318
a97	0.0399629	0.0153017	0.0197798	0.0200144	0.0287877	0.0525819	0.0778189	0.081556	0.0818719	0.0813868	0.0782327	0.0570328	0.0531942	0.0570859	0.0718372	0.0865002	0.0970549
a3	0.0287654	0.0104799	0.0199465	0.023126	0.0328755	0.0572024	0.0824558	0.0860042	0.0834462	0.0724404	0.0725969	0.0536318	0.0578	0.0555395	0.0663089	0.0863003	0.11108
a97	0.0284686	0.0117443	0.0206696	0.024461	0.0315886	0.0518741	0.0709422	0.0736013	0.0690404	0.0571918	0.0595888	0.0466495	0.055495	0.0569565	0.0733304	0.109749	0.158649
a87	0.0316997	0.0162458	0.0245258	0.028453	0.0334748	0.0512976	0.0688119	0.0726576	0.0682221	0.0584674	0.0611403	0.0498956	0.0612117	0.0593692	0.0696155	0.100146	0.144766
a23	0.0240535	0.0152045	0.0231465	0.026917	0.032745	0.0505839	0.0638046	0.0669655	0.0577338	0.0474914	0.0499015	0.0430016	0.0532806	0.0590126	0.0808338	0.124551	0.180773
a99	0.00688669	0.00221702	0.00267902	0.00289716	0.00406742	0.00695137	0.00850861	0.0112049	0.0111917	0.0132941	0.0273616	0.0356417	0.0555605	0.0826724	0.127403	0.217629	0.383834
a25	0.00952728	0.00461769	0.00508566	0.00562629	0.00641055	0.00824745	0.00944754	0.0115364	0.0108793	0.0124691	0.0248715	0.0374196	0.0649418	0.0946844	0.139361	0.209643	0.345232
</S>	0.00555984	0.00276005	0.00298398	0.00405449	0.00509821	0.00772044	0.00882686	0.0106822	0.00990075	0.0104357	0.018979	0.0259636	0.0448951	0.0752009	0.134375	0.242984	0.38958
