 	pourquoi	tu	me	gardes	rancune	</S>
a84	0.304911	0.20262	0.183732	0.194153	0.0872047	0.0273786
a10	0.405536	0.202708	0.149604	0.166189	0.0632684	0.0126944
a87	0.47156	0.323357	0.13614	0.0447702	0.0137402	0.0104327
a23	0.516938	0.323496	0.121413	0.0267361	0.00666098	0.00475542
a24	0.504104	0.347852	0.112073	0.025022	0.00583932	0.00511049
a61	0.445186	0.287178	0.18899	0.0556296	0.014203	0.00881263
a21	0.359642	0.341817	0.223882	0.0565835	0.0113076	0.00676688
a5	0.293693	0.354344	0.266408	0.0610335	0.0143079	0.0102128
a21	0.247589	0.335875	0.293841	0.080707	0.0237643	0.018224
a12	0.229331	0.324771	0.307942	0.0987631	0.0221678	0.0170247
a56	0.216327	0.301992	0.300819	0.129858	0.03051	0.0204947
a37	0.1829	0.261873	0.316436	0.174015	0.040422	0.0243532
a61	0.123118	0.227677	0.309112	0.245122	0.0574899	0.0374813
a21	0.100945	0.199902	0.28642	0.291029	0.0791949	0.0425095
a47	0.0879464	0.129312	0.186303	0.283603	0.168686	0.144148
a31	0.0862067	0.105669	0.138528	0.29838	0.177107	0.19411
a61	0.074791	0.0822447	0.0887328	0.21332	0.251399	0.289512
a98	0.050703	0.051703	0.0539388	0.15635	0.268605	0.4187
a85	0.00660252	0.0056187	0.00867205	0.0494622	0.244432	0.685213
a6	0.00315369	0.00259515	0.00349337	0.0200185	0.164567	0.806172
a37	0.00187625	0.00173367	0.00254389	0.0144865	0.135877	0.843482
a54	0.00322347	0.00203124	0.00195502	0.00937634	0.109632	0.873782
a36	0.00160258	0.000953511	0.00136999	0.0102087	0.145236	0.840629
a2	0.0201072	0.0150208	0.0130751	0.0466601	0.248173	0.656963
a57	0.229851	0.177951	0.133488	0.118356	0.115363	0.224992
a10	0.327058	0.281543	0.138551	0.0924782	0.0744528	0.0859171
a87	0.270342	0.219525	0.116548	0.13119	0.145919	0.116476
a23	0.208079	0.170558	0.109081	0.135866	0.213383	0.163033
a10	0.0810841	0.0693788	0.0633509	0.107279	0.308785	0.370122
a87	0.0341168	0.0391547	0.0441122	0.07531	0.332385	0.474922
a23	0.0337041	0.0380343	0.0431933	0.0741374	0.33064	0.480291
a87	0.0310146	0.0419105	0.06286	0.116848	0.349695	0.397673
</S>	0.0185429	0.0271038	0.0392324	0.089335	0.36199	0.463796
