 	la	lampe	s'	est	éteinte	d'	elle-même	</S>
a15	0.280886	0.204722	0.174251	0.158647	0.0979452	0.0421599	0.0288503	0.0125393
a66	0.172258	0.142928	0.173972	0.190223	0.182547	0.0901145	0.0336973	0.014259
a87	0.273801	0.220238	0.216497	0.188091	0.0734666	0.0121924	0.00766633	0.00804836
a23	0.24977	0.223576	0.207531	0.188116	0.104239	0.0176818	0.00535712	0.00372968
a99	0.263942	0.243603	0.209045	0.169155	0.0708402	0.0165281	0.00890598	0.017981
a83	0.245812	0.229993	0.169993	0.144984	0.0726622	0.0448036	0.0371665	0.0545869
a94	0.225436	0.214627	0.162039	0.182172	0.12576	0.0527212	0.0259732	0.0112724
a35	0.173714	0.209623	0.173488	0.186605	0.133955	0.0684864	0.0344165	0.0197111
a93	0.19394	0.198061	0.162424	0.176267	0.121929	0.0710541	0.0484391	0.0278859
a56	0.19364	0.187642	0.178586	0.185222	0.130283	0.063326	0.0386589	0.0226423
a96	0.148877	0.160531	0.178251	0.180479	0.157827	0.0881303	0.0538101	0.0320945
a11	0.106907	0.140854	0.166998	0.172083	0.169766	0.109321	0.0765082	0.057562
a24	0.10722	0.130692	0.146599	0.13978	0.145338	0.111526	0.0991302	0.119715
a61	0.113273	0.123596	0.130672	0.113172	0.1203	0.13085	0.116047	0.15209
a35	0.0661014	0.075425	0.0924519	0.0912229	0.0993207	0.139544	0.241297	0.194637
a98	0.0436679	0.0480941	0.0507479	0.0437316	0.0435059	0.0747944	0.232423	0.463035
a47	0.0148606	0.0141113	0.0116525	0.00866737	0.010869	0.0376115	0.229008	0.67322
a92	0.00975202	0.00808732	0.00590023	0.00408379	0.00464508	0.0229208	0.210371	0.734239
a5	0.00563681	0.00527391	0.00407864	0.00303483	0.00444218	0.0323031	0.224665	0.720565
a18	0.0125592	0.0104755	0.00848879	0.00565573	0.00733577	0.0298553	0.139427	0.786203
a25	0.0208312	0.0203292	0.0142056	0.0103638	0.0194905	0.0487549	0.172038	0.693987
a10	0.0923504	0.0856095	0.0722078	0.0679136	0.0765823	0.066405	0.143136	0.395796
a87	0.167609	0.191277	0.181187	0.186595	0.145842	0.0447104	0.0362835	0.0464962
a23	0.181848	0.175313	0.167647	0.176181	0.179987	0.0641967	0.0340534	0.0207734
a97	0.125262	0.127692	0.141027	0.135604	0.151639	0.0756581	0.0745479	0.16857
a87	0.0526295	0.0536694	0.0579159	0.0541305	0.0698862	0.0826897	0.164264	0.464815
a23	0.112504	0.10972	0.115929	0.115348	0.131944	0.0929701	0.128136	0.193449
a87	0.0802886	0.0838473	0.0981546	0.0902209	0.102827	0.0734121	0.120539	0.350711
</S>	0.0629479	0.0588571	0.0692931	0.0645184	0.068034	0.0560406	0.142039	0.47827
