 	la	pluie	a	fait	couler	beaucoup	d'	eau	dans	les	ruisseaux	</S>
a85	0.147934	0.122574	0.109153	0.10387	0.102586	0.124664	0.122285	0.0942035	0.040394	0.0135026	0.0086916	0.0101422
a66	0.249352	0.145247	0.117788	0.0935458	0.0768468	0.0710043	0.0649797	0.0663599	0.0458501	0.0268111	0.0202217	0.0219932
a87	0.151756	0.10372	0.0881543	0.0684431	0.0626875	0.0551198	0.0523916	0.0440189	0.0417301	0.0526103	0.126828	0.15254
a23	0.194323	0.159593	0.134532	0.117855	0.100216	0.067791	0.0490264	0.0482773	0.043551	0.0302366	0.0268735	0.0277263
a99	0.236828	0.160206	0.134795	0.0928308	0.0763859	0.0432365	0.0271313	0.0323294	0.0397486	0.0466774	0.0656186	0.044213
a53	0.126401	0.101061	0.091962	0.0717756	0.0614451	0.0573791	0.058713	0.0721334	0.083364	0.113708	0.0978571	0.0642
a15	0.0938073	0.0800635	0.0739788	0.0677841	0.0708724	0.0854836	0.0921913	0.0792697	0.102554	0.119743	0.0974581	0.036794
a79	0.0418296	0.0354528	0.03945	0.0422352	0.0503275	0.0632647	0.0679271	0.066187	0.122898	0.172026	0.214013	0.0843898
a7	0.0465695	0.0458949	0.0636796	0.0758104	0.0889738	0.105118	0.121762	0.0998018	0.0934337	0.0800258	0.122274	0.056656
a62	0.0561799	0.0600559	0.0712091	0.0784327	0.0759387	0.0708329	0.0635366	0.061297	0.0698151	0.0774763	0.203386	0.11184
a0	0.0597603	0.0607179	0.0807179	0.0991801	0.105566	0.116646	0.111287	0.0641321	0.0414161	0.0435845	0.128065	0.0889265
a24	0.0636805	0.062565	0.0700506	0.0810587	0.077827	0.0720041	0.0698674	0.0577184	0.0524719	0.051729	0.170853	0.170175
a88	0.0378914	0.0345017	0.0328875	0.0342109	0.0347107	0.0292534	0.030318	0.0289524	0.0349171	0.0555057	0.347794	0.299057
a9	0.0172606	0.0151384	0.0151252	0.0161016	0.01712	0.0165021	0.0207607	0.0225995	0.0348564	0.0780109	0.394778	0.351746
a0	0.0120205	0.0103609	0.00993626	0.00899262	0.00840433	0.00860911	0.00934995	0.0123049	0.0234599	0.0794879	0.376811	0.440262
a62	0.00866328	0.00690569	0.00678418	0.00608281	0.00547585	0.00591736	0.00613166	0.00744081	0.0169273	0.0741229	0.306381	0.549167
a31	0.00255847	0.00228459	0.00266144	0.00268171	0.00224649	0.00201184	0.00241557	0.00391135	0.0122167	0.0516857	0.262537	0.652789
a0	0.0017505	0.00167749	0.001879	0.00189288	0.00145082	0.00112632	0.00133601	0.00254365	0.00985521	0.0456867	0.23453	0.696272
a24	0.00130657	0.00120732	0.00133699	0.00129942	0.000962567	0.000717273	0.00101042	0.00221643	0.00736768	0.0318167	0.178855	0.771903
a9	0.00190538	0.00176859	0.00193017	0.00190087	0.00138189	0.00104028	0.00157891	0.00379202	0.0114737	0.0368179	0.158236	0.778174
a87	0.0808255	0.0647674	0.0509743	0.0404947	0.0275035	0.0300425	0.0538088	0.0463032	0.0425807	0.0591805	0.0947663	0.408753
a23	0.158588	0.109785	0.0784396	0.0635683	0.0604072	0.0808851	0.101725	0.0681117	0.0437209	0.0422764	0.061532	0.130961
a87	0.0681814	0.0410184	0.0318885	0.0257474	0.02361	0.0197105	0.023046	0.0207954	0.030658	0.0724179	0.240914	0.402012
</S>	0.00239581	0.00170383	0.00137031	0.0011668	0.00108501	0.00115007	0.00168344	0.00235281	0.00760694	0.0481439	0.379249	0.552092
