 	mon	épouse	m'	a	emballé	du	poisson	dans	la	grosse	feuille	sauvage	lendubhu	</S>
a66	0.240683	0.135024	0.091711	0.0741282	0.073042	0.0778273	0.0718114	0.0671673	0.0498466	0.0485015	0.0298058	0.0183435	0.0119633	0.0101455
a87	0.144126	0.0964585	0.0631585	0.0556461	0.0597482	0.0931459	0.0869485	0.0714598	0.0736861	0.0816931	0.0423699	0.0411168	0.0498822	0.0405604
a97	0.165946	0.0848615	0.0398624	0.0381113	0.0395278	0.0316917	0.02998	0.0285956	0.0308549	0.036895	0.0336675	0.0478753	0.177726	0.214405
a83	0.197371	0.0986305	0.0476552	0.0475187	0.0464022	0.0353514	0.0295334	0.0303834	0.0383942	0.0539228	0.0468531	0.056508	0.138755	0.132721
a98	0.224009	0.100133	0.0496041	0.0416597	0.0305111	0.0304484	0.0219654	0.0183812	0.0202055	0.0250502	0.0231723	0.0573323	0.19362	0.163908
a85	0.251564	0.167078	0.095823	0.0622165	0.0384283	0.037224	0.0321316	0.0279629	0.0252748	0.0252752	0.018482	0.0416431	0.103687	0.0732104
a6	0.145298	0.15289	0.158545	0.0922004	0.0505771	0.0665888	0.0662391	0.0576397	0.0425668	0.0362862	0.024901	0.0424499	0.0305114	0.0333071
a75	0.11435	0.133162	0.161535	0.116267	0.0637311	0.0800697	0.0722615	0.0589431	0.0428492	0.0286694	0.02137	0.0318781	0.0286669	0.0462475
a92	0.106519	0.131441	0.152792	0.116371	0.0851556	0.0914864	0.0819267	0.0711485	0.047574	0.0321766	0.0200572	0.0197892	0.0185966	0.0249671
a85	0.0557378	0.0816819	0.133008	0.123226	0.112288	0.110543	0.103995	0.0948355	0.061183	0.0452606	0.0258342	0.0170081	0.0149387	0.0204599
a6	0.0249683	0.0390072	0.0985304	0.117596	0.136855	0.132454	0.127424	0.114946	0.0745009	0.0592273	0.0321959	0.0163231	0.0110003	0.0149717
a36	0.0344144	0.0448024	0.0967541	0.122801	0.13826	0.133407	0.12725	0.1086	0.0669431	0.0467737	0.0244156	0.0146394	0.0142699	0.0266696
a85	0.0215891	0.0239804	0.0691839	0.120089	0.152716	0.148374	0.137044	0.105823	0.0647117	0.0442026	0.0243636	0.0151627	0.0166036	0.0561562
a37	0.00899599	0.012039	0.0449815	0.0730218	0.114748	0.137848	0.174872	0.144722	0.0991839	0.0690896	0.0414898	0.0220861	0.0170795	0.0398437
a47	0.0111452	0.01152	0.0359888	0.0782722	0.122807	0.148047	0.170203	0.131843	0.0921509	0.0552386	0.0314717	0.0174958	0.0174554	0.0763619
a34	0.00901892	0.00938172	0.0259752	0.0528133	0.0920309	0.134083	0.184041	0.133801	0.103211	0.0571908	0.0397487	0.0232684	0.0245911	0.110845
a75	0.00846013	0.00776786	0.0189027	0.0380641	0.0723188	0.107421	0.169766	0.131215	0.109026	0.0618788	0.0507893	0.0315431	0.0376335	0.155215
