 	demain	nous	aurons	d'	autres	animaux	</S>
a66	0.277077	0.181577	0.155501	0.201211	0.129484	0.034836	0.0203141
a87	0.214577	0.279664	0.267009	0.14574	0.0615036	0.0170011	0.014506
a23	0.522455	0.274019	0.12119	0.0308529	0.0201167	0.0135533	0.0178123
a99	0.394547	0.327236	0.214361	0.0238173	0.0135669	0.0111261	0.0153462
a83	0.37712	0.208265	0.190816	0.0516685	0.0425594	0.0520455	0.0775258
a71	0.458261	0.17362	0.151168	0.059759	0.0509981	0.0517442	0.0544502
a24	0.377948	0.245385	0.181984	0.0753327	0.0461328	0.0358906	0.0373278
a47	0.267118	0.286877	0.266818	0.0821396	0.039671	0.0282879	0.0290875
a18	0.349205	0.289129	0.249254	0.0463838	0.023356	0.0208855	0.0217869
a31	0.204421	0.300747	0.309042	0.0905454	0.0401673	0.0266394	0.0284387
a24	0.197897	0.331393	0.287017	0.0866499	0.0387976	0.0270975	0.0311482
a21	0.149048	0.30561	0.260651	0.105267	0.0652638	0.0484181	0.0657423
a47	0.219061	0.319107	0.204971	0.111962	0.0644997	0.0389641	0.0414343
a61	0.153248	0.308601	0.240072	0.153446	0.0776392	0.034012	0.0329816
a56	0.117692	0.235247	0.177824	0.188743	0.146903	0.0730482	0.0605429
a75	0.0824814	0.167016	0.137625	0.206573	0.202891	0.113011	0.0904033
a92	0.0268253	0.0549615	0.0510554	0.158282	0.261371	0.221998	0.225508
a61	0.0164805	0.0340238	0.0337111	0.125512	0.260906	0.261017	0.26835
a21	0.0204231	0.0354064	0.0276603	0.0881861	0.200797	0.279615	0.347912
a85	0.00758578	0.0170264	0.0162323	0.0548625	0.159529	0.315881	0.428884
a5	0.00356421	0.00550681	0.00468534	0.0256728	0.111495	0.297877	0.551199
a85	0.00403719	0.0077281	0.00543117	0.0221655	0.100188	0.309975	0.550475
a6	0.00358546	0.00449502	0.00275204	0.0108542	0.0703912	0.338158	0.569764
a36	0.00202246	0.00346974	0.00249176	0.011951	0.0694768	0.307889	0.6027
a54	0.00724098	0.00579267	0.00455728	0.0113138	0.0419939	0.194402	0.734699
a6	0.00790015	0.00857232	0.00897482	0.032031	0.0996013	0.262597	0.580323
a0	0.0033247	0.00421908	0.00370343	0.0129938	0.0532917	0.242121	0.680347
a11	0.00158009	0.00249804	0.00326346	0.0155412	0.0610354	0.238578	0.677504
a0	0.0267447	0.0230717	0.0197975	0.0486447	0.110672	0.261448	0.509622
a11	0.0628528	0.0400697	0.0317237	0.0561476	0.10437	0.243943	0.460894
a10	0.0382877	0.0316516	0.0293872	0.0553853	0.103974	0.242035	0.499279
a87	0.0556508	0.0365352	0.0274789	0.047469	0.08759	0.233421	0.511855
a23	0.344528	0.155456	0.0661343	0.0636947	0.0882554	0.127177	0.154755
a87	0.18036	0.0800919	0.0361156	0.0527584	0.10211	0.19298	0.355585
</S>	0.0294109	0.0220453	0.013605	0.0232258	0.0736722	0.233375	0.604666
