 	les	pattes	de	la	perdrix	sont	rouges	</S>
a85	0.320989	0.172415	0.0991676	0.0993112	0.120964	0.0877385	0.0535979	0.0458169
a87	0.279665	0.120435	0.125673	0.168459	0.146627	0.0649644	0.0468334	0.0473431
a23	0.28673	0.0979941	0.0774548	0.0878277	0.116751	0.116334	0.10795	0.108958
a40	0.274506	0.131166	0.101324	0.0908053	0.0941213	0.089844	0.102565	0.11567
a7	0.399382	0.204597	0.115406	0.0787718	0.0542184	0.0454775	0.0536293	0.0485177
a84	0.37776	0.347207	0.158403	0.0552237	0.0241026	0.0132389	0.0123641	0.0117001
a53	0.214979	0.21507	0.163327	0.110408	0.085603	0.0655916	0.0655735	0.0794481
a90	0.207477	0.216992	0.192004	0.127951	0.0801931	0.0528245	0.0563713	0.0661865
a44	0.232341	0.263133	0.221994	0.119181	0.0644592	0.0336209	0.0316864	0.0335843
a75	0.261129	0.259433	0.198803	0.113916	0.0713863	0.0352766	0.0295785	0.030478
a41	0.224861	0.224032	0.195963	0.125029	0.0896288	0.052893	0.0438047	0.0437878
a94	0.208022	0.187096	0.183825	0.137962	0.11416	0.0689561	0.0514052	0.0485734
a98	0.162423	0.134537	0.146571	0.143974	0.147978	0.107604	0.0804286	0.0764843
a14	0.168282	0.135295	0.138503	0.132916	0.138745	0.113231	0.0890339	0.0839931
a85	0.120878	0.096052	0.111906	0.112382	0.132501	0.150428	0.14192	0.133933
a41	0.0508889	0.0349717	0.0424704	0.0592765	0.106197	0.211796	0.256424	0.237975
a61	0.0461122	0.0328739	0.0378689	0.0549564	0.110991	0.212059	0.265227	0.239912
a18	0.0187265	0.0142516	0.0183998	0.0246111	0.0535374	0.179943	0.326703	0.363827
a25	0.0112013	0.00861982	0.0117649	0.0191251	0.0462149	0.156355	0.335789	0.41093
a38	0.0104484	0.00682473	0.00815677	0.0155335	0.0424388	0.152886	0.339049	0.424662
a25	0.00696828	0.00335545	0.00455489	0.00832448	0.0251131	0.125981	0.352368	0.473334
a44	0.00342453	0.0014662	0.00233102	0.00523464	0.0196167	0.126886	0.362397	0.478644
a38	0.00482468	0.00184837	0.00263124	0.00487776	0.0153552	0.100318	0.359024	0.511121
a57	0.00395915	0.00163585	0.00244436	0.00495562	0.0168732	0.108447	0.354623	0.507062
a9	0.00377578	0.00188032	0.00348827	0.00759334	0.0207822	0.100038	0.321373	0.541069
a87	0.00736089	0.00328393	0.00498435	0.00948332	0.0217192	0.0985023	0.315406	0.53926
a23	0.018954	0.010063	0.0132629	0.0203083	0.0437625	0.159174	0.31082	0.423656
a87	0.0243769	0.0191676	0.0253572	0.0317531	0.0522119	0.159455	0.301883	0.385796
a23	0.0176076	0.0103456	0.0136255	0.0196359	0.0433236	0.166169	0.325701	0.403593
a87	0.0186319	0.0136437	0.0193362	0.0247147	0.0447831	0.16198	0.321941	0.394969
</S>	0.014347	0.0066243	0.0112931	0.0185548	0.0408681	0.149519	0.331712	0.427081
