 	c'	est	un	homme	âgé	</S>
a79	0.41545	0.151357	0.103365	0.101341	0.12566	0.102827
a41	0.293959	0.199355	0.157712	0.124572	0.102905	0.121497
a32	0.625173	0.195446	0.0933664	0.0438714	0.0251096	0.017033
a71	0.636898	0.2013	0.0826005	0.0346746	0.0247147	0.0198127
a26	0.40323	0.230453	0.147418	0.0858856	0.0725547	0.0604582
a35	0.312084	0.202106	0.157228	0.114276	0.115727	0.0985792
a76	0.331144	0.209141	0.160125	0.10872	0.10797	0.0829
a98	0.280341	0.190071	0.161442	0.130424	0.129894	0.107829
a14	0.197723	0.162256	0.165938	0.151535	0.180794	0.141754
a94	0.134729	0.132346	0.149821	0.153088	0.233146	0.19687
a76	0.0628884	0.0736601	0.116351	0.168219	0.294928	0.283953
a30	0.0592682	0.0703356	0.108247	0.165021	0.294874	0.302254
a57	0.0488829	0.0646573	0.110853	0.17202	0.289183	0.314404
a87	0.0135313	0.0158122	0.0309758	0.0830124	0.306155	0.550514
</S>	0.0155188	0.0207037	0.0426748	0.108599	0.295295	0.517209
