 	dieu	a	créé	ce	monde	</S>
a66	0.463285	0.208706	0.160638	0.0832081	0.0488811	0.0352817
a87	0.451039	0.249879	0.151599	0.0759404	0.0393804	0.0321631
a97	0.426689	0.325209	0.145396	0.0502704	0.0286674	0.0237678
a87	0.49056	0.32917	0.111199	0.033122	0.019343	0.0166062
a23	0.490662	0.310037	0.117867	0.0394542	0.0225141	0.0194657
a18	0.480322	0.219003	0.153184	0.0758723	0.0398948	0.0317237
a38	0.257808	0.204389	0.277451	0.134709	0.0708357	0.0548074
a53	0.227115	0.220139	0.284706	0.121004	0.0770489	0.0699872
a4	0.306567	0.293283	0.181924	0.0897817	0.0674604	0.060984
a13	0.175481	0.231689	0.168888	0.159588	0.137366	0.126989
a54	0.129596	0.181437	0.133403	0.166379	0.187213	0.201972
a94	0.252797	0.224555	0.13752	0.111103	0.126837	0.147187
a62	0.0936064	0.0919027	0.101571	0.137382	0.2346	0.340937
a12	0.0323919	0.0393789	0.0642819	0.111543	0.254908	0.497497
a43	0.0179323	0.0194057	0.0571545	0.120448	0.265398	0.519662
a90	0.00864706	0.00925565	0.0427285	0.137043	0.291614	0.510711
a93	0.0179861	0.0183198	0.0628188	0.16768	0.287913	0.445282
a13	0.0031606	0.00328379	0.0199563	0.108825	0.299273	0.565501
a24	0.000609215	0.000618303	0.00630899	0.0751723	0.294444	0.622848
a50	0.0011114	0.000968258	0.00712269	0.0673375	0.260282	0.663178
a83	0.00152114	0.00142328	0.00900664	0.0684771	0.274155	0.645416
a9	0.000947901	0.00108184	0.00952732	0.0692982	0.270846	0.648299
a10	0.0141049	0.00738763	0.0133781	0.0645007	0.235729	0.6649
a87	0.131084	0.0620987	0.0451189	0.0874313	0.192044	0.482223
a97	0.224625	0.136679	0.0769257	0.0856058	0.164627	0.311537
a87	0.193386	0.15103	0.1107	0.118065	0.180103	0.246716
a23	0.197197	0.142598	0.108263	0.123085	0.18456	0.244297
a87	0.134688	0.0919956	0.0799451	0.136904	0.231013	0.325454
a97	0.10031	0.05656	0.0668789	0.164811	0.267904	0.343536
a99	0.129301	0.068629	0.075544	0.169606	0.24453	0.31239
a87	0.117466	0.0826101	0.088997	0.183726	0.245174	0.282027
a99	0.0954664	0.0665837	0.101545	0.200658	0.252816	0.282931
a87	0.129385	0.0899504	0.102711	0.191022	0.231906	0.255026
</S>	0.11248	0.0719436	0.0990137	0.195483	0.248868	0.272213
