 	la	chefferie	est	héréditaire	chez	les	mbochis	</S>
a66	0.49443	0.199308	0.115253	0.0763419	0.053415	0.0349819	0.015793	0.0104762
a87	0.353626	0.154463	0.1435	0.132733	0.095873	0.0495663	0.0320267	0.0382123
a79	0.242876	0.268848	0.274544	0.119139	0.038194	0.0197739	0.016011	0.0206145
a69	0.170597	0.257191	0.309157	0.182068	0.0400544	0.0155015	0.0118865	0.0135437
a94	0.233468	0.272901	0.254458	0.131092	0.0448379	0.0234361	0.0196425	0.0201645
a90	0.324279	0.323665	0.214943	0.090719	0.0233047	0.00978552	0.00672824	0.00657497
a92	0.205947	0.317664	0.254031	0.15362	0.0381631	0.0147929	0.00833383	0.00744802
a21	0.101481	0.201041	0.284242	0.232574	0.0906498	0.0449908	0.0249626	0.0200581
a5	0.110332	0.18647	0.264514	0.225945	0.114031	0.0521999	0.0272271	0.0192802
a23	0.104386	0.179402	0.260434	0.223124	0.118641	0.0589018	0.0317786	0.0233326
a90	0.104034	0.159973	0.224369	0.202208	0.150786	0.0844747	0.0421799	0.0319769
a56	0.0692131	0.118306	0.181405	0.206159	0.190623	0.11359	0.0648214	0.0558835
a44	0.0575378	0.0865176	0.128246	0.194653	0.233833	0.150496	0.0845449	0.0641723
a75	0.0356405	0.0559657	0.0814378	0.149158	0.251296	0.204599	0.123072	0.0988314
a47	0.0192841	0.0303456	0.045106	0.0946442	0.211897	0.260494	0.193161	0.145068
a96	0.00965741	0.0124866	0.0157228	0.0403948	0.137782	0.252094	0.270433	0.261429
a88	0.00596101	0.00753624	0.010228	0.0281989	0.0940799	0.194846	0.311784	0.347366
a31	0.0067032	0.00794003	0.0102633	0.0269523	0.0690501	0.132661	0.264001	0.482429
a47	0.00589763	0.00724205	0.00986243	0.0256375	0.0688452	0.129345	0.264766	0.488404
a62	0.00672919	0.00893737	0.0120417	0.0274798	0.0614686	0.120595	0.263193	0.499555
a34	0.00312611	0.00458988	0.00629105	0.0147412	0.0394808	0.092701	0.238622	0.600448
a98	0.00197679	0.003233	0.00460213	0.0131681	0.0314029	0.0726783	0.22639	0.646549
a47	0.000481895	0.00106265	0.00208332	0.00979739	0.0395347	0.0928802	0.258647	0.595513
a7	0.000638683	0.000997084	0.00168499	0.00626837	0.027369	0.0843351	0.27129	0.607417
a90	0.00244312	0.00252774	0.00359833	0.00799728	0.0310822	0.094278	0.267408	0.590666
a92	0.00159247	0.00242925	0.00412841	0.0109006	0.0360222	0.0843511	0.255376	0.6052
a56	0.000743561	0.00139247	0.00234242	0.00603619	0.0291147	0.0826606	0.271102	0.606608
a32	0.00184344	0.00276242	0.00411023	0.00982885	0.0380987	0.103713	0.282229	0.557414
a38	0.00195494	0.00241305	0.00347176	0.00994107	0.0368182	0.111647	0.321111	0.512642
a10	0.00602624	0.00531729	0.0059942	0.0127514	0.0413234	0.134416	0.342245	0.451927
a87	0.0594002	0.0491459	0.0477058	0.055574	0.10882	0.1958	0.253019	0.230536
a23	0.28902	0.204951	0.175188	0.115542	0.07769	0.0591137	0.0453521	0.0331431
a99	0.059832	0.051631	0.0757491	0.0849072	0.133702	0.152096	0.217947	0.224136
a97	0.0170429	0.0182118	0.0335926	0.0395387	0.0904836	0.135949	0.26967	0.395512
</S>	0.00817651	0.00825998	0.0159919	0.0268237	0.074309	0.149299	0.296328	0.420812
