 	vous	montrez	de	la	gloutonnerie	en	mangeant	de	man	gues	vertes	</S>
a66	0.138018	0.190071	0.184378	0.164948	0.123418	0.0596595	0.0364749	0.0302598	0.0280191	0.0197402	0.0160927	0.00892141
a87	0.612248	0.265303	0.0523634	0.013834	0.00774515	0.00420563	0.00386962	0.00568434	0.00622046	0.00945169	0.0116077	0.00746748
a23	0.461899	0.225934	0.0637952	0.0364911	0.0345085	0.0322118	0.0263507	0.0202606	0.023683	0.0227805	0.0246316	0.027454
a83	0.27337	0.134802	0.0419895	0.0429984	0.0539525	0.0785721	0.0686767	0.0739972	0.0809217	0.0431777	0.0394999	0.0680428
a96	0.230046	0.138399	0.0651521	0.0669282	0.0746491	0.063023	0.0518436	0.0623738	0.0621243	0.0541214	0.0563798	0.0749594
a12	0.317216	0.303065	0.136866	0.0833637	0.0520891	0.0276813	0.0203116	0.0158744	0.0138188	0.00922378	0.0084861	0.0120037
a5	0.154958	0.244245	0.212294	0.140797	0.0914847	0.0567435	0.0354026	0.0219509	0.0159485	0.0106135	0.00734265	0.0082195
a23	0.118445	0.164223	0.165673	0.140285	0.11945	0.104409	0.0735532	0.0447509	0.0315238	0.0187585	0.0101731	0.00875527
a54	0.0568506	0.0864774	0.133572	0.142526	0.136912	0.144015	0.121183	0.0742965	0.0564996	0.0251708	0.0124389	0.0100576
a47	0.0329525	0.0595672	0.118799	0.160387	0.168127	0.126315	0.124528	0.0863132	0.0626946	0.0320606	0.0160835	0.0121713
a15	0.0340725	0.0578892	0.139165	0.186572	0.17368	0.111314	0.111645	0.0707065	0.0560846	0.0242053	0.0157332	0.018933
a7	0.0277817	0.0446227	0.116454	0.179268	0.164151	0.128149	0.136621	0.0858885	0.0624262	0.025865	0.0148904	0.0138829
a47	0.0199985	0.0291282	0.0761838	0.134708	0.155649	0.156953	0.170036	0.0980285	0.0778145	0.036999	0.0233678	0.0211328
a37	0.00909062	0.0142175	0.0582599	0.116382	0.146356	0.161643	0.156783	0.117398	0.101698	0.0556718	0.0330263	0.0294737
a54	0.00818019	0.0120701	0.0490808	0.109589	0.13415	0.154714	0.147032	0.118904	0.109263	0.0696935	0.0473091	0.0400144
a15	0.00339639	0.00606979	0.0355446	0.089181	0.122074	0.142953	0.17192	0.129221	0.103842	0.0759828	0.0578484	0.0619671
a7	0.00244374	0.00394717	0.022612	0.0621549	0.112624	0.160148	0.177116	0.13583	0.123519	0.0799946	0.05985	0.0597609
a44	0.0044859	0.00498621	0.011969	0.0316559	0.0706958	0.165389	0.154334	0.161973	0.160553	0.105824	0.0695426	0.0585912
a38	0.0028841	0.00246736	0.00517964	0.0154277	0.041836	0.0992487	0.108492	0.131016	0.148284	0.125019	0.136586	0.18356
a9	0.0028484	0.00227423	0.0040993	0.0102758	0.0300893	0.102892	0.113041	0.146295	0.161732	0.122486	0.135204	0.168763
a38	0.00395501	0.0032957	0.00473997	0.00811726	0.0211622	0.102536	0.118268	0.148509	0.169947	0.127801	0.137313	0.154356
a4	0.00222661	0.00171833	0.00248788	0.00422293	0.0120463	0.0622692	0.0822072	0.121287	0.139294	0.120765	0.17292	0.278555
a57	0.000975643	0.000785513	0.00132799	0.00297829	0.0102083	0.058339	0.0714412	0.124561	0.137192	0.125585	0.189019	0.277587
a4	0.00193082	0.00142068	0.00206978	0.00335829	0.00958885	0.0584522	0.0691807	0.102504	0.117191	0.130473	0.223933	0.279899
a44	0.000865464	0.000704332	0.00107666	0.0020008	0.00603497	0.0335579	0.0449748	0.0858207	0.089681	0.118309	0.249738	0.367236
a57	0.000276114	0.000211824	0.000412938	0.000910255	0.00354363	0.023206	0.0348711	0.0690227	0.0736151	0.107512	0.257884	0.428535
a13	0.00095734	0.000795151	0.00123135	0.00179998	0.00498207	0.0258398	0.0344072	0.0704662	0.0831136	0.135725	0.243111	0.397571
a4	0.000888449	0.000793507	0.00128635	0.00192162	0.00511728	0.018725	0.025797	0.0585776	0.072528	0.124545	0.247719	0.4421
a13	0.000531017	0.000433572	0.000837556	0.00143219	0.00443342	0.0163766	0.0223801	0.052934	0.0658054	0.112571	0.239382	0.482883
a71	0.000403203	0.000339778	0.000655991	0.00125086	0.00373983	0.014026	0.0213794	0.0526197	0.0647101	0.105743	0.239474	0.495659
a9	0.000581236	0.000413446	0.000762453	0.00156507	0.0043991	0.0157065	0.0250457	0.0597921	0.0763255	0.117348	0.263991	0.43407
a99	0.00416931	0.00256604	0.00268251	0.0049792	0.0100383	0.0344599	0.0464705	0.0706088	0.0955078	0.169407	0.246602	0.312509
a87	0.00559308	0.00278937	0.00289028	0.00475345	0.00873588	0.0268585	0.041216	0.0701665	0.089659	0.164729	0.248828	0.333781
a23	0.0869996	0.0361895	0.0212867	0.024027	0.0328459	0.067907	0.0757827	0.0946023	0.100387	0.153921	0.151992	0.15406
a87	0.0321732	0.00939915	0.00923686	0.0114361	0.0236242	0.0812824	0.106907	0.13863	0.136476	0.141978	0.157897	0.150959
a23	0.020853	0.00898467	0.0103807	0.0151436	0.0307827	0.0929121	0.124889	0.162488	0.153395	0.118518	0.125662	0.135991
a97	0.0275518	0.0117478	0.0186826	0.0250076	0.0462521	0.109237	0.110297	0.145309	0.145659	0.117903	0.124531	0.117823
a87	0.0144226	0.00654622	0.0152882	0.0256176	0.0450885	0.090121	0.0930624	0.133358	0.147374	0.11098	0.13893	0.179211
a97	0.0288444	0.0162073	0.0327367	0.0417994	0.0576618	0.0886677	0.0951038	0.13506	0.141798	0.105798	0.119215	0.137109
