 	je	recherche	la	vase	du	protoptère	avec	le	harpon	</S>
a82	0.288916	0.164562	0.077467	0.0445456	0.0663683	0.125893	0.0881861	0.0592033	0.0505076	0.0343506
a87	0.211252	0.148474	0.129437	0.118032	0.115284	0.0884365	0.0544591	0.0460985	0.0480277	0.0404993
a23	0.417825	0.237055	0.109051	0.100108	0.0383601	0.0309075	0.0153081	0.0173536	0.0171878	0.0168434
a99	0.359631	0.215292	0.137756	0.167367	0.0392963	0.0251181	0.015147	0.0149477	0.0127884	0.0126567
a62	0.256241	0.171117	0.147938	0.208302	0.0630517	0.0495633	0.0318674	0.0288738	0.0237599	0.0192851
a47	0.229829	0.184934	0.178878	0.17421	0.0688528	0.0512105	0.0328114	0.0310623	0.0292434	0.0189691
a62	0.0910299	0.131437	0.181879	0.211527	0.107521	0.0669351	0.0454847	0.0502785	0.0557322	0.0581763
a88	0.110978	0.141966	0.199066	0.218839	0.0974931	0.054104	0.0382658	0.0391341	0.0430587	0.0570944
a62	0.0656506	0.0494742	0.105801	0.194149	0.132434	0.0988937	0.0788048	0.080253	0.0867575	0.107782
a34	0.0739445	0.0465865	0.097229	0.183037	0.139088	0.0872872	0.074182	0.0779721	0.0909542	0.12972
a21	0.0604275	0.0431848	0.0785932	0.153909	0.153263	0.0978223	0.0803932	0.0848593	0.105596	0.141952
a75	0.104525	0.0735535	0.0795249	0.0930764	0.133255	0.125459	0.0921223	0.0797866	0.0973848	0.121312
a56	0.0391164	0.0225862	0.0296037	0.0382951	0.0942004	0.118985	0.127173	0.135218	0.169311	0.22551
a90	0.0171333	0.008264	0.0118552	0.0191075	0.0525719	0.0912176	0.13009	0.158746	0.217438	0.293577
a69	0.00829783	0.00360311	0.00522024	0.00745675	0.0298974	0.0724401	0.14135	0.186013	0.251368	0.294353
a58	0.00131423	0.000549483	0.000850581	0.00159164	0.0085524	0.0503479	0.122548	0.19351	0.272276	0.34846
a82	0.00224762	0.00114668	0.00108258	0.00155386	0.00565013	0.0229827	0.0763504	0.173926	0.279477	0.435582
a13	0.0427171	0.0215231	0.0144982	0.0145104	0.023985	0.0372772	0.0705318	0.151893	0.244532	0.378533
a9	0.0695206	0.0467038	0.0285946	0.0301599	0.0544465	0.069649	0.0900754	0.145043	0.197367	0.268441
a99	0.126919	0.132464	0.0768768	0.0628716	0.0624502	0.0774583	0.0870941	0.111983	0.127898	0.133985
a87	0.088858	0.0805039	0.0382801	0.0378602	0.0428671	0.0543329	0.0922501	0.150427	0.188299	0.226322
a23	0.10844	0.0980271	0.0470133	0.0377631	0.0336727	0.0604542	0.089445	0.125941	0.171522	0.227722
a99	0.0338113	0.0267535	0.0240155	0.0225805	0.0261333	0.0535319	0.108425	0.175479	0.229415	0.299854
a97	0.0246144	0.0173638	0.020976	0.0220034	0.0313629	0.0600282	0.107229	0.164559	0.225248	0.326615
a99	0.0395536	0.0272128	0.0217841	0.0287039	0.0420968	0.0552511	0.0799759	0.130795	0.196039	0.378587
a38	0.0324943	0.0258139	0.0307101	0.0330553	0.0415983	0.0680874	0.104578	0.158167	0.208578	0.296918
</S>	0.0113468	0.0104979	0.0141866	0.0160493	0.0320139	0.0531105	0.102372	0.163631	0.241019	0.355774
