 	l'	eau	que	j'	ai	mise	au	feu	commence	à	bouillir	</S>
a66	0.236454	0.173015	0.147655	0.143649	0.120249	0.0770183	0.0417722	0.0225053	0.0164948	0.00869966	0.00685816	0.00562922
a87	0.611994	0.217095	0.0718271	0.0303919	0.0155727	0.00720171	0.00751195	0.00531052	0.00457324	0.00420124	0.00771036	0.0166101
a23	0.379714	0.218787	0.123009	0.0755533	0.0514438	0.034659	0.0334253	0.0211961	0.0149319	0.0107548	0.0133194	0.023207
a87	0.344269	0.135268	0.0762388	0.0481873	0.0376975	0.0304991	0.0538308	0.0455639	0.0397356	0.0370667	0.0544981	0.0971451
a23	0.300235	0.133937	0.0935737	0.062048	0.0480628	0.0404804	0.0688565	0.0488555	0.0390648	0.0400176	0.0519918	0.072877
a54	0.242327	0.0896033	0.0508873	0.0352911	0.0336715	0.0376791	0.0638165	0.0542414	0.0502692	0.0574354	0.10857	0.176209
a15	0.197118	0.157171	0.0996693	0.0779599	0.0745541	0.0746336	0.111908	0.066347	0.0422589	0.0328494	0.0313529	0.0341779
a37	0.159235	0.134194	0.115234	0.113411	0.107008	0.0986582	0.129163	0.0630721	0.0354281	0.0171275	0.0119571	0.0155128
a47	0.112132	0.0997271	0.100164	0.115013	0.111078	0.107425	0.174494	0.0827909	0.0464205	0.0202981	0.0128985	0.0175587
a36	0.0856533	0.071576	0.0855195	0.10468	0.107783	0.107068	0.170346	0.103666	0.0772609	0.0361047	0.0219998	0.028343
a6	0.0682339	0.0707109	0.0931733	0.11471	0.115375	0.107954	0.150335	0.0951125	0.0778872	0.0410494	0.028621	0.0368372
a5	0.0760226	0.0773693	0.077688	0.0899851	0.0881654	0.08638	0.127555	0.106106	0.112287	0.0668077	0.0445028	0.0471311
a37	0.0517793	0.0580648	0.0706642	0.0846633	0.0946304	0.0873248	0.0957763	0.101688	0.141805	0.0971943	0.0618794	0.0545307
a90	0.0181783	0.021676	0.0330027	0.0467265	0.0673351	0.071366	0.0873918	0.119298	0.191965	0.149457	0.100854	0.0927487
a94	0.016435	0.0188774	0.0268127	0.0399635	0.0585367	0.0650337	0.0761516	0.134001	0.222898	0.1643	0.0996334	0.0773578
a12	0.0126831	0.015027	0.0182221	0.0214745	0.0314431	0.035466	0.0417167	0.0918764	0.210398	0.235956	0.162057	0.123679
a21	0.00620031	0.007185	0.00820176	0.00753913	0.0107708	0.0130711	0.0158883	0.0398749	0.140157	0.261763	0.25969	0.229658
a85	0.00349123	0.00410398	0.00475348	0.0041312	0.00577904	0.00697888	0.00961242	0.0274238	0.119145	0.270145	0.29081	0.253626
a37	0.000421572	0.000521628	0.000625177	0.000632839	0.000986171	0.00155439	0.00308453	0.0146785	0.0759666	0.228092	0.328078	0.345359
a92	0.000663366	0.000999416	0.00129637	0.00103892	0.00149526	0.00185488	0.00282942	0.0127685	0.0556398	0.174939	0.325999	0.420476
a47	0.000372001	0.000586926	0.000691877	0.000518788	0.000722318	0.00157015	0.00302049	0.014296	0.0542115	0.160122	0.306155	0.457733
a36	0.000153252	0.00026144	0.000319381	0.00024373	0.00041447	0.000974674	0.00242775	0.0117266	0.0478332	0.17691	0.307302	0.451434
a44	0.000618434	0.00110291	0.00147702	0.00116327	0.00175723	0.00260785	0.00431734	0.0150961	0.0470666	0.145281	0.310428	0.469084
a7	0.000996341	0.00176328	0.00246413	0.0019566	0.00280828	0.00387544	0.0067891	0.0271441	0.0677469	0.139375	0.289308	0.455773
a26	0.00187302	0.00207309	0.00308035	0.00277117	0.00425963	0.00492559	0.00902493	0.0297081	0.0658923	0.126019	0.293202	0.45717
a57	0.0246629	0.019364	0.019863	0.0127342	0.0140642	0.0143771	0.0146083	0.026759	0.0589973	0.141606	0.287611	0.365353
a87	0.210476	0.144776	0.107286	0.0549999	0.0401126	0.0288395	0.0228819	0.0283599	0.044571	0.0810653	0.113935	0.122696
a23	0.313125	0.242731	0.156878	0.0952417	0.0673951	0.0358862	0.0161582	0.0113296	0.0123782	0.0143935	0.0154439	0.0190393
a99	0.156972	0.133841	0.0615542	0.0277491	0.021175	0.00952722	0.0054119	0.00999344	0.0283282	0.0672574	0.148359	0.329832
a9	0.0638115	0.0441579	0.0218341	0.0125833	0.0108571	0.00765473	0.00639765	0.0167714	0.0539471	0.120842	0.224124	0.417019
</S>	0.00991454	0.00760845	0.00441891	0.00295594	0.0029486	0.00228243	0.00229991	0.0106623	0.0496384	0.134451	0.266548	0.506272
