 	il	bascula	en	arrière	</S>
a23	0.777807	0.128577	0.0213001	0.0278349	0.0444807
a85	0.65801	0.189952	0.0446312	0.0449768	0.0624298
a87	0.411329	0.175221	0.0944771	0.126646	0.192327
a23	0.457874	0.245748	0.0736969	0.0845601	0.138121
a20	0.29138	0.159762	0.100982	0.152227	0.295648
a7	0.213304	0.236026	0.233162	0.180379	0.137128
a84	0.227968	0.337888	0.215756	0.132906	0.0854835
a54	0.224798	0.297842	0.182254	0.165556	0.129551
a73	0.206903	0.242783	0.162668	0.181389	0.206257
a56	0.256748	0.247559	0.160046	0.171549	0.164098
a94	0.106725	0.200311	0.231031	0.248208	0.213724
a24	0.078505	0.0925082	0.223005	0.300586	0.305395
a41	0.0527945	0.0520277	0.177598	0.322926	0.394654
a73	0.0602534	0.0519878	0.151987	0.312361	0.423411
a94	0.0347672	0.0335239	0.119066	0.311451	0.501192
a76	0.032	0.0327555	0.0994862	0.258956	0.576802
a94	0.0141522	0.0233234	0.109343	0.282447	0.570735
a4	0.00654496	0.0100049	0.0753061	0.247515	0.660629
a58	0.00663909	0.011468	0.070141	0.240286	0.671466
a82	0.00274219	0.00549554	0.0572465	0.206322	0.728194
a87	0.00258442	0.0042056	0.0494534	0.200532	0.743225
</S>	0.0175297	0.018557	0.0577403	0.184411	0.721762
