 	il	y	a	un	chien	méchant	dans	cette	sixième	parcelle	</S>
a66	0.236103	0.181562	0.12981	0.0981632	0.0719107	0.0657147	0.0829856	0.077777	0.0349074	0.0120681	0.0089982
a87	0.274908	0.174267	0.0894676	0.0657632	0.0413632	0.0611066	0.0888193	0.0935146	0.0603382	0.0291658	0.0212865
a23	0.345784	0.241444	0.118734	0.0712413	0.0414828	0.0497097	0.0429226	0.0306131	0.0245974	0.0167388	0.0167324
a99	0.235428	0.161153	0.0892832	0.0704874	0.0677997	0.106372	0.0816779	0.0558396	0.0482556	0.0405365	0.0431669
a18	0.142935	0.107159	0.0966727	0.122805	0.113831	0.0999807	0.0664819	0.0578083	0.0541838	0.0657583	0.072384
a54	0.23217	0.198656	0.184328	0.121024	0.0615456	0.0420042	0.0280012	0.0305011	0.0347558	0.0326426	0.0343711
a47	0.173635	0.171517	0.171348	0.134611	0.0969432	0.0835309	0.0494669	0.0429127	0.0350552	0.0223496	0.0186294
a37	0.110638	0.142262	0.193251	0.139822	0.106033	0.0948051	0.0479067	0.0468936	0.0573815	0.0325518	0.0284548
a34	0.12062	0.151896	0.254441	0.177981	0.108095	0.0586418	0.029051	0.0252825	0.0301963	0.0197403	0.0240538
a70	0.100603	0.123208	0.225149	0.17983	0.143772	0.089024	0.0499299	0.0347582	0.0234432	0.0141501	0.016132
a93	0.0720025	0.0843917	0.181281	0.184476	0.170045	0.126951	0.0731206	0.0445583	0.02639	0.0174352	0.0193485
a4	0.0633144	0.072387	0.157142	0.173687	0.166415	0.144282	0.085595	0.0518075	0.0338453	0.0239635	0.0275612
a90	0.0489229	0.0504419	0.11215	0.166779	0.17748	0.164268	0.100265	0.0608875	0.0403494	0.0349367	0.0435189
a98	0.0443111	0.0442436	0.0838225	0.121595	0.144162	0.162787	0.109519	0.0857677	0.0700761	0.0603335	0.073383
a5	0.0312794	0.0302241	0.0571307	0.116738	0.154344	0.158956	0.0986893	0.0827226	0.0845918	0.0763825	0.108942
a37	0.0235101	0.0205873	0.0354207	0.097027	0.169609	0.186353	0.152038	0.110552	0.0732474	0.0598864	0.0717688
a94	0.0215	0.0169999	0.0245049	0.0674499	0.144638	0.194026	0.171514	0.127626	0.083925	0.0688175	0.0789983
a61	0.0179073	0.0139634	0.0187489	0.0525916	0.124564	0.177675	0.159415	0.13815	0.114818	0.0891127	0.0930542
a88	0.0140114	0.0111772	0.0145764	0.0345665	0.0861692	0.151433	0.164623	0.160979	0.141537	0.10542	0.115508
a9	0.0120895	0.0105435	0.0145829	0.0335025	0.0780888	0.138494	0.130437	0.136969	0.158645	0.134575	0.152074
a87	0.0203021	0.0190255	0.0238982	0.0563562	0.115904	0.156249	0.137054	0.130244	0.116015	0.096472	0.12848
a23	0.0765188	0.0620657	0.0507217	0.0531794	0.0700004	0.0919455	0.122908	0.141654	0.119863	0.0982985	0.112845
a83	0.0272756	0.0182465	0.0143588	0.0209966	0.0273218	0.0365617	0.0450466	0.0693039	0.144772	0.230528	0.365588
a50	0.00650631	0.00541616	0.00904817	0.0298981	0.0478503	0.0496846	0.0645695	0.109151	0.172234	0.235916	0.269726
a34	0.00442783	0.00332851	0.00347995	0.00581478	0.0114923	0.0217002	0.0378042	0.0724624	0.186033	0.333665	0.319792
a5	0.00448253	0.0032274	0.00383565	0.00748569	0.0123069	0.0207289	0.035942	0.07213	0.208487	0.316278	0.315096
a36	0.00235854	0.0017391	0.00231987	0.00514499	0.00862294	0.0133399	0.02107	0.0431979	0.169464	0.324914	0.407828
a54	0.00443344	0.00353579	0.00464389	0.0106634	0.023632	0.0340433	0.0473559	0.0683398	0.130588	0.285407	0.387358
a6	0.00190871	0.00147301	0.00218024	0.00805304	0.0183488	0.0213209	0.022324	0.0325925	0.101114	0.243349	0.547336
a37	0.00116686	0.000883937	0.00128221	0.00532492	0.0134295	0.0191157	0.0230082	0.0334794	0.0990709	0.23647	0.566769
a61	0.00115224	0.000895482	0.000982017	0.00276847	0.00743324	0.0114463	0.0123394	0.0194392	0.0728167	0.256448	0.614279
a21	0.000502302	0.000384781	0.000473941	0.0011483	0.00245571	0.00500236	0.00701999	0.0145611	0.0778433	0.250159	0.640449
a5	0.000331949	0.000277371	0.000341709	0.000794381	0.00167167	0.00321526	0.0044755	0.0105357	0.0783787	0.250742	0.649236
a23	0.00040418	0.000329851	0.000404015	0.0011953	0.00249399	0.00460696	0.00591097	0.0135807	0.0661127	0.232473	0.672488
a27	0.000397514	0.000381968	0.000495859	0.00138624	0.00298453	0.00517827	0.00481057	0.0100883	0.0552105	0.226673	0.692393
a24	0.0111503	0.010879	0.0111014	0.0160667	0.0201932	0.0223486	0.020086	0.0263688	0.0980483	0.243232	0.520526
a12	0.00217569	0.00203385	0.00208555	0.00424805	0.00720638	0.0130604	0.0152191	0.0251027	0.102795	0.277105	0.548968
a18	0.00121383	0.00111952	0.00100333	0.00198071	0.00319338	0.00578735	0.00706228	0.0141317	0.0919215	0.276625	0.595962
a25	0.00663244	0.00580785	0.00545671	0.00857148	0.0113583	0.0163236	0.0149199	0.0213948	0.0993356	0.258312	0.551888
a87	0.0164395	0.0138373	0.010768	0.0126852	0.0131787	0.0154716	0.0151115	0.019656	0.0876746	0.263557	0.53162
a23	0.0758729	0.0511232	0.0281778	0.0245052	0.0178257	0.016437	0.020916	0.031047	0.114684	0.233971	0.385441
a87	0.039315	0.0245913	0.0146135	0.0176982	0.0156839	0.019822	0.0226216	0.0373428	0.122869	0.245004	0.440439
</S>	0.0230325	0.0135063	0.00760292	0.0104287	0.00969486	0.0106515	0.0113977	0.0187598	0.0826705	0.239434	0.572821
