 	la	route	est	boueuse	</S>
a41	0.46711	0.151693	0.121671	0.106503	0.153022
a36	0.309393	0.194874	0.145289	0.154876	0.195568
a37	0.373689	0.221225	0.129004	0.1297	0.146383
a75	0.370195	0.219689	0.124222	0.130693	0.155202
a56	0.282907	0.240536	0.166361	0.153213	0.156983
a96	0.237201	0.233118	0.182626	0.167664	0.179392
a61	0.19182	0.199543	0.175406	0.198355	0.234875
a62	0.144827	0.188626	0.184979	0.225902	0.255665
a75	0.0990378	0.166562	0.195801	0.241191	0.297408
a36	0.0635522	0.103097	0.156227	0.272807	0.404317
a2	0.0702746	0.0987642	0.130589	0.277441	0.422932
a57	0.0176117	0.0331524	0.0912868	0.268134	0.589815
a87	0.0330813	0.0382204	0.0992369	0.269761	0.5597
a97	0.149962	0.0968897	0.136219	0.247449	0.36948
a87	0.243579	0.172702	0.174416	0.188442	0.220861
a23	0.198631	0.15567	0.172907	0.21258	0.260213
a87	0.138036	0.146343	0.19231	0.260493	0.262819
a23	0.0765408	0.0938011	0.131889	0.28887	0.408899
</S>	0.139031	0.142025	0.161101	0.250242	0.3076
