 	il	casse	le	bout	de	bois	</S>
a85	0.563578	0.220932	0.0785678	0.0512457	0.0324493	0.0269648	0.0262622
a87	0.575806	0.145837	0.081572	0.0722635	0.0465321	0.0365351	0.0414549
a23	0.288368	0.168895	0.138158	0.115251	0.0915672	0.0806915	0.117069
a10	0.387493	0.265123	0.142602	0.0727407	0.0327265	0.0342701	0.0650443
a38	0.314275	0.289907	0.175223	0.08273	0.0308985	0.0393975	0.0675685
a35	0.331387	0.376116	0.168603	0.0652276	0.0231428	0.0181766	0.0173468
a40	0.252311	0.362112	0.224864	0.108729	0.0314759	0.0123281	0.00817956
a35	0.255845	0.359705	0.223771	0.107085	0.0289402	0.0138031	0.0108505
a75	0.24935	0.289106	0.233307	0.138308	0.045591	0.024131	0.0202063
a35	0.215571	0.192504	0.181131	0.158197	0.100804	0.0759879	0.0758042
a24	0.194213	0.131812	0.163172	0.191662	0.140521	0.0914393	0.0871811
a32	0.0620164	0.0548686	0.0901529	0.157307	0.232142	0.205242	0.19827
a94	0.0304595	0.0310182	0.0507288	0.103948	0.24034	0.270496	0.273009
a76	0.0310388	0.0324057	0.0468961	0.0902668	0.213778	0.275077	0.310538
a73	0.0128093	0.0174061	0.02599	0.0561832	0.171479	0.332818	0.383314
a84	0.0126846	0.0143886	0.024353	0.0483746	0.138761	0.316225	0.445213
a57	0.00293717	0.00247189	0.00439031	0.0139187	0.0671607	0.267441	0.64168
a87	0.0062154	0.00411318	0.00481378	0.0122158	0.0530319	0.241031	0.678579
</S>	0.0114513	0.00905819	0.0108313	0.0244959	0.090519	0.299168	0.554476
