 	la	panthère	ressemble	au	chat	</S>
a84	0.458899	0.247943	0.0866807	0.0797521	0.0730176	0.0537078
a57	0.406399	0.262262	0.164604	0.114782	0.0377134	0.0142405
a87	0.499643	0.373202	0.0726848	0.0285562	0.0145819	0.0113319
a23	0.481017	0.360549	0.0972628	0.0354993	0.0137558	0.0119161
a13	0.443357	0.284576	0.102552	0.0594231	0.0491667	0.0609253
a90	0.345193	0.325447	0.166507	0.0749978	0.0427127	0.0451427
a92	0.41344	0.350007	0.150008	0.0528226	0.0198868	0.0138354
a85	0.225366	0.291407	0.269021	0.1491	0.0389551	0.0261509
a47	0.112713	0.235078	0.328901	0.215445	0.0645903	0.0432731
a0	0.0761827	0.162302	0.311156	0.244326	0.116753	0.0892811
a56	0.0624822	0.111941	0.200944	0.207728	0.177281	0.239623
a44	0.0722757	0.0899244	0.185336	0.281199	0.194302	0.176964
a56	0.0461201	0.0367081	0.0743032	0.23567	0.290327	0.316873
a75	0.0233541	0.0164114	0.0434193	0.217405	0.357812	0.341598
a25	0.00782475	0.00641488	0.023996	0.132361	0.372179	0.457224
a56	0.00475942	0.0047481	0.0143814	0.0781176	0.285339	0.612654
a90	0.00240923	0.00214275	0.00467655	0.0276811	0.194387	0.768703
a92	0.00355994	0.00302691	0.0054469	0.0242405	0.17754	0.786186
a21	0.000937962	0.000978672	0.00270806	0.0136583	0.12744	0.854277
a12	0.00339565	0.0041262	0.00873563	0.0271262	0.154658	0.801958
a18	0.00464277	0.00727658	0.0182948	0.0522532	0.201203	0.716329
a25	0.0148128	0.0157598	0.0312135	0.0934487	0.276046	0.568719
a87	0.192017	0.161661	0.0975171	0.114393	0.167589	0.266822
a23	0.34189	0.374228	0.133539	0.0753509	0.0354245	0.0395676
a99	0.126058	0.142314	0.0873813	0.101707	0.129313	0.413226
a97	0.0251126	0.0270523	0.0260272	0.0700582	0.182841	0.668908
</S>	0.0104232	0.0137143	0.0175636	0.0537926	0.18214	0.722366
