 	les	assaillants	de	ma	mère	étaient	six	contre	elle	</S>
a66	0.175335	0.236575	0.12318	0.131918	0.147288	0.123093	0.0434867	0.00982736	0.00510037	0.00419638
a87	0.378248	0.388387	0.0781225	0.046183	0.0459917	0.0281341	0.0100755	0.00853915	0.00792564	0.00839296
a23	0.394197	0.235531	0.115264	0.076087	0.0816883	0.0496223	0.0133957	0.00728768	0.00935885	0.0175685
a87	0.481157	0.20081	0.0790816	0.0605636	0.0698833	0.0362471	0.00891233	0.0086846	0.0147702	0.0398901
a23	0.404775	0.185609	0.108895	0.082003	0.0949031	0.0601994	0.017934	0.0116936	0.0135293	0.0204587
a40	0.432785	0.225915	0.0726269	0.0468315	0.0681291	0.0563789	0.0193854	0.0155761	0.0212753	0.0410972
a73	0.329845	0.419936	0.0873936	0.0390366	0.0436257	0.0331627	0.0141179	0.00973523	0.0101962	0.0129513
a7	0.273567	0.384799	0.0995536	0.0574079	0.0569333	0.0503664	0.0299837	0.0137025	0.0140687	0.0196185
a90	0.186671	0.340377	0.0918717	0.0641531	0.0611297	0.0585189	0.059115	0.0364201	0.0410811	0.0606624
a56	0.139348	0.275216	0.101454	0.0834387	0.0800851	0.0798082	0.0716912	0.0462637	0.0505862	0.0721079
a21	0.129907	0.239898	0.113663	0.108958	0.105391	0.0905434	0.0654783	0.039604	0.043801	0.0627571
a12	0.144722	0.224365	0.123172	0.129181	0.124121	0.119743	0.0674606	0.0223553	0.0192287	0.0256529
a90	0.0856425	0.157926	0.123526	0.152976	0.14904	0.154176	0.0853573	0.0313128	0.0268577	0.0331867
a15	0.057256	0.133586	0.112669	0.144586	0.140271	0.163991	0.111703	0.0441131	0.0394176	0.0524067
a25	0.0399161	0.0848087	0.0994547	0.121045	0.107684	0.111532	0.0920884	0.0910807	0.106377	0.146014
a79	0.0208542	0.0476174	0.0803006	0.108824	0.0973175	0.111375	0.105408	0.103796	0.132007	0.192501
a98	0.0133232	0.0236587	0.0535453	0.117179	0.133667	0.154798	0.1238	0.104181	0.115879	0.159969
a47	0.0114196	0.0167477	0.0375723	0.0847146	0.0927458	0.115174	0.105266	0.120917	0.157967	0.257476
a85	0.00521301	0.00619771	0.0210391	0.0593586	0.0632843	0.0861931	0.094273	0.117974	0.18565	0.360817
a6	0.00331637	0.00473524	0.0121716	0.0399895	0.0502993	0.0788207	0.114274	0.154041	0.19744	0.344913
a37	0.00337212	0.00481142	0.0087322	0.0303136	0.0444322	0.0888449	0.128549	0.146746	0.187057	0.357141
a93	0.00204431	0.00319293	0.00594639	0.016098	0.0229365	0.0612161	0.121414	0.159845	0.20018	0.407127
a4	0.00136127	0.00239329	0.00436002	0.009719	0.0105942	0.0271842	0.0822471	0.1734	0.234243	0.454498
a13	0.000674203	0.00106686	0.00224096	0.00478755	0.00448463	0.00872837	0.0426617	0.170979	0.286466	0.47791
a38	0.00229065	0.00268319	0.00648097	0.0133899	0.0151203	0.0167378	0.0438602	0.141486	0.297505	0.460445
a93	0.00273363	0.00272807	0.00529809	0.0115033	0.0128541	0.0128898	0.0350891	0.155673	0.31078	0.450451
a4	0.000173035	0.000242616	0.000559778	0.00115369	0.00109986	0.00215374	0.0172097	0.142705	0.351315	0.483388
a15	0.000163677	0.000268096	0.000576105	0.00115353	0.000997546	0.00156267	0.0118423	0.117826	0.363565	0.502045
a7	0.000310525	0.000280478	0.000464499	0.00102677	0.00115406	0.00185732	0.013667	0.118355	0.359476	0.503409
a84	0.000788078	0.00065982	0.000968168	0.00189824	0.00217185	0.00312435	0.0174874	0.116099	0.348426	0.508377
a57	0.0137246	0.0102791	0.0182877	0.0229834	0.0255175	0.0402376	0.104042	0.177361	0.259439	0.328128
a97	0.0461421	0.0376524	0.0444071	0.0456716	0.0580157	0.108247	0.133731	0.172524	0.187001	0.166608
a87	0.0413966	0.0505854	0.0530667	0.0553807	0.0745722	0.194266	0.156031	0.144846	0.128234	0.10162
a23	0.0404719	0.0534242	0.0498411	0.0560438	0.0862673	0.235613	0.162551	0.128184	0.104287	0.0833174
a99	0.0221314	0.0312559	0.0231814	0.0156027	0.0192172	0.0513919	0.0655824	0.183705	0.254433	0.333499
a97	0.0321782	0.0403953	0.0272081	0.0205729	0.0262349	0.0470825	0.0841288	0.169587	0.233082	0.31953
a87	0.00600091	0.00778951	0.00792312	0.00995484	0.0126975	0.0188979	0.0296917	0.0941909	0.278864	0.53399
</S>	0.0188079	0.0207392	0.0210287	0.0302346	0.03933	0.0427583	0.0443045	0.0906632	0.238422	0.453712
