 	la	cola	est	un	peu	amère	</S>
a23	0.307529	0.177393	0.164079	0.150193	0.10504	0.0609951	0.0347711
a87	0.431819	0.214847	0.12341	0.0889446	0.0594503	0.0465223	0.0350063
a23	0.324714	0.262069	0.147917	0.0875832	0.0566553	0.0549807	0.0660813
a83	0.419949	0.274174	0.120062	0.0695359	0.0401064	0.0355975	0.0405756
a99	0.516039	0.316984	0.0964182	0.0406519	0.0144703	0.00701677	0.00842034
a62	0.378414	0.377381	0.130478	0.0552026	0.0256381	0.0154796	0.0174069
a88	0.291409	0.368526	0.150369	0.0731661	0.0448757	0.0349524	0.0367012
a0	0.212171	0.3144	0.162157	0.0914003	0.0709484	0.0700651	0.0788578
a96	0.176496	0.238204	0.161618	0.106508	0.0979681	0.104894	0.114312
a83	0.123073	0.190058	0.142718	0.11147	0.122525	0.14188	0.168276
a61	0.0944156	0.140836	0.134398	0.120096	0.142383	0.169718	0.198154
a34	0.0876202	0.106648	0.133632	0.14058	0.162011	0.178121	0.191388
a79	0.0603397	0.0713977	0.111302	0.137229	0.173486	0.211805	0.234441
a56	0.0593006	0.0617049	0.110722	0.14186	0.166919	0.199904	0.25959
a70	0.0486414	0.0497136	0.08959	0.138292	0.180159	0.221218	0.272386
a34	0.0161435	0.0163759	0.0362235	0.0867274	0.184325	0.289941	0.370264
a70	0.00513036	0.00463016	0.0126512	0.041738	0.132152	0.335753	0.467945
a99	0.00335442	0.00323044	0.00908884	0.0320842	0.112203	0.337004	0.503035
a13	0.00149665	0.00116831	0.00396029	0.0205195	0.0919244	0.370519	0.510412
a38	0.00224863	0.0013801	0.00344524	0.0168478	0.0923325	0.358556	0.52519
a3	0.00962652	0.00428238	0.00721711	0.0213772	0.0931644	0.341033	0.523299
a97	0.0322788	0.0188656	0.0219482	0.0346088	0.0982014	0.333315	0.460782
a3	0.116284	0.0553275	0.0504077	0.0673968	0.129596	0.276432	0.304556
a82	0.0956711	0.0558832	0.0625525	0.0826377	0.126664	0.244102	0.33249
a87	0.107643	0.0681323	0.0860036	0.105652	0.138812	0.218749	0.275007
a97	0.109369	0.0687244	0.0811694	0.103317	0.142737	0.222473	0.272211
a3	0.166778	0.100729	0.106657	0.112691	0.127687	0.175478	0.209982
a97	0.173168	0.1062	0.110367	0.102433	0.113039	0.173704	0.221089
a82	0.163223	0.0961946	0.100677	0.0970322	0.111978	0.185065	0.24583
</S>	0.173886	0.106354	0.109538	0.103008	0.111834	0.167538	0.227841
