 	elle	lui	donne	un	coup	de	bâton	</S>
a23	0.275813	0.240397	0.155851	0.0994826	0.0632244	0.0509705	0.0582609	0.0560005
a87	0.277363	0.185845	0.125226	0.107217	0.119378	0.0784884	0.0662353	0.0402463
a23	0.217572	0.154973	0.111933	0.11053	0.136193	0.106478	0.09041	0.0719105
a20	0.271329	0.214356	0.113998	0.0884617	0.0819585	0.0698152	0.0784101	0.0816718
a84	0.328497	0.213028	0.122019	0.095939	0.0629875	0.0608074	0.0631035	0.053619
a38	0.316143	0.248232	0.148644	0.119496	0.0606284	0.0436485	0.0372016	0.0260064
a24	0.248012	0.207351	0.142313	0.138574	0.0807949	0.0681266	0.0636996	0.0511296
a35	0.245492	0.20819	0.151354	0.127769	0.0801682	0.0688022	0.0671314	0.0510939
a66	0.21262	0.201467	0.154849	0.143982	0.0904243	0.0759068	0.0703606	0.0503895
a24	0.190954	0.180997	0.132512	0.12229	0.0840897	0.0871484	0.105203	0.0968058
a41	0.124821	0.128234	0.109455	0.108345	0.0966104	0.108506	0.14919	0.174838
a20	0.0960918	0.0866767	0.0667941	0.0783849	0.0835428	0.133851	0.20862	0.246039
a56	0.0887187	0.0698065	0.0438756	0.0469362	0.0495781	0.111467	0.237688	0.35193
a18	0.0629486	0.0481362	0.0335281	0.0408076	0.0474298	0.104878	0.247719	0.414552
a71	0.0252326	0.0192109	0.00996434	0.0115171	0.0167039	0.0505294	0.213059	0.653782
a38	0.0331549	0.0212203	0.00952441	0.00991757	0.0152123	0.0397283	0.166056	0.705186
a53	0.0156915	0.0106697	0.00462117	0.00623086	0.0155533	0.0505581	0.197009	0.699666
a76	0.00532301	0.0044749	0.002828	0.00426964	0.0119254	0.0419761	0.189322	0.739881
a20	0.00510122	0.0040149	0.00245279	0.0046713	0.0130482	0.0658038	0.235323	0.669585
a84	0.00810953	0.00647372	0.00376494	0.00683604	0.0188814	0.0821985	0.256116	0.61762
a87	0.010495	0.00982249	0.00636258	0.0111061	0.0260153	0.0689674	0.188223	0.679008
</S>	0.0305674	0.030387	0.0255047	0.034683	0.0656073	0.134591	0.249788	0.428871
