 	les	villages	ngwakandi	et	ongondza	sont	éloignés	l'	un	de	l'	autre	</S>
a82	0.134101	0.157031	0.21547	0.150077	0.103576	0.0691149	0.0530926	0.0492191	0.0278042	0.0167223	0.0102094	0.00731422	0.00626738
a10	0.158694	0.148371	0.161666	0.104486	0.0929684	0.0652518	0.0502673	0.0607028	0.0425978	0.0318586	0.0255242	0.0276577	0.0299549
a87	0.282995	0.228269	0.214545	0.0644859	0.0659233	0.0322179	0.0220637	0.0170148	0.0147666	0.013519	0.0118032	0.0141329	0.0182636
a97	0.261981	0.219766	0.219511	0.0685454	0.0704045	0.0390254	0.0263075	0.022164	0.018559	0.015046	0.0111395	0.0125393	0.0150109
a10	0.217738	0.18417	0.240993	0.0659162	0.0761944	0.0449294	0.0352157	0.0342712	0.0282767	0.0221483	0.0162473	0.0167135	0.0171857
a87	0.242252	0.188028	0.222868	0.0566664	0.0701587	0.0456119	0.0381693	0.0376881	0.0305376	0.0229941	0.0163659	0.0153941	0.0132655
a23	0.218017	0.171069	0.222061	0.0654742	0.0752493	0.0474629	0.043363	0.042597	0.0335523	0.026491	0.0197955	0.0191387	0.015729
a18	0.233969	0.17674	0.178502	0.0594108	0.068393	0.0533677	0.0591746	0.0522206	0.0380602	0.0283851	0.0202548	0.0176825	0.0138396
a53	0.149258	0.133163	0.0900484	0.0529256	0.0707294	0.0822855	0.102933	0.0953571	0.0682027	0.0519398	0.0406046	0.0346305	0.0279231
a20	0.232371	0.187479	0.126761	0.0693601	0.0623684	0.0416411	0.0498459	0.0419419	0.0326131	0.0300549	0.0347435	0.0401787	0.0506418
a7	0.123742	0.121793	0.138696	0.108697	0.0849206	0.0508645	0.0498417	0.0406599	0.0365478	0.0391312	0.0521365	0.0650941	0.0878754
a58	0.0499365	0.0575981	0.0831071	0.0796228	0.0611928	0.0456853	0.046738	0.0473014	0.0504891	0.0606708	0.0900649	0.129667	0.197926
a40	0.0533999	0.0579472	0.0886056	0.0855367	0.0601302	0.0450801	0.0502294	0.0468101	0.0479959	0.0556746	0.0807402	0.123682	0.204168
a54	0.0354534	0.0520269	0.0812008	0.110797	0.0838241	0.0580459	0.0633116	0.0606681	0.0536911	0.0572036	0.0799273	0.109714	0.154137
a44	0.0299817	0.0467136	0.0766825	0.114053	0.082457	0.0607304	0.066314	0.0650659	0.0582486	0.0621309	0.0822547	0.10831	0.147058
a70	0.021458	0.0308626	0.051296	0.0861692	0.0589325	0.0422433	0.0485724	0.0472913	0.0452156	0.0539844	0.0873657	0.155167	0.271441
a96	0.0186516	0.0250838	0.0382515	0.0870634	0.066712	0.0527888	0.0604874	0.0589598	0.0525715	0.0545557	0.0793855	0.142556	0.262933
