 	il	va	acheter	une	boîte	d'	allumettes	</S>
a23	0.499024	0.258371	0.0871586	0.039616	0.0248666	0.0228034	0.0293099	0.0388506
a87	0.45239	0.257806	0.13282	0.0615746	0.0220116	0.0172406	0.0263573	0.0298009
a23	0.252155	0.196112	0.163923	0.11171	0.0534295	0.0523844	0.072016	0.0982699
a79	0.302529	0.206824	0.132642	0.0697559	0.0354207	0.0480235	0.087058	0.117747
a20	0.427765	0.312101	0.101387	0.0389801	0.0267672	0.029346	0.0322902	0.031363
a73	0.348645	0.361455	0.185285	0.0616155	0.0190011	0.0117236	0.00739655	0.00487829
a94	0.219283	0.289138	0.266696	0.14009	0.040382	0.0209016	0.014023	0.00948603
a32	0.18494	0.268939	0.27541	0.160078	0.0514941	0.0266727	0.0189434	0.0135228
a90	0.150178	0.203963	0.276656	0.20354	0.0762341	0.0384074	0.0300514	0.0209715
a76	0.130846	0.182163	0.265553	0.216346	0.0913078	0.0487487	0.0389243	0.0261109
a94	0.12038	0.169976	0.236977	0.190053	0.0953755	0.0719297	0.0668697	0.0484384
a31	0.0887368	0.133011	0.226022	0.210728	0.126147	0.0822604	0.0770032	0.0560905
a96	0.0710926	0.0895213	0.139865	0.155998	0.152385	0.138898	0.146514	0.105727
a88	0.0844377	0.0911299	0.115872	0.121245	0.128835	0.123558	0.18382	0.151101
a71	0.072165	0.0699678	0.0771644	0.0881428	0.121651	0.149398	0.229846	0.191665
a38	0.0836133	0.082113	0.0975955	0.101566	0.113873	0.124901	0.222721	0.173617
a41	0.0917903	0.0910524	0.0821021	0.0731036	0.10444	0.129579	0.23165	0.196283
a56	0.0456312	0.0431094	0.0376994	0.0488544	0.115706	0.188038	0.271002	0.24996
a54	0.0504366	0.0462496	0.0383288	0.0467298	0.100937	0.163	0.275207	0.279111
a73	0.0272211	0.0216071	0.0193008	0.0281329	0.0672381	0.131807	0.294555	0.410138
a37	0.0199332	0.0154777	0.0152777	0.0275287	0.0761675	0.153426	0.305879	0.38631
a11	0.0227053	0.0186185	0.0178556	0.0255683	0.0606396	0.135345	0.304532	0.414736
a96	0.0115075	0.00899193	0.0103731	0.0171355	0.0435165	0.114959	0.328302	0.465214
a70	0.0101922	0.00754541	0.00919755	0.0158197	0.0392689	0.0999239	0.308351	0.509701
a75	0.00667846	0.00485168	0.00539121	0.00965668	0.0260952	0.0768981	0.290397	0.580032
a41	0.00360364	0.00241459	0.00355233	0.00826573	0.0263728	0.0837083	0.293941	0.578142
a18	0.00591724	0.00363206	0.00501069	0.0109972	0.0353768	0.112307	0.311148	0.515611
a11	0.00237669	0.00142306	0.00185745	0.0041802	0.0141413	0.0663719	0.296369	0.61328
a24	0.00248177	0.00102599	0.00108667	0.00316877	0.0142701	0.0799617	0.291035	0.60697
a9	0.00895406	0.00347338	0.00270137	0.0071384	0.0288507	0.118045	0.28042	0.550417
a87	0.00258826	0.00099472	0.000918157	0.00327728	0.0189142	0.104086	0.273748	0.595474
</S>	0.00564835	0.00272859	0.00238013	0.0074362	0.0294808	0.1118	0.246417	0.594109
