 	l'	amitié	en	question	prendra	fin	aujourd'	hui	</S>
a66	0.444484	0.201667	0.109359	0.0673666	0.0633295	0.067462	0.0204107	0.0152349	0.0106864
a87	0.366936	0.199054	0.139008	0.0801983	0.0572664	0.0498486	0.024601	0.0322867	0.0508018
a23	0.444476	0.175201	0.158498	0.101804	0.0753136	0.020648	0.0065223	0.00689141	0.0106462
a30	0.437652	0.157251	0.152005	0.0972146	0.0692481	0.0316876	0.0131823	0.0142949	0.0274649
a93	0.322818	0.119616	0.140297	0.12953	0.130507	0.0551176	0.0251056	0.032547	0.044462
a94	0.314148	0.19813	0.200579	0.123526	0.0674607	0.0423157	0.0171995	0.018839	0.0178028
a90	0.198153	0.17892	0.199883	0.142101	0.0889594	0.0743328	0.0420659	0.036101	0.0394848
a56	0.10001	0.144446	0.188014	0.158742	0.108474	0.107169	0.0726542	0.0565715	0.0639199
a41	0.0895106	0.11745	0.132084	0.125201	0.108086	0.138351	0.102996	0.0844001	0.101922
a98	0.0477069	0.0628589	0.0568692	0.0662065	0.0673891	0.192323	0.168717	0.1668	0.171129
a47	0.0462162	0.0676252	0.0623155	0.0761359	0.0672027	0.23561	0.158696	0.154268	0.131931
a85	0.0388121	0.0380183	0.0510578	0.072539	0.0792632	0.162361	0.143332	0.189492	0.225125
a5	0.0545149	0.0436342	0.0490745	0.0684425	0.0978587	0.189284	0.145038	0.173272	0.178882
a56	0.0260485	0.0160916	0.020156	0.0279161	0.0746739	0.0947206	0.172007	0.244029	0.324357
a43	0.0244928	0.0170487	0.0186199	0.0249464	0.0670172	0.0822124	0.174677	0.250347	0.340639
a21	0.0138624	0.0115398	0.0114285	0.0132156	0.0334091	0.0482808	0.17464	0.287903	0.405721
a85	0.00680073	0.00560427	0.0056216	0.0063576	0.0146739	0.0243821	0.137648	0.292376	0.506536
a6	0.00354933	0.00281788	0.00337455	0.00458408	0.0104431	0.0157067	0.0742096	0.211071	0.674243
a98	0.00289365	0.00242861	0.00276213	0.00371562	0.0100368	0.0112945	0.0847439	0.266941	0.615184
a15	0.00344829	0.00271014	0.00269562	0.00325993	0.00672477	0.00745622	0.0568118	0.24293	0.673963
a7	0.00694972	0.00612619	0.00436315	0.00387488	0.00779171	0.0127624	0.0881007	0.30974	0.560291
a84	0.0175234	0.0176357	0.01367	0.0115023	0.0213691	0.0270679	0.0998069	0.285354	0.506071
a87	0.108507	0.0833758	0.0493647	0.0353605	0.0353681	0.0522146	0.100674	0.2145	0.320635
a23	0.436918	0.177312	0.10985	0.0730118	0.0425069	0.0404669	0.0324128	0.0465981	0.0409234
a87	0.140073	0.0529373	0.0357332	0.0301014	0.0253329	0.0514903	0.102895	0.245424	0.316013
</S>	0.0401775	0.0148557	0.0084384	0.00840362	0.0113591	0.0380179	0.117483	0.26404	0.497225
